GO,ID,Description,NES,p.adjust,core_enrichment,Database,Description_lc,Functional_Module
GO:0099504,GO:0099504,synaptic vesicle cycle,-2.350654487,5.33E-06,535/112476/5874/396/5582/1211/164/29993/51382/112755/23396/80331/9899/163/57030/63908/161/1487/8867/6456/6844/10815/6853/10814/6455/1173/8541/160/6854/127833/26052/1212/6616/6804/27445/6457/5864/6857/84251/8943/1759/8120/134957/5532/6812/10947/8927/9066/8618/28964/9829/22895,GOBP,synaptic vesicle cycle,Synaptic regulation
GO:0017156,GO:0017156,calcium-ion regulated exocytosis,-2.394878236,0.0007488,6844/6854/127833/6616/84258/6804/5864/6857/5532/6812/9066/8618/22895,GOBP,calcium-ion regulated exocytosis,Synaptic regulation
GO:0036465,GO:0036465,synaptic vesicle recycling,-2.30334516,0.0007488,1211/164/29993/112755/23396/163/57030/161/1487/8867/6456/6844/6455/1173/160/26052/1212/6804/6457/5864/84251/8943/1759/8120/5532/10947/9066/28964/9829,GOBP,synaptic vesicle recycling,Synaptic regulation
GO:0030198,GO:0030198,extracellular matrix organization,2.277084022,0.000957069,351/1291/57326/3915/60484/3913/3908/7143/302/3673/102/3936/3688/4629/2670/1471/1605/4035,GOBP,extracellular matrix organization,Extracellular matrix and adhesion
GO:0043062,GO:0043062,extracellular structure organization,2.277084022,0.000957069,351/1291/57326/3915/60484/3913/3908/7143/302/3673/102/3936/3688/4629/2670/1471/1605/4035,GOBP,extracellular structure organization,Extracellular matrix and adhesion
GO:0045229,GO:0045229,external encapsulating structure organization,2.277084022,0.000957069,351/1291/57326/3915/60484/3913/3908/7143/302/3673/102/3936/3688/4629/2670/1471/1605/4035,GOBP,external encapsulating structure organization,Extracellular matrix and adhesion
GO:0140238,GO:0140238,presynaptic endocytosis,-2.287668851,0.001098877,1211/164/29993/23396/163/57030/161/1487/8867/6456/6844/6455/1173/160/26052/22848/1212/6804/6457/84251/8943/1759/8120/5532/10947/9066/9829,GOBP,presynaptic endocytosis,Synaptic regulation
GO:0048488,GO:0048488,synaptic vesicle endocytosis,-2.259758181,0.001098877,1211/164/29993/23396/163/57030/161/1487/8867/6456/6844/6455/1173/160/26052/1212/6804/6457/84251/8943/1759/8120/5532/10947/9066/9829,GOBP,synaptic vesicle endocytosis,Synaptic regulation
GO:0006954,GO:0006954,inflammatory response,2.070095049,0.001098877,3240/960/2/351/1291/5265/57326/718/720/3500/5004/5354/347/5788/301/8639/3123/3688/83700/22933/23646/3684/3689/8773/6279/1536/26090/2209/3098/196527/4035/348/12/5027/3339/6647/3920/2950/683/1956/445,GOBP,inflammatory response,Immune Response and Regulation
GO:0017158,GO:0017158,regulation of calcium ion-dependent exocytosis,-2.266735451,0.001301298,127833/84258/6804/5864/6857/6812/9066/22895,GOBP,regulation of calcium ion-dependent exocytosis,Synaptic regulation
GO:0001501,GO:0001501,skeletal system development,2.189791658,0.001649061,2200/960/1291/57326/60484/302/5788/1499/1462/3911/176/5479/9104/51119/5027/3074/6137/875/249/5364/7052/4057/63827/5595,GOBP,skeletal system development,Unclassified
GO:0006959,GO:0006959,humoral immune response,2.22665501,0.00289501,2/351/3507/718/720/3500/3263/3493/5788/3123/7018,GOBP,humoral immune response,Immune Response and Regulation
GO:0009617,GO:0009617,response to bacterium,2.062182023,0.003730554,3240/351/1291/4129/3507/718/306/10935/3500/3493/3123/1728/3032/7018/6648/3684/57088/210/3502/6279/824/2209/128/5027/1267/2950/249/445/4057/2876/3106/5595,GOBP,response to bacterium,Immune Response and Regulation
GO:0016079,GO:0016079,synaptic vesicle exocytosis,-2.167567322,0.006969896,112755/23396/80331/9899/63908/8867/6844/10815/6853/10814/8541/127833/6616/6804/27445/5864/6857/134957/6812/9066/8618/28964/22895,GOBP,synaptic vesicle exocytosis,Synaptic regulation
GO:0140029,GO:0140029,exocytic process,-2.140384439,0.008589736,8775/6622/112476/60412/10652/112755/5899/63908/8867/10815/10814/8541/127833/4067/6616/6804/8723/5864/6857/134957/6812/9066/22895,GOBP,exocytic process,Extracellular matrix and adhesion
