"","ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment"
"GO:0008219","GO:0008219","cell death",70,-0.58234493813066,-1.79755209191314,2.49529068882007e-05,0.0263086814957929,0.0250054393237548,89,"tags=43%, list=22%, signal=40%","308/3655/3336/7082/824/196527/3689/9104/307/291/6648/7416/5538/2316/6418/3688/3916/7417/1728/4099/301/302/427/10935/3383/293/1293/1291/1292/960"
"GO:0012501","GO:0012501","programmed cell death",70,-0.58234493813066,-1.79755209191314,2.49529068882007e-05,0.0263086814957929,0.0250054393237548,89,"tags=43%, list=22%, signal=40%","308/3655/3336/7082/824/196527/3689/9104/307/291/6648/7416/5538/2316/6418/3688/3916/7417/1728/4099/301/302/427/10935/3383/293/1293/1291/1292/960"
"GO:0061448","GO:0061448","connective tissue development",4,-0.98445168111456,-1.74915975631789,8.35748529138614e-06,0.0263086814957929,0.0250054393237548,5,"tags=50%, list=1%, signal=50%","1291/960"
"GO:0007155","GO:0007155","cell adhesion",77,-0.567457452456433,-1.7677440287385,4.68184682465928e-05,0.0370217037659933,0.0351877750821761,118,"tags=48%, list=29%, signal=42%","4045/4976/7094/1266/3329/5621/1465/683/4478/50863/3691/1192/3655/7414/1605/7082/3689/3684/2316/3911/3688/4099/3123/5962/8639/301/347/302/3673/3679/3383/8404/1293/1291/1292/960/2200"
