GO,ID,Description,NES,p.adjust,core_enrichment,Database,Functional_Module
GO:0030136,GO:0030136,Clathrin-Coated Vesicle,-2.261749677,2.13E-05,529/3312/164/9296/28988/526/9114/523/535/9522/51552/528/1211/534/1213/11021/162/1173/9892/51606/161/80331/29924/163/1212/8522/160/25977/57030/22848/6844/5874/83988/84251/5864/8120/6456/6857/9829,GOCC,Extracellular matrix and adhesion
GO:0030426,GO:0030426,Growth Cone,-2.323766727,2.74E-05,2288/1400/7070/10540/3831/4644/4137/1020/6624/11344/10381/22902/4133/55605/1525/23122/10409/22911/3800/6622/2596/6616/2043,GOCC,Synaptic regulation
GO:0005581,GO:0005581,Collagen Trimer,1.96515889,3.86E-05,1292/1291/1293,GOCC,Extracellular matrix and adhesion
GO:1990904,GO:1990904,Ribonucleoprotein Complex,2.13882881,4.65E-05,9961/8826/6222/6136/8661/3958/8607/6202/6139/6137/7520/6187/6124/6147/6181/6175/6223/6191/6122/6130/6129/6138/27044/4736/6189/3921/6203/6128/10856/8663/6125/3181/6217/9045/6201/6205/3609/4869/7514/8662/3184/3304/51386/6142/6188/6210,GOCC,Endoplasmic reticulum and secretory pathway
GO:0030117,GO:0030117,Membrane Coat,-2.351832884,5.18E-05,58513/1211/1213/162/1173/161/29924/163/1212/160/25977/8943/83988/1759/84251/8120/8867,GOCC,Synaptic regulation
GO:0048475,GO:0048475,Coated Membrane,-2.351832884,5.18E-05,58513/1211/1213/162/1173/161/29924/163/1212/160/25977/8943/83988/1759/84251/8120/8867,GOCC,Synaptic regulation
GO:0009897,GO:0009897,External Side of Plasma Membrane,2.224648328,6.75E-05,3383/3673/3679/5034/811/3123/361/3688/3916/824/2266/5788/308/3655/2350/3684/1605/3689/4059/2209/4162/1508/3106/214/5621/4897/84168/2936/4240/928/1271/3105/5175/5243/4907/2243,GOCC,Extracellular matrix and adhesion
GO:0032279,GO:0032279,Asymmetric Synapse,-2.073286612,6.75E-05,2534/84966/476/28988/1739/5582/10243/4131/3337/6252/57142/375/815/5064/23413/119/6546/26052/5063/7533/1020/491/28964/4905/10486/1740/23362/6853/8927/6854/2596/57512/6857/6543/10458/112476/9829/1742/2913/2043/91584,GOCC,Synaptic regulation
GO:0030427,GO:0030427,Site of Polarized Growth,-2.211200269,9.73E-05,2288/1400/7070/10540/3831/4644/4137/1020/6624/11344/10381/22902/4133/55605/1525/23122/10409/22911/3800/6622/2596/6616/2043,GOCC,Synaptic regulation
GO:0005840,GO:0005840,Ribosome,2.273435754,9.95E-05,347/811/6222/6136/6202/6139/6137/6187/6124/6147/6181/6175/6223/6191/6122/6130/6129/6138/4736/6189/3921/6203/6128/6125/6217/9045/6201/6205/328,GOCC,Endoplasmic reticulum and secretory pathway
