GO,ID,Description,NES,p.adjust,core_enrichment,Database,Functional_Module
R-HSA-2408522,R-HSA-2408522,Selenoamino Acid Metabolism,2.198749072,7.63E-05,6222/6136/3176/6202/6139/6137/6187/6124/6147/6181/6175/6223/6191/6122/6130/6129/6138/4736/6189/3921/6203/6128/2936/6125/6217/9045/6201/6205,Reactome,Mitochondria and metabolism
R-HSA-3000157,R-HSA-3000157,Laminin Interactions,2.314308004,9.46E-05,3673/3679/3915/3913/3688/3908/3911/3691/3655,Reactome,Microtubule organisation
R-HSA-1799339,R-HSA-1799339,SRP-Dependent Cotranslational Protein Targeting To Membrane,2.181754638,9.50E-05,6222/6136/6202/6139/6137/6187/6124/6147/6181/6175/6223/6191/6122/6130/6129/6138/4736/6189/3921/6203/6128/6125/6217/9045/6201/6205,Reactome,Extracellular matrix and adhesion
R-HSA-192823,R-HSA-192823,Viral mRNA Translation,2.181754638,9.50E-05,6222/6136/6202/6139/6137/6187/6124/6147/6181/6175/6223/6191/6122/6130/6129/6138/4736/6189/3921/6203/6128/6125/6217/9045/6201/6205,Reactome,Endoplasmic reticulum and secretory pathway
R-HSA-2408557,R-HSA-2408557,Selenocysteine Synthesis,2.181754638,9.50E-05,6222/6136/6202/6139/6137/6187/6124/6147/6181/6175/6223/6191/6122/6130/6129/6138/4736/6189/3921/6203/6128/6125/6217/9045/6201/6205,Reactome,Mitochondria and metabolism
R-HSA-68886,R-HSA-68886,M Phase,-2.091836213,9.50E-05,5689/22933/5713/5695/1778/5684/5708/5709/9861/5701/3320/5702/5692/5717/5707/27183/3842/5706/10121/5685/128866/6233/10726/5901/11258/5528/5700/5705/5718/9798/5579/7531/5693/8615/203068/5861/5516/5048/5862/5577/9793/5518/10383/10376/10540/81876/1639/5529/5520/7532/10382/10381/7280/23122/7277/2029/3796,Reactome,Cell cycle regulation
R-HSA-381426,R-HSA-381426,Regulation Of Insulin-Like Growth Factor (IGF) Transport And Uptake By Insulin-Like Growth Factor Binding Proteins (IGFPBPs),2.259620957,0.000117858,2200/1356/5589/720/10130/5034/3915/7184/3913/813/2266/718/8404/4924/5265/351,Reactome,Cell cycle regulation
R-HSA-8957275,R-HSA-8957275,Post-Translational Protein Phosphorylation,2.259620957,0.000117858,2200/1356/5589/720/10130/5034/3915/7184/3913/813/2266/718/8404/4924/5265/351,Reactome,Apoptosis
R-HSA-1428517,R-HSA-1428517,Aerobic Respiration And Respiratory Electron Transport,2.173547949,0.000117858,7385/7384/4719/291/1327/1329/4704/7416/1537/1340/9377/8604/6389/7381/8402/4513/5160/3313/5162/1431/38/50/1738,Reactome,Microtubule organisation
R-HSA-9633012,R-HSA-9633012,Response of Eif2AK4 (GCN2) To Amino Acid Deficiency,2.16928972,0.000117858,6222/6136/6202/6139/6137/6187/6124/6147/6181/6175/6223/6191/6122/6130/6129/6138/4736/6189/3921/6203/6128/6125/6217/9045/6201/6205,Reactome,Apoptosis
R-HSA-72689,R-HSA-72689,Formation of a Pool of Free 40S Subunits,2.159234197,0.000117858,6222/6136/8661/6202/6139/6137/6187/6124/6147/6181/6175/6223/6191/6122/6130/6129/6138/4736/6189/3921/6203/6128/8663/6125/6217/9045/6201/6205,Reactome,Endoplasmic reticulum and secretory pathway
R-HSA-156902,R-HSA-156902,Peptide Chain Elongation,2.145449785,0.000142375,6222/6136/6202/6139/6137/6187/6124/6147/6181/6175/6223/6191/6122/6130/6129/6138/4736/6189/3921/6203/6128/6125/6217/9045/6201/6205,Reactome,Endoplasmic reticulum and secretory pathway
R-HSA-112314,R-HSA-112314,Neurotransmitter Receptors and Postsynaptic Signal Transmission,-2.194356549,0.000161693,5577/815/10383/10376/1173/161/4137/10382/163/160/28964/10381/7280/4905/9568/7277/2770/7102/1740/83988/23236/10681/1742,Reactome,Synaptic regulation
R-HSA-71291,R-HSA-71291,Metabolism Of Amino Acids And Derivatives,1.95865895,0.000161693,8604/1728/6222/6136/3176/7263/29968/2184/11112/501/223/6202/6139/6137/6187/6124/6147/445/1892/38/6181/1738/6175/6223/4357/6191/6122/443/6130/6129/23446/6138/4736/2746/6189/3921/4507/8424/6203/6128/2936/6125/8659/4329/5092/1743/2806/6217/9045/6201/6205/26227,Reactome,Mitochondria and metabolism
R-HSA-975956,R-HSA-975956,Nonsense Mediated Decay (NMD) Independent Of The Exon Junction Complex (EJC),2.170286106,0.000206316,6222/6136/6202/6139/6137/6187/6124/6147/6181/6175/6223/6191/6122/6130/6129/6138/4736/6189/3921/6203/6128/6125/6217/9045/6201/6205,Reactome,Endoplasmic reticulum and secretory pathway
R-HSA-1640170,R-HSA-1640170,Cell Cycle,-1.956596143,0.000230514,5689/22933/5713/5695/1778/5684/5708/5709/9861/5701/3320/5702/5692/5717/5707/27183/3842/5706/10121/3326/5685/128866/6233/10726/5901/5500/10971/11258/5528/5700/5705/5718/9798/5579/7531/5693/8615/4067/203068/5861/7336/5516/7334/5048/5862/5577/7534/9793/5518/7529/10383/10376/10540/81876/1639/5529/5520/8454/7532/7533/51400/10382/10381/7280/23122/7277/2029/3796,Reactome,Cell cycle regulation
R-HSA-3000171,R-HSA-3000171,Non-Integrin Membrane-ECM Interactions,2.169164917,0.000291711,3673/3915/3913/3688/3908/3911/3691/3655/375790/1605/6641,Reactome,Extracellular matrix and adhesion
R-HSA-1474290,R-HSA-1474290,Collagen Formation,2.174533402,0.000291824,1292/1291/1293/5034/5479/3691/3655,Reactome,Extracellular matrix and adhesion
R-HSA-72764,R-HSA-72764,Eukaryotic Translation Termination,2.150035192,0.000291824,6222/6136/6202/6139/6137/6187/6124/6147/6181/6175/6223/6191/6122/6130/6129/6138/4736/6189/3921/6203/6128/6125/6217/9045/6201/6205,Reactome,Endoplasmic reticulum and secretory pathway
R-HSA-168273,R-HSA-168273,Influenza Viral RNA Transcription And Replication,2.145980691,0.000291824,6222/6136/6202/6139/6137/6187/6124/6147/6181/6175/6223/6191/6122/6130/6129/6138/4736/6189/3921/6203/6128/6125/6217/9045/6201/6205,Reactome,Endoplasmic reticulum and secretory pathway
R-HSA-72613,R-HSA-72613,Eukaryotic Translation Initiation,2.088751256,0.000295446,6222/6136/8661/6202/6139/6137/6187/6124/6147/6181/6175/6223/6191/6122/6130/6129/6138/4736/6189/3921/6203/6128/8663/6125/6217/9045/6201/6205,Reactome,Endoplasmic reticulum and secretory pathway
R-HSA-72737,R-HSA-72737,Cap-Dependent Translation Initiation,2.088751256,0.000295446,6222/6136/8661/6202/6139/6137/6187/6124/6147/6181/6175/6223/6191/6122/6130/6129/6138/4736/6189/3921/6203/6128/8663/6125/6217/9045/6201/6205,Reactome,Endoplasmic reticulum and secretory pathway
R-HSA-6811434,R-HSA-6811434,Copi-Dependent Golgi-To-ER Retrograde Traffic,-2.225594082,0.000303324,8775/5861/8774/375/10383/10376/381/81876/3831/10382/10381/7280/4905/55605/7277/63908/3796,Reactome,Endoplasmic reticulum and secretory pathway
R-HSA-983189,R-HSA-983189,Kinesins,-2.218705086,0.00035833,10383/10376/3831/10382/10381/7280/55605/7277/3796,Reactome,Microtubule organisation
R-HSA-156827,R-HSA-156827,L13A-Mediated Translational Silencing of Ceruloplasmin Expression,2.093488199,0.000398328,6222/6136/8661/6202/6139/6137/6187/6124/6147/6181/6175/6223/6191/6122/6130/6129/6138/4736/6189/3921/6203/6128/8663/6125/6217/9045/6201/6205,Reactome,Endoplasmic reticulum and secretory pathway
R-HSA-453274,R-HSA-453274,Mitotic G2-G2/M Phases,-2.06677611,0.000398328,5719/5682/5694/5689/5713/5695/1778/5684/5708/5709/9861/5701/3320/5702/5692/5717/5707/5706/10121/3326/5685/6233/5500/11258/5700/5705/5718/7531/5693/203068/5516/5048/5577/9793/5518/10383/10376/10540/1639/5520/8454/7532/51400/10382/10381/7280/7277,Reactome,Cell cycle regulation
R-HSA-69275,R-HSA-69275,G2/M Transition,-2.06677611,0.000398328,5719/5682/5694/5689/5713/5695/1778/5684/5708/5709/9861/5701/3320/5702/5692/5717/5707/5706/10121/3326/5685/6233/5500/11258/5700/5705/5718/7531/5693/203068/5516/5048/5577/9793/5518/10383/10376/10540/1639/5520/8454/7532/51400/10382/10381/7280/7277,Reactome,Cell cycle regulation
R-HSA-8856688,R-HSA-8856688,Golgi-To-ER Retrograde Transport,-2.151296732,0.000412575,5048/8774/51560/375/10383/10376/381/10540/81876/1639/3831/10382/10381/7280/4905/55605/7277/63908/3796,Reactome,Endoplasmic reticulum and secretory pathway
R-HSA-6791226,R-HSA-6791226,Major Pathway of rRNA Processing in The Nucleolus And Cytosol,2.111217524,0.000412575,6222/6136/6202/6139/6137/6187/6124/6147/6181/6175/6223/6191/6122/6130/6129/6138/4736/6189/3921/6203/6128/6125/6217/9045/6201/6205,Reactome,Endoplasmic reticulum and secretory pathway
R-HSA-72312,R-HSA-72312,rRNA Processing,2.111217524,0.000412575,6222/6136/6202/6139/6137/6187/6124/6147/6181/6175/6223/6191/6122/6130/6129/6138/4736/6189/3921/6203/6128/6125/6217/9045/6201/6205,Reactome,Endoplasmic reticulum and secretory pathway
R-HSA-8868773,R-HSA-8868773,rRNA Processing in The Nucleus And Cytosol,2.111217524,0.000412575,6222/6136/6202/6139/6137/6187/6124/6147/6181/6175/6223/6191/6122/6130/6129/6138/4736/6189/3921/6203/6128/6125/6217/9045/6201/6205,Reactome,Endoplasmic reticulum and secretory pathway
R-HSA-72706,R-HSA-72706,GTP Hydrolysis and Joining of The 60S Ribosomal Subunit,2.081120034,0.000412575,6222/6136/8661/6202/6139/6137/6187/6124/6147/6181/6175/6223/6191/6122/6130/6129/6138/4736/6189/3921/6203/6128/8663/6125/6217/9045/6201/6205,Reactome,Endoplasmic reticulum and secretory pathway
R-HSA-8856825,R-HSA-8856825,Cargo Recognition for Clathrin-Mediated Endocytosis,-2.134528846,0.000534742,9318/58513/10987/8027/1211/9146/10980/2873/1213/1173/9892/161/29924/163/1212/160/25977/22848/6844/84251/6456/6857,Reactome,Synaptic regulation
R-HSA-2500257,R-HSA-2500257,Resolution of Sister Chromatid Cohesion,-2.167908625,0.000560509,5516/5048/9793/5518/10383/10376/5529/10382/10381/7280/23122/7277/3796,Reactome,Cell cycle regulation
WP111,WP111,Electron Transport Chain Oxphos System In Mitochondria,2.395086285,5.99E-07,7385/7384/4719/293/291/1327/1329/4704/1340/9377/6389/7381/4513,WP,Mitochondria and metabolism
WP4396,WP4396,Nonalcoholic Fatty Liver Disease,2.39130798,3.84E-06,7385/7384/4719/1327/1329/4704/1537/1340/9377/6389/7381/4513,WP,Unclassified
WP2267,WP2267,Synaptic Vesicle Pathway,-2.476978697,4.23E-06,6855/1213/1173/26052/10815/161/163/160/57030/4905/6844/10059/1759/6853/6854/5864/112755/6857/6616/6812/6804/10814,WP,Synaptic regulation
WP477,WP477,Cytoplasmic Ribosomal Proteins,2.162478632,0.00011788,6222/6136/6202/6139/6137/6187/6124/6147/6181/6175/6223/6191/6122/6130/6129/6138/4736/6189/3921/6203/6128/6125/6196/6217/9045/6201/6205,WP,Endoplasmic reticulum and secretory pathway
WP4658,WP4658,Small Cell Lung Cancer,2.161662987,0.000349486,3673/3915/3913/3688/3908/3911/3655,WP,Unclassified
WP1544,WP1544,Micrornas In Cardiomyocyte Hypertrophy,-2.139445743,0.002057426,5530/5604/9475/5532,WP,Unclassified
WP5510,WP5510,16P12 2 Copy Number Variation Syndrome 520Kb ,2.040849956,0.002657858,7385/7384/4704/1537/9377/7381,WP,Unclassified
WP244,WP244,Alpha 6 Beta 4 Signaling,2.011180615,0.003805423,3915/3913/3908/3911/3691/3655,WP,Unclassified
WP98,WP98,Prostaglandin Synthesis and Regulation,2.004845327,0.003805423,301/302/307/306/308/8644/5730,WP,Endoplasmic reticulum and secretory pathway
WP4172,WP4172,Pi3K AKT Signaling,1.910842756,0.003805423,1292/1291/1293/3673/3679/3915/7184/3913/3688/3908/3911/55970/3691/3655,WP,Apoptosis
WP2806,WP2806,Complement System,1.976459284,0.00704024,3383/3673/720/811/3915/3911/2266/718,WP,Immune Response and Regulation
WP306,WP306,Focal Adhesion,1.779067799,0.00704024,1292/3673/3679/2316/3915/3913/3688/3908/824/3911/3691/7414/3655/2317/103910/5159/7094/857,WP,Extracellular matrix and adhesion
WP4313,WP4313,Ferroptosis,1.851794968,0.009669581,1356/7417/2512/55847/7419/1536/8644/3315/5621,WP,Mitochondria and metabolism
WP4549,WP4549,Fragile X Syndrome,-1.774064447,0.012130144,2534/5781/10243/4131/1211/815/1213/1173/26999/163/1212/160/5530/1759/5604/23236/1742/2043,WP,Unclassified
WP143,WP143,Fatty Acid Beta Oxidation,1.894702466,0.013003439,3032/3030/2820/3033/37/1666/1892/38/1738,WP,Mitochondria and metabolism
WP3932,WP3932,Focal Adhesion Pi3K AKT MTOR Signaling,1.798057442,0.013375648,1292/3673/3679/3915/7184/3913/3688/3908/3911/55970/3691/3655/3684/5159/3689/2246/7143,WP,Extracellular matrix and adhesion
WP428,WP428,WNT Signaling,-1.855454367,0.019027343,5582/815/5534/1487/5530/23236/9475/5532,WP,Cell cycle regulation
WP408,WP408,Oxidative Stress Response,1.82185899,0.019027343,4128/6648/847/1728/1536,WP,Mitochondria and metabolism
WP2118,WP2118,Arrhythmogenic Right Ventricular Cardiomyopathy,1.710831907,0.037142307,3673/3679/3688/3908/3691/3655/1605/2697,WP,Unclassified
WP5424,WP5424,Omega 6 Fatty Acids In Senescence,1.774256913,0.037368451,2687/8644/1666/5730/145482/2950/216/2876/873,WP,Mitochondria and metabolism
