Ensembl	symbol	KEGG
ENSG00000132341	RAN	RNA transport:KEGG-hsa03013
ENSG00000114573	ATP6V1A	Epithelial cell signaling in Helicobacter pylori infection:KEGG-hsa05120
ENSG00000159720	ATP6V0D1	Epithelial cell signaling in Helicobacter pylori infection:KEGG-hsa05120
ENSG00000155097	ATP6V1C1	Epithelial cell signaling in Helicobacter pylori infection:KEGG-hsa05120
ENSG00000128524	ATP6V1F	Epithelial cell signaling in Helicobacter pylori infection:KEGG-hsa05120
ENSG00000213760	ATP6V1G2	Epithelial cell signaling in Helicobacter pylori infection:KEGG-hsa05120
ENSG00000131100	ATP6V1E1	Epithelial cell signaling in Helicobacter pylori infection:KEGG-hsa05120
ENSG00000147416	ATP6V1B2	Epithelial cell signaling in Helicobacter pylori infection:KEGG-hsa05120
ENSG00000047249	ATP6V1H	Epithelial cell signaling in Helicobacter pylori infection:KEGG-hsa05120
ENSG00000033627	ATP6V0A1	Epithelial cell signaling in Helicobacter pylori infection:KEGG-hsa05120
ENSG00000241685	ARPC1A	Regulation of actin cytoskeleton:KEGG-hsa04810
ENSG00000159720	ATP6V0D1	Lysosome:KEGG-hsa04142
ENSG00000141367	CLTC	Lysosome:KEGG-hsa04142
ENSG00000047249	ATP6V1H	Lysosome:KEGG-hsa04142
ENSG00000033627	ATP6V0A1	Lysosome:KEGG-hsa04142
ENSG00000122705	CLTA	Lysosome:KEGG-hsa04142
ENSG00000241685	ARPC1A	Bacterial invasion of epithelial cells:KEGG-hsa05100
ENSG00000141367	CLTC	Bacterial invasion of epithelial cells:KEGG-hsa05100
ENSG00000122705	CLTA	Bacterial invasion of epithelial cells:KEGG-hsa05100
ENSG00000107317	PTGDS	Arachidonic acid metabolism:KEGG-hsa00590
ENSG00000172260	NEGR1	Cell adhesion molecules (CAMs):KEGG-hsa04514
ENSG00000198910	L1CAM	Cell adhesion molecules (CAMs):KEGG-hsa04514
ENSG00000182985	CADM1	Cell adhesion molecules (CAMs):KEGG-hsa04514
ENSG00000021645	NRXN3	Cell adhesion molecules (CAMs):KEGG-hsa04514
ENSG00000070808	CAMK2A	Melanogenesis:KEGG-hsa04916
ENSG00000156052	GNAQ	Melanogenesis:KEGG-hsa04916
ENSG00000159164	SV2A	ECM-receptor interaction:KEGG-hsa04512
ENSG00000185518	SV2B	ECM-receptor interaction:KEGG-hsa04512
ENSG00000241685	ARPC1A	Shigellosis:KEGG-hsa05131
ENSG00000114573	ATP6V1A	Phagosome:KEGG-hsa04145
ENSG00000075785	RAB7A	Phagosome:KEGG-hsa04145
ENSG00000159720	ATP6V0D1	Phagosome:KEGG-hsa04145
ENSG00000155097	ATP6V1C1	Phagosome:KEGG-hsa04145
ENSG00000128524	ATP6V1F	Phagosome:KEGG-hsa04145
ENSG00000213760	ATP6V1G2	Phagosome:KEGG-hsa04145
ENSG00000131100	ATP6V1E1	Phagosome:KEGG-hsa04145
ENSG00000147416	ATP6V1B2	Phagosome:KEGG-hsa04145
ENSG00000047249	ATP6V1H	Phagosome:KEGG-hsa04145
ENSG00000033627	ATP6V0A1	Phagosome:KEGG-hsa04145
ENSG00000156052	GNAQ	African trypanosomiasis:KEGG-hsa05143
ENSG00000070808	CAMK2A	Olfactory transduction:KEGG-hsa04740
ENSG00000156052	GNAQ	Gap junction:KEGG-hsa04540
ENSG00000173692	PSMD1	Proteasome:KEGG-hsa03050
ENSG00000108344	PSMD3	Proteasome:KEGG-hsa03050
ENSG00000103035	PSMD7	Proteasome:KEGG-hsa03050
ENSG00000156052	GNAQ	Alzheimer's disease:KEGG-hsa05010
ENSG00000070808	CAMK2A	Glioma:KEGG-hsa05214
ENSG00000070808	CAMK2A	Tuberculosis:KEGG-hsa05152
ENSG00000075785	RAB7A	Tuberculosis:KEGG-hsa05152
ENSG00000159720	ATP6V0D1	Tuberculosis:KEGG-hsa05152
ENSG00000047249	ATP6V1H	Tuberculosis:KEGG-hsa05152
ENSG00000033627	ATP6V0A1	Tuberculosis:KEGG-hsa05152
ENSG00000116120	FARSB	Aminoacyl-tRNA biosynthesis:KEGG-hsa00970
