GO-Elite ORA Results
File:
Table:
colors:
10/23/2023
Homo sapiens
Pvalues = true
Calculation Summary:
166 Ensembl source identifiers supplied in the input file:green_Module.txt
166 source identifiers meeting the filter linked to a Ensembl ID.
84 genes meeting the criterion linked to a term.
1739 source identifiers in this dataset.
1739 source identifiers linked to a Ensembl ID.
762 Genes linked to a term.
The z score is based on an N of 762 and a R of 84 distinct genes in all terms.

Gene-Set Name	Number Changed	Number Measured	Number in Gene-Set	Percent Changed	Percent Present	Z Score	PermuteP	AdjustedP
Acetylcholine Synthesis:WP528	0	1	7	0.0	14.2857142857	-0.351985518608	1.0	1.0
ACE Inhibitor Pathway:WP554	0	1	18	0.0	5.55555555556	-0.351985518608	1.0	1.0
Rac1/Pak1/p38/MMP-2 pathway:WP3303	1	13	67	7.69230769231	19.4029850746	-0.386579832268	0.7405	1.0
Oncostatin M Signaling Pathway:WP2374	1	13	64	7.69230769231	20.3125	-0.386579832268	0.723	1.0
TCR Signaling Pathway:WP69	1	14	91	7.14285714286	15.3846153846	-0.467652610276	0.507	1.0
Alpha 6 Beta 4 signaling pathway:WP244	1	14	33	7.14285714286	42.4242424242	-0.467652610276	0.526	1.0
Myometrial Relaxation and Contraction Pathways:WP289	4	45	160	8.88888888889	28.125	-0.471067437559	0.821	1.0
Type II diabetes mellitus:WP1584	0	2	22	0.0	9.09090909091	-0.498110075133	1.0	1.0
TarBasePathway:WP1992	0	2	13	0.0	15.3846153846	-0.498110075133	1.0	1.0
Synthesis and Degradation of Ketone Bodies:WP311	0	2	5	0.0	40.0	-0.498110075133	1.0	1.0
Serotonin Receptor 2 and STAT3 Signaling:WP733	0	2	4	0.0	50.0	-0.498110075133	1.0	1.0
SREBF and miR33 in cholesterol and lipid homeostasis:WP2011	0	2	19	0.0	10.5263157895	-0.498110075133	1.0	1.0
Preimplantation Embryo:WP3527	0	2	59	0.0	3.38983050847	-0.498110075133	1.0	1.0
Polyol Pathway:WP690	0	2	4	0.0	50.0	-0.498110075133	1.0	1.0
Pilocytic astrocytoma:WP2253	0	2	4	0.0	50.0	-0.498110075133	1.0	1.0
Osteoclast Signaling:WP12	0	2	16	0.0	12.5	-0.498110075133	1.0	1.0
Notch Signaling Pathway:WP268	0	2	45	0.0	4.44444444444	-0.498110075133	1.0	1.0
Mitochondrial Gene Expression:WP391	0	2	19	0.0	10.5263157895	-0.498110075133	1.0	1.0
GPCRs, Other:WP117	0	2	96	0.0	2.08333333333	-0.498110075133	1.0	1.0
GPCRs, Class A Rhodopsin-like:WP455	0	2	258	0.0	0.77519379845	-0.498110075133	1.0	1.0
Fatty Acid Omega Oxidation:WP206	0	2	15	0.0	13.3333333333	-0.498110075133	1.0	1.0
Estrogen Receptor Pathway:WP2881	0	2	13	0.0	15.3846153846	-0.498110075133	1.0	1.0
EBV LMP1 signaling:WP262	0	2	23	0.0	8.69565217391	-0.498110075133	1.0	1.0
Drug Induction of Bile Acid Pathway:WP2289	0	2	18	0.0	11.1111111111	-0.498110075133	1.0	1.0
Dopaminergic Neurogenesis:WP2855	0	2	30	0.0	6.66666666667	-0.498110075133	1.0	1.0
Constitutive Androstane Receptor Pathway:WP2875	0	2	32	0.0	6.25	-0.498110075133	1.0	1.0
Apoptosis Modulation and Signaling:WP1772	0	2	16	0.0	12.5	-0.498110075133	1.0	1.0
Calcium Regulation in the Cardiac Cell:WP536	5	56	153	8.92857142857	36.6013071895	-0.519731444655	0.7005	1.0
Kit receptor signaling pathway:WP304	1	15	61	6.66666666667	24.5901639344	-0.543827607377	0.508	1.0
Alzheimers Disease:WP2059	2	26	81	7.69230769231	32.0987654321	-0.5515135574	0.6955	1.0
SIDS Susceptibility Pathways:WP706	3	37	157	8.10810810811	23.5668789809	-0.580149324146	0.645	1.0
TWEAK Signaling Pathway:WP2036	0	3	40	0.0	7.5	-0.610459510205	1.0	1.0
Sulfation Biotransformation Reaction:WP692	0	3	17	0.0	17.6470588235	-0.610459510205	1.0	1.0
Serotonin Transporter Activity:WP1455	0	3	11	0.0	27.2727272727	-0.610459510205	1.0	1.0
Selenium Metabolism and Selenoproteins:WP28	0	3	35	0.0	8.57142857143	-0.610459510205	1.0	1.0
Retinoblastoma (RB) in Cancer:WP2446	0	3	93	0.0	3.22580645161	-0.610459510205	1.0	1.0
RalA downstream regulated genes:WP2290	0	3	13	0.0	23.0769230769	-0.610459510205	1.0	1.0
Osteoblast Signaling:WP322	0	3	14	0.0	21.4285714286	-0.610459510205	1.0	1.0
Iron metabolism in placenta:WP2007	0	3	12	0.0	25.0	-0.610459510205	1.0	1.0
Initiation of transcription and translation elongation at the HIV-1 LTR:WP3414	0	3	31	0.0	9.67741935484	-0.610459510205	1.0	1.0
IL17 signaling pathway:WP2112	0	3	31	0.0	9.67741935484	-0.610459510205	1.0	1.0
IL1 and megakaryotyces in obesity:WP2865	0	3	25	0.0	12.0	-0.610459510205	1.0	1.0
Heart Development:WP1591	0	3	48	0.0	6.25	-0.610459510205	1.0	1.0
Differentiation Pathway:WP2848	0	3	49	0.0	6.12244897959	-0.610459510205	1.0	1.0
Deregulation of Rab and Rab Effector Genes in Bladder Cancer:WP2291	0	3	16	0.0	18.75	-0.610459510205	1.0	1.0
Cholesterol Biosynthesis:WP197	0	3	17	0.0	17.6470588235	-0.610459510205	1.0	1.0
Arachidonate Epoxygenase / Epoxide Hydrolase:WP678	0	3	7	0.0	42.8571428571	-0.610459510205	1.0	1.0
Apoptosis Modulation by HSP70:WP384	0	3	20	0.0	15.0	-0.610459510205	1.0	1.0
Wnt Signaling Pathway and Pluripotency:WP399	1	16	101	6.25	15.8415841584	-0.615788278691	0.515	1.0
BCL-XL prevents the binding of truncated BID to BAX. This is prevented by BAD. BAD can displace tBID from BCL-XL.   :WP231	1	16	92	6.25	17.3913043478	-0.615788278691	0.524	1.0
B Cell Receptor Signaling Pathway:WP23	1	17	99	5.88235294118	17.1717171717	-0.68408405934	0.5415	1.0
