Ensembl	symbol	GeneOntology
ENSG00000117115	PADI2	GO:0050789
ENSG00000164111	ANXA5	GO:0050789
ENSG00000140678	ITGAX	GO:0050789
ENSG00000077942	FBLN1	GO:0050789
ENSG00000170390	DCLK2	GO:0050789
ENSG00000171867	PRNP	GO:0050789
ENSG00000141458	NPC1	GO:0050789
ENSG00000117525	F3	GO:0050789
ENSG00000091164	TXNL1	GO:0050789
ENSG00000110801	PSMD9	GO:0050789
ENSG00000213585	VDAC1	GO:0050789
ENSG00000204287	HLA-DRA	GO:0050789
ENSG00000181019	NQO1	GO:0050789
ENSG00000168092	PAFAH1B2	GO:0050789
ENSG00000063046	EIF4B	GO:0050789
ENSG00000165283	STOML2	GO:0050789
ENSG00000054179	ENTPD2	GO:0050789
ENSG00000165478	HEPACAM	GO:0050789
ENSG00000171368	TPPP	GO:0050789
ENSG00000152661	GJA1	GO:0050789
ENSG00000138119	MYOF	GO:0050789
ENSG00000138448	ITGAV	GO:0050789
ENSG00000198898	CAPZA2	GO:0050789
ENSG00000106992	AK1	GO:0050789
ENSG00000147255	IGSF1	GO:0050789
ENSG00000167658	EEF2	GO:0050789
ENSG00000196924	FLNA	GO:0050789
ENSG00000130988	RGN	GO:0050789
ENSG00000038274	MAT2B	GO:0050789
ENSG00000108561	C1QBP	GO:0050789
ENSG00000106991	ENG	GO:0050789
ENSG00000153187	HNRNPU	GO:0050789
ENSG00000085491	SLC25A24	GO:0050789
ENSG00000137509	PRCP	GO:0050789
ENSG00000100427	MLC1	GO:0050789
ENSG00000154096	THY1	GO:0050789
ENSG00000026508	CD44	GO:0050789
ENSG00000065135	GNAI3	GO:0050789
ENSG00000030582	GRN	GO:0050789
ENSG00000198805	PNP	GO:0050789
ENSG00000087842	PIR	GO:0050789
ENSG00000198034	RPS4X	GO:0050789
ENSG00000115380	EFEMP1	GO:0050789
ENSG00000234745	HLA-B	GO:0050789
ENSG00000034713	GABARAPL2	GO:0050789
ENSG00000133818	RRAS2	GO:0050789
ENSG00000114779	ABHD14B	GO:0050789
ENSG00000198793	MTOR	GO:0050789
ENSG00000117298	ECE1	GO:0050789
ENSG00000117054	ACADM	GO:0050789
ENSG00000175390	EIF3F	GO:0050789
ENSG00000156535	CD109	GO:0050789
ENSG00000164022	AIMP1	GO:0050789
ENSG00000136448	NMT1	GO:0050789
ENSG00000197702	PARVA	GO:0050789
ENSG00000117450	PRDX1	GO:0050789
ENSG00000111348	ARHGDIB	GO:0050789
ENSG00000137710	RDX	GO:0050789
ENSG00000140945	CDH13	GO:0050789
ENSG00000164530	PI16	GO:0050789
ENSG00000117228	GBP1	GO:0050789
ENSG00000083720	OXCT1	GO:0050789
ENSG00000079215	SLC1A3	GO:0050789
ENSG00000105974	CAV1	GO:0050789
ENSG00000213366	GSTM2	GO:0050789
ENSG00000135821	GLUL	GO:0050789
ENSG00000140545	MFGE8	GO:0050789
ENSG00000169756	LIMS1	GO:0050789
ENSG00000024422	EHD2	GO:0050789
ENSG00000144834	TAGLN3	GO:0050789
ENSG00000136717	BIN1	GO:0050789
ENSG00000108797	CNTNAP1	GO:0050789
ENSG00000115541	HSPE1	GO:0050789
ENSG00000135046	ANXA1	GO:0050789
ENSG00000166333	ILK	GO:0050789
ENSG00000196975	ANXA4	GO:0050789
ENSG00000203879	GDI1	GO:0050789
ENSG00000122873	CISD1	GO:0050789
ENSG00000177301	KCNA2	GO:0050789
ENSG00000006747	SCIN	GO:0050789
ENSG00000069424	KCNAB2	GO:0050789
ENSG00000105695	MAG	GO:0050789
ENSG00000147065	MSN	GO:0050789
ENSG00000260314	MRC1	GO:0050789
ENSG00000107581	EIF3A	GO:0050789
ENSG00000127314	RAP1B	GO:0050789
ENSG00000148482	SLC39A12	GO:0050789
ENSG00000165912	PACSIN3	GO:0050789
ENSG00000163359	COL6A3	GO:0050789
ENSG00000044115	CTNNA1	GO:0050789
ENSG00000072778	ACADVL	GO:0050789
ENSG00000172009	THOP1	GO:0050789
ENSG00000175130	MARCKSL1	GO:0050789
ENSG00000187091	PLCD1	GO:0050789
ENSG00000110013	SIAE	GO:0050789
ENSG00000166340	TPP1	GO:0050789
ENSG00000156508	EEF1A1	GO:0050789
ENSG00000172380	GNG12	GO:0050789
ENSG00000143126	CELSR2	GO:0050789
ENSG00000150768	DLAT	GO:0050789
ENSG00000149273	RPS3	GO:0050789
ENSG00000116161	CACYBP	GO:0050789
ENSG00000022267	FHL1	GO:0050789
ENSG00000171298	GAA	GO:0050789
ENSG00000005884	ITGA3	GO:0050789
ENSG00000078668	VDAC3	GO:0050789
ENSG00000010327	STAB1	GO:0050789
ENSG00000179604	CDC42EP4	GO:0050789
ENSG00000001561	ENPP4	GO:0050789
ENSG00000167315	ACAA2	GO:0050789
ENSG00000167468	GPX4	GO:0050789
ENSG00000125257	ABCC4	GO:0050789
ENSG00000091140	DLD	GO:0050789
ENSG00000150093	ITGB1	GO:0050789
ENSG00000074800	ENO1	GO:0050789
ENSG00000112210	RAB23	GO:0050789
ENSG00000113657	DPYSL3	GO:0050789
ENSG00000154721	JAM2	GO:0050789
ENSG00000198836	OPA1	GO:0050789
ENSG00000135318	NT5E	GO:0050789
ENSG00000121769	FABP3	GO:0050789
ENSG00000143933	CALM2	GO:0050789
ENSG00000168522	FNTA	GO:0050789
ENSG00000177889	UBE2N	GO:0050789
ENSG00000166147	FBN1	GO:0050789
ENSG00000163399	ATP1A1	GO:0050789
ENSG00000163191	S100A11	GO:0050789
ENSG00000140988	RPS2	GO:0050789
ENSG00000136205	TNS3	GO:0050789
ENSG00000149357	LAMTOR1	GO:0050789
ENSG00000137154	RPS6	GO:0050789
ENSG00000148334	PTGES2	GO:0050789
ENSG00000167986	DDB1	GO:0050789
ENSG00000113013	HSPA9	GO:0050789
ENSG00000131828	PDHA1	GO:0050789
ENSG00000186868	MAPT	GO:0050789
ENSG00000105372	RPS19	GO:0050789
ENSG00000092820	EZR	GO:0050789
ENSG00000182718	ANXA2	GO:0050789
ENSG00000164307	ERAP1	GO:0050789
ENSG00000261371	PECAM1	GO:0050789
ENSG00000106028	SSBP1	GO:0050789
ENSG00000166426	CRABP1	GO:0050789
ENSG00000168118	RAB4A	GO:0050789
ENSG00000091409	ITGA6	GO:0050789
ENSG00000144381	HSPD1	GO:0050789
ENSG00000089220	PEBP1	GO:0050789
ENSG00000169604	ANTXR1	GO:0050789
ENSG00000131095	GFAP	GO:0050789
ENSG00000120885	CLU	GO:0050789
ENSG00000134243	SORT1	GO:0050789
ENSG00000126247	CAPNS1	GO:0050789
ENSG00000119335	SET	GO:0050789
ENSG00000186010	NDUFA13	GO:0050789
ENSG00000206503	HLA-A	GO:0050789
ENSG00000213719	CLIC1	GO:0050789
ENSG00000085733	CTTN	GO:0050789
ENSG00000103811	CTSH	GO:0050789
ENSG00000148660	CAMK2G	GO:0050789
ENSG00000184985	SORCS2	GO:0050789
ENSG00000071242	RPS6KA2	GO:0050789
ENSG00000138185	ENTPD1	GO:0050789
ENSG00000105519	CAPS	GO:0050789
ENSG00000170017	ALCAM	GO:0050789
ENSG00000069535	MAOB	GO:0050789
ENSG00000185896	LAMP1	GO:0050789
ENSG00000122566	HNRNPA2B1	GO:0050789
ENSG00000076356	PLXNA2	GO:0050789
ENSG00000161638	ITGA5	GO:0050789
ENSG00000078140	UBE2K	GO:0050789
ENSG00000135424	ITGA7	GO:0050789
ENSG00000005022	SLC25A5	GO:0050789
ENSG00000164171	ITGA2	GO:0050789
ENSG00000140022	STON2	GO:0050789
ENSG00000184047	DIABLO	GO:0050789
ENSG00000196126	HLA-DRB1	GO:0050789
ENSG00000197157	SND1	GO:0050789
ENSG00000136044	APPL2	GO:0050789
ENSG00000110436	SLC1A2	GO:0050789
ENSG00000165672	PRDX3	GO:0050789
ENSG00000073712	FERMT2	GO:0050789
ENSG00000177119	ANO6	GO:0050789
ENSG00000124942	AHNAK	GO:0050789
ENSG00000149260	CAPN5	GO:0050789
ENSG00000090339	ICAM1	GO:0050789
ENSG00000005893	LAMP2	GO:0050789
ENSG00000215021	PHB2	GO:0050789
ENSG00000168140	VASN	GO:0050789
ENSG00000102032	RENBP	GO:0050789
ENSG00000187244	BCAM	GO:0050789
ENSG00000189058	APOD	GO:0050789
ENSG00000088832	FKBP1A	GO:0050789
ENSG00000213619	NDUFS3	GO:0050789
ENSG00000167588	GPD1	GO:0050789
ENSG00000121691	CAT	GO:0050789
ENSG00000100031	GGT1	GO:0050789
ENSG00000100033	PRODH	GO:0050789
ENSG00000104067	TJP1	GO:0050789
ENSG00000156709	AIFM1	GO:0050789
ENSG00000184110	EIF3C	GO:0050789
ENSG00000169139	UBE2V2	GO:0050789
ENSG00000116171	SCP2	GO:0050789
ENSG00000132589	FLOT2	GO:0050789
ENSG00000121774	KHDRBS1	GO:0050789
ENSG00000076554	TPD52	GO:0050789
ENSG00000145425	RPS3A	GO:0050789
ENSG00000108828	VAT1	GO:0050789
ENSG00000162704	ARPC5	GO:0050789
ENSG00000125249	RAP2A	GO:0050789
ENSG00000108821	COL1A1	GO:0050789
ENSG00000042493	CAPG	GO:0050789
ENSG00000105185	PDCD5	GO:0050789
ENSG00000169862	CTNND2	GO:0050789
ENSG00000113721	PDGFRB	GO:0050789
ENSG00000104687	GSR	GO:0050789
ENSG00000113140	SPARC	GO:0050789
ENSG00000160255	ITGB2	GO:0050789
ENSG00000172115	CYCS	GO:0050789
ENSG00000035403	VCL	GO:0050789
ENSG00000057608	GDI2	GO:0050789
ENSG00000004468	CD38	GO:0050789
ENSG00000172270	BSG	GO:0050789
ENSG00000170558	CDH2	GO:0050789
ENSG00000112769	LAMA4	GO:0050789
ENSG00000169896	ITGAM	GO:0050789
ENSG00000162909	CAPN2	GO:0050789
ENSG00000041982	TNC	GO:0050789
ENSG00000131711	MAP1B	GO:0050789
ENSG00000173402	DAG1	GO:0050789
ENSG00000273749	CYFIP1	GO:0050789
ENSG00000173267	SNCG	GO:0050789
ENSG00000087460	GNAS	GO:0050789
ENSG00000244731	C4A	GO:0050789
ENSG00000131016	AKAP12	GO:0050789
ENSG00000165637	VDAC2	GO:0050789
ENSG00000109971	HSPA8	GO:0050789
ENSG00000095261	PSMD5	GO:0050789
ENSG00000102547	CAB39L	GO:0050789
ENSG00000154380	ENAH	GO:0050789
ENSG00000213722	DDAH2	GO:0050789
ENSG00000122694	GLIPR2	GO:0050789
ENSG00000165168	CYBB	GO:0050789
ENSG00000163931	TKT	GO:0050789
ENSG00000132470	ITGB4	GO:0050789
ENSG00000105835	NAMPT	GO:0050789
ENSG00000163110	PDLIM5	GO:0050789
ENSG00000100911	PSME2	GO:0050789
ENSG00000108179	PPIF	GO:0050789
ENSG00000143420	ENSA	GO:0050789
ENSG00000204065	TCEAL5	GO:0050789
ENSG00000215301	DDX3X	GO:0050789
ENSG00000155380	SLC16A1	GO:0050789
ENSG00000145864	GABRB2	GO:0050789
ENSG00000196139	AKR1C3	GO:0050789
ENSG00000161533	ACOX1	GO:0050789
ENSG00000162736	NCSTN	GO:0050789
ENSG00000116096	SPR	GO:0050789
ENSG00000170458	CD14	GO:0050789
ENSG00000165280	VCP	GO:0050789
ENSG00000126458	RRAS	GO:0050789
ENSG00000205542	TMSB4X	GO:0050789
ENSG00000006451	RALA	GO:0050789
ENSG00000109472	CPE	GO:0050789
ENSG00000115091	ACTR3	GO:0050789
ENSG00000151729	SLC25A4	GO:0050789
ENSG00000129219	PLD2	GO:0050789
ENSG00000129353	SLC44A2	GO:0050789
ENSG00000117450	PRDX1	GO:0005719
ENSG00000115091	ACTR3	GO:0051653
ENSG00000177889	UBE2N	GO:1903308
ENSG00000119335	SET	GO:1903308
ENSG00000119335	SET	GO:1903309
ENSG00000185896	LAMP1	GO:1903307
ENSG00000185896	LAMP1	GO:1903305
ENSG00000105409	ATP1A3	GO:0007626
ENSG00000131238	PPT1	GO:0007626
ENSG00000196586	MYO6	GO:0007626
ENSG00000141458	NPC1	GO:0007626
ENSG00000183044	ABAT	GO:0007626
ENSG00000171298	GAA	GO:0007626
ENSG00000186868	MAPT	GO:0007626
ENSG00000185565	LSAMP	GO:0007626
ENSG00000173267	SNCG	GO:0007626
ENSG00000198931	APRT	GO:0007625
ENSG00000131238	PPT1	GO:0007625
ENSG00000148053	NTRK2	GO:0007623
ENSG00000138413	IDH1	GO:0006629
ENSG00000138796	HADH	GO:0006629
ENSG00000138029	HADHB	GO:0006629
ENSG00000164687	FABP5	GO:0006629
ENSG00000173599	PC	GO:0006629
ENSG00000079462	PAFAH1B3	GO:0006629
ENSG00000123384	LRP1	GO:0006629
ENSG00000131238	PPT1	GO:0006629
ENSG00000161714	PLCD3	GO:0006629
ENSG00000141458	NPC1	GO:0006629
ENSG00000075239	ACAT1	GO:0006629
ENSG00000175198	PCCA	GO:0006629
ENSG00000168092	PAFAH1B2	GO:0006629
ENSG00000165475	CRYL1	GO:0006629
ENSG00000038274	MAT2B	GO:0006629
ENSG00000085719	CPNE3	GO:0006629
ENSG00000112294	ALDH5A1	GO:0006629
ENSG00000084754	HADHA	GO:0006629
ENSG00000095321	CRAT	GO:0006629
ENSG00000197894	ADH5	GO:0006629
ENSG00000155252	PI4K2A	GO:0006629
ENSG00000117054	ACADM	GO:0006629
ENSG00000083720	OXCT1	GO:0006629
ENSG00000105974	CAV1	GO:0006629
ENSG00000068383	INPP5A	GO:0006629
ENSG00000100075	SLC25A1	GO:0006629
ENSG00000140043	PTGR2	GO:0006629
ENSG00000176393	RNPEP	GO:0006629
ENSG00000104763	ASAH1	GO:0006629
ENSG00000155368	DBI	GO:0006629
ENSG00000072778	ACADVL	GO:0006629
ENSG00000187091	PLCD1	GO:0006629
ENSG00000166340	TPP1	GO:0006629
ENSG00000016391	CHDH	GO:0006629
ENSG00000167315	ACAA2	GO:0006629
ENSG00000167468	GPX4	GO:0006629
ENSG00000121769	FABP3	GO:0006629
ENSG00000117592	PRDX6	GO:0006629
ENSG00000148334	PTGES2	GO:0006629
ENSG00000072506	HSD17B10	GO:0006629
ENSG00000120885	CLU	GO:0006629
ENSG00000099998	GGT5	GO:0006629
ENSG00000071242	RPS6KA2	GO:0006629
ENSG00000159228	CBR1	GO:0006629
