GO-Elite ORA Results
File:
Table:
colors:
10/23/2023
Homo sapiens
Pvalues = true
Calculation Summary:
558 Ensembl source identifiers supplied in the input file:black_Module.txt
558 source identifiers meeting the filter linked to a Ensembl ID.
213 genes meeting the criterion linked to a term.
1739 source identifiers in this dataset.
1739 source identifiers linked to a Ensembl ID.
762 Genes linked to a term.
The z score is based on an N of 762 and a R of 213 distinct genes in all terms.

Gene-Set Name	Number Changed	Number Measured	Number in Gene-Set	Percent Changed	Percent Present	Z Score	PermuteP	AdjustedP
Arrhythmogenic right ventricular cardiomyopathy (ARVC):KEGG-hsa05412:WP2118	5	31	77	16.1290322581	40.2597402597	-1.49674478881	0.1945	0.911900662252
PPAR Alpha Pathway:WP2878	0	6	26	0.0	23.0769230769	-1.5307726188	0.1915	0.911900662252
NRF2 pathway:WP2884	6	37	143	16.2162162162	25.8741258741	-1.62983356052	0.213	0.911900662252
Folate Metabolism:WP176	0	7	35	0.0	20.0	-1.65451802183	0.2115	0.911900662252
Vitamin B12 Metabolism:WP1533	0	8	55	0.0	14.5454545455	-1.76992669039	0.1145	0.849814285714
Mitochondrial LC-Fatty Acid Beta-Oxidation:WP368	0	8	18	0.0	44.4444444444	-1.76992669039	0.1255	0.849814285714
Integrated Breast Cancer Pathway:WP1984	0	8	69	0.0	11.5942028986	-1.76992669039	0.1245	0.849814285714
Glutathione metabolism:WP100	0	9	17	0.0	52.9411764706	-1.87853687488	0.0685	0.737931818182
Metapathway biotransformation:WP702	2	21	177	9.52380952381	11.8644067797	-1.90709521128	0.0975	0.849814285714
Selenium Micronutrient Network:WP15	1	19	87	5.26315789474	21.8390804598	-2.23038851952	0.058	0.654571428571
Oxidative phosphorylation:WP623	0	14	66	0.0	21.2121212121	-2.35076478785	0.0505	0.598425
Fatty Acid Beta Oxidation:WP143	0	15	33	0.0	45.4545454545	-2.43490087921	0.0265	0.448607142857
Cytoplasmic Ribosomal Proteins:WP477	0	26	97	0.0	26.8041237113	-3.22956273102	0.005	0.148125
Electron Transport Chain:WP111	0	27	109	0.0	24.7706422018	-3.29332181108	0.0035	0.13825
