GO-Elite ORA Results
File:
Table:
Database: Based on OBO-Database version: 6/14/2011
colors:
10/23/2023
Homo sapiens
Pvalues = true
Calculation Summary:
540 Ensembl source identifiers supplied in the input file:turquoise_Module.txt
540 source identifiers meeting the filter linked to a Ensembl ID.
537 genes meeting the criterion linked to a term.
1739 source identifiers in this dataset.
1739 source identifiers linked to a Ensembl ID.
1730 Genes linked to a term.
The z score is based on an N of 1730 and a R of 537 distinct genes in all terms.

Ontology-ID	Ontology Name	Ontology Type	Number Changed	Number Measured	Number in Ontology	Percent Changed	Percent Present	Z Score	PermuteP	AdjustedP
GO:0015853	adenine transport	biological_process	3	3	3	100.0	100.0	2.58312268969	0.027	0.492062264151
GO:0015851	nucleobase transport	biological_process	3	3	7	100.0	42.8571428571	2.58312268969	0.027	0.492062264151
GO:0015810	aspartate transport	biological_process	3	3	7	100.0	42.8571428571	2.58312268969	0.031	0.516256896552
GO:0015740	C4-dicarboxylate transport	biological_process	3	3	8	100.0	37.5	2.58312268969	0.031	0.516256896552
GO:0008131	primary amine oxidase activity	molecular_function	3	3	6	100.0	50.0	2.58312268969	0.03	0.515604982206
GO:0007007	inner mitochondrial membrane organization	biological_process	3	3	13	100.0	23.0769230769	2.58312268969	0.038	0.565550077042
GO:0006863	purine nucleobase transport	biological_process	3	3	5	100.0	60.0	2.58312268969	0.027	0.492062264151
GO:0006809	nitric oxide biosynthetic process	biological_process	3	3	20	100.0	15.0	2.58312268969	0.03	0.515604982206
GO:0006768	biotin metabolic process	biological_process	3	3	11	100.0	27.2727272727	2.58312268969	0.0225	0.43640060241
GO:0006574	valine catabolic process	biological_process	3	3	4	100.0	75.0	2.58312268969	0.0275	0.496490654206
GO:0006573	valine metabolic process	biological_process	3	3	8	100.0	37.5	2.58312268969	0.0275	0.496490654206
GO:0006085	acetyl-CoA biosynthetic process	biological_process	3	3	5	100.0	60.0	2.58312268969	0.038	0.565550077042
GO:0005740	mitochondrial envelope	cellular_component	3	3	20	100.0	15.0	2.58312268969	0.0285	0.503256855576
GO:0005534	galactose binding	molecular_function	3	3	4	100.0	75.0	2.58312268969	0.0225	0.43640060241
GO:0004300	enoyl-CoA hydratase activity	molecular_function	3	3	5	100.0	60.0	2.58312268969	0.0375	0.561569767442
GO:0002480	antigen processing and presentation of exogenous peptide antigen via MHC class I, TAP-independent	biological_process	3	3	41	100.0	7.31707317073	2.58312268969	0.031	0.516256896552
GO:0002181	cytoplasmic translation	biological_process	3	3	4	100.0	75.0	2.58312268969	0.026	0.47835047619
GO:0002080	acrosomal membrane	cellular_component	3	3	17	100.0	17.6470588235	2.58312268969	0.03	0.515604982206
GO:0044437	vacuolar part	cellular_component	36	82	437	43.9024390244	18.7643020595	2.57853049885	0.0095	0.254890277778
GO:1903561	extracellular vesicle	cellular_component	299	884	2648	33.8235294118	33.3836858006	2.55682406528	0.009	0.247666666667
GO:0070062	extracellular vesicular exosome	cellular_component	299	884	2648	33.8235294118	33.3836858006	2.55682406528	0.009	0.247666666667
GO:0065010	extracellular membrane-bounded organelle	cellular_component	299	884	2648	33.8235294118	33.3836858006	2.55682406528	0.009	0.247666666667
GO:0043230	extracellular organelle	cellular_component	299	884	2648	33.8235294118	33.3836858006	2.55682406528	0.009	0.247666666667
GO:0031589	cell-substrate adhesion	biological_process	19	38	140	50.0	27.1428571429	2.55361602243	0.0175	0.365080993521
GO:0016042	lipid catabolic process	biological_process	21	43	244	48.8372093023	17.6229508197	2.55360397106	0.014	0.31968321513
GO:0033559	unsaturated fatty acid metabolic process	biological_process	11	19	101	57.8947368421	18.8118811881	2.54332261677	0.0155	0.341813926941
GO:0046496	nicotinamide nucleotide metabolic process	biological_process	14	26	59	53.8461538462	44.0677966102	2.53181143759	0.0185	0.379387473461
GO:0019362	pyridine nucleotide metabolic process	biological_process	14	26	59	53.8461538462	44.0677966102	2.53181143759	0.0185	0.379387473461
GO:0006733	oxidoreduction coenzyme metabolic process	biological_process	14	26	71	53.8461538462	36.6197183099	2.53181143759	0.0185	0.379387473461
GO:0007159	leukocyte cell-cell adhesion	biological_process	16	31	248	51.6129032258	12.5	2.49750412258	0.017	0.357740740741
GO:0044853	plasma membrane raft	cellular_component	10	17	67	58.8235294118	25.3731343284	2.4874949073	0.0125	0.302600250627
GO:0005901	caveola	cellular_component	10	17	67	58.8235294118	25.3731343284	2.4874949073	0.0125	0.302600250627
GO:0006518	peptide metabolic process	biological_process	18	36	122	50.0	29.5081967213	2.48403964613	0.0195	0.394038702929
GO:0044421	extracellular region part	cellular_component	315	939	3701	33.5463258786	25.3715212105	2.45379451451	0.011	0.276690104167
GO:0051186	cofactor metabolic process	biological_process	31	70	277	44.2857142857	25.2707581227	2.4445078254	0.013	0.30626097561
GO:0006066	alcohol metabolic process	biological_process	23	49	356	46.9387755102	13.7640449438	2.43950360137	0.019	0.387993657505
GO:0044085	cellular component biogenesis	biological_process	9	15	100	60.0	15.0	2.43411686355	0.022	0.433669387755
GO:0009749	response to glucose	biological_process	9	15	111	60.0	13.5135135135	2.43411686355	0.018	0.373094420601
GO:0043229	intracellular organelle	cellular_component	367	1110	9984	33.0630630631	11.1177884615	2.43227132095	0.017	0.357740740741
GO:0072593	reactive oxygen species metabolic process	biological_process	15	29	120	51.724137931	24.1666666667	2.42722922692	0.03	0.515604982206
GO:0007160	cell-matrix adhesion	biological_process	15	29	100	51.724137931	29.0	2.42722922692	0.033	0.525985148515
GO:0030055	cell-substrate junction	cellular_component	21	44	159	47.7272727273	27.6729559748	2.42274171428	0.0205	0.410808091286
GO:0030855	epithelial cell differentiation	biological_process	19	39	306	48.7179487179	12.7450980392	2.4127773313	0.0175	0.365080993521
GO:0033993	response to lipid	biological_process	36	84	650	42.8571428571	12.9230769231	2.39914475999	0.017	0.357740740741
GO:0046129	purine ribonucleoside biosynthetic process	biological_process	12	22	98	54.5454545455	22.4489795918	2.39752835517	0.0225	0.43640060241
GO:0042451	purine nucleoside biosynthetic process	biological_process	12	22	98	54.5454545455	22.4489795918	2.39752835517	0.0225	0.43640060241
GO:0022414	reproductive process	biological_process	40	95	1137	42.1052631579	8.35532102023	2.39708125738	0.022	0.433669387755
GO:0097202	activation of cysteine-type endopeptidase activity	biological_process	8	13	96	61.5384615385	13.5416666667	2.38503145482	0.0205	0.410808091286
GO:0031669	cellular response to nutrient levels	biological_process	8	13	91	61.5384615385	14.2857142857	2.38503145482	0.022	0.433669387755
