Astrocytes,Microglia,Neuron,Oligodendrocytes,Endothelia
ATAD2B,ATF3,BCL11B,C1QTNF2,BPIFB1
ATF7,ATP13A2,BCL7A,CA10,BSPRY
PGGHG,ATP2A3,BCL9,CA14,BTBD7
ATL2,ATP5F1C,BEGAIN,CACNA2D4,BTF3
ATP13A4,ATP6V1F,BEND6,CACNG4,C1QTNF9B
ATP1A2,AUP1,BEX1,CADM4,C8G
ATP1B2,B2M,BHLHE22,CALB1,CALML4
ATP2B4,B3GALT4,BLCAP,CALCRL,CALR3
ATR,B3GNT8,BMP5,CAMSAP2,CALU
ATXN7,B4GALNT1,BOD1,CAPN5,CAPG
AXIN2,B4GALT1,BPIFA1,CAPN6,CAPN12
AXL,B4GALT5,BRD1,CA2,CA4
B4GAT1,THEMIS2,BRD2,CARNS1,CA5A
C3orf52,CYBC1,BRD3,CASKIN2,CARD10
BAALC,MAP11,BRD7,CASR,CASP6
BAG3,LRRC75A,BRD8,CCDC13,CASP7
ADGRB3,ADGRB1,BRSK1,CCDC167,CASP8
BBOX1,BANK1,BRSK2,CCL11,CASQ2
BCAN,BATF,BSN,CCNA2,CAST
BCAR3,BAZ1A,BTBD11,CCNB1,CAV1
BCKDHA,BCAT2,C1QTNF1,CCND1,CAV2
BCL2,BCL2A1,C1QTNF4,CD70,ACKR4
BCL2L12,BCL2L1,C2CD2L,CD9,CCDC125
BCL2L15,BCL3,C3,CDC25C,CCDC126
BDH2,BCO2,CIP2A,CDC37L1,CCDC141
BDKRB2,BCOR,FAM8A1,CDC7,EFCC1
BDNF,BID,CAAP1,CDCA3,BICDL2
BHLHE40,BIK,CABYR,CDCA8,CCDC85A
BMPR1A,BIN1,CACNA1A,CDH11,CCL19
BMPR1B,BIN2,CACNA1B,CDH6,CCL20
BMS1,BLOC1S5,CACNA1I,CDK14,CCR10
BOC,BLVRA,CACNA2D1,CDK18,NOCT
BOLA3,BLVRB,CACNA2D2,CDO1,CD109
BTAF1,BMF,CACNA2D3,CDR2L,CD151
BTBD17,BMP2K,CACNB2,CDV3,CD248
BTD,BRI3,CACNB3,CENPB,CD27
C2CD4B,BTAF1,CACNB4,CENPK,CD2AP
C4A,BTG1,CACNG2,CENPM,CD300LG
CA2,BTK,CACNG5,CENPN,CD320
CA3,C1QA,CADM3,CENPV,CD34
CA5B,C1QB,CADPS,CERS2,CD40
CAMK2G,C1QC,CADPS2,CETN2,CD55
CAP2,C1RL,CALB1,CHADL,CD69
CAPN11,C2,CALB2,CHD1,CD93
CAPNS1,C3,CALCB,CHDH,ADGRE5
CAPS2,C3AR1,CALN1,CHN2,CDC42EP3
CAPSL,C5AR1,CALY,CHPT1,CDC42EP5
CAPZB,CABLES1,CAMK2A,CHRM1,CDHR4
CA8,CACNA1S,CAMK2B,CHRNA4,CDH5
CASKIN1,CACUL1,CAMK2N2,CHRNE,CDK1
CASKIN2,CALHM2,CAMK4,CHST11,CDKN2A
CASP8AP2,CAMK1,CAMKV,CHST3,CDKN2B
CAT,CAMP,CAMSAP1,CHST8,CDKN3
CATSPER2,CAP1,CAMTA1,CHTF18,CEACAM1
CBLB,CAPN1,CA10,CKAP2,CEBPD
CBR3,CAPN3,CASD1,CKAP2L,CFI
CBS,CAPZA1,CASP2,CLDN11,CGNL1
CBX5,CA13,CASP3,CLDN14,CHEK2
KYAT3,CARD11,CASZ1,CLEC3B,CHIC2
CFAP65,CARD9,CBLN1,CLGN,CHMP2B
CCDC113,CASP1,CBLN2,CMIP,CHRNB1
CCDC138,CASP4,CBLN4,CMTM4,CHST9
CCDC157,CASS4,CBX2,CMTM5,CISH
CCDC18,CBLN1,CBX4,CNKSR3,CKS1B
CCDC3,CBLN2,CBX6,CNP,CKS2
CFAP100,CBLN4,CBX7,CNTN1,CLCA2
CCDC60,CCDC186,CC2D1A,CNTN2,CLDN5
DEUP1,CCDC22,CCBE1,CNTN4,CLDN6
CCDC80,CCDC86,MCUB,CNTN6,CLEC14A
CCDC84,CCDC88B,CCDC116,COBL,CLEC1A
CCDC88C,CCDC93,CCDC120,COL11A2,CLEC1B
CCDC90B,CCDC97,CCDC148,COL12A1,CLEC9A
CCDC96,CCL2,CCDC152,COL13A1,CLIC5
CCNA1,CCL17,CEP112,COL1A1,CLIC6
CCND2,CCL13,CCDC6,COL1A2,CLINT1
CCNO,CCL22,BICDL1,COL20A1,CMTM8
ACKR4,CCL24,CCDC71L,COL2A1,CNN2
CD247,CCL3L3,CCDC73,COL3A1,CNOT6L
CD38,CCL4,CCDC85C,COL9A3,COBLL1
CD44,CCL5,CCK,COLEC11,COL14A1
CDC42EP1,CCR1,CCL27,CORIN,COL18A1
CDC42EP4,CCR2,CCNB1,CP,COL28A1
CDH2,CCR3,CCNF,CPLX1,COL4A1
CDK11A,CCR5,CCNT1,CPOX,COL4A2
CDK5RAP2,CCR6,CCSAP,CPZ,COL4A3
CECR2,CCR7,CD164L2,CRCP,COX4I2
HDHD5,CCRL2,CD200,CREG2,COX7B
CELSR1,CD14,CD274,CRYAB,CPA1
CCP110,CD163,CD2BP2,CSMD3,CR1L
CEP350,CD164,CDC40,CSPG4,CREM
CHD2,CD19,CDH12,CSPG5,CRISPLD1
CHD6,CD2,CDH18,CSRP1,CRK
CHD9,CD200R1,CDH4,CTNNA3,CRTAP
CHPT1,CLEC4M,CDH7,CTNNAL1,CRYBB3
CHRDL1,CD22,CDH8,CYFIP2,CRYBG3
CHST1,CD300A,CDH9,CYGB,YBX3
CHST2,CD300LB,CDHR1,CYP2J2,CSF3
CHSY1,CD300LD,CDK13,CYS1,CTHRC1
CIDEB,CD300LF,CDK2AP1,KIAA1549,CTNNA1
CKAP5,CD37,CDK5R1,C10orf90,CTNNB1
CKM,CD3D,CDK5R2,DAPK2,CTTNBP2NL
CLCC1,CD3E,CDKL1,BRINP1,CUTC
CLDN10,CD4,CDKL2,DBNDD2,CXCL2
CLEC16A,CD48,CDKL4,DCAF12L2,CXCR4
CLK2,CD5,CDKN1B,DCN,CYP39A1
CLU,CD53,CDON,DCT,CYP8B1
CLYBL,CD6,CDS1,DDC,CYSLTR2
CMBL,CD63,CEACAM16,DDX43,CYYR1
NAT8B,CD68,CELF3,DDX59,LURAP1L
CNN1,CD7,CELF4,DENND2A,DAB2
CNN3,CD72,CELF5,DERL3,DAPL1
CNTD1,CD74,CELSR2,GSDME,DCBLD1
CNTFR,CD79B,CELSR3,DGAT1,DDI2
COL4A5,CD80,CEND1,DHCR24,DDX10
COPRS,CD83,CENPC,DHRS13,DDX58
CORO2B,CD84,CEP104,DICER1,DEF6
COX10,CD86,CEP120,DLG1,DEGS2
CPE,CD8B,CEP170,DLGAP5,DENND2C
CPM,CD99L2,CGGBP1,DLK2,DENND3
CPT1A,CDCA4,CGN,DLL1,DENND5B
CPT2,CDH23,CGREF1,DMRTA1,DERA
CRB2,CDK6,CHAC1,DNAH10,DES
CREB3L4,CDS1,CHAF1B,DNAH5,DGKA
CROT,CDT1,CHAMP1,DNAH7,DGKH
CRTC3,CEACAM1,CHAT,DNAI2,DHX40
CRYM,CEBPA,CHCHD10,DNAJA4,DLC1
CSDC2,CEBPB,CHD3,DNAJB2,DLL4
CSGALNACT1,CEP250,CHD5,DNM1,DMGDH
CSPP1,CERK,CHD6,DNM3,DNAH6
CSRP1,CFH,CHD7,DOCK3,DNAJC10
CST3,CFP,CHD8,DOCK5,DNAJC2
CTBP2,CH25H,CHD9,DOCK6,DNASE1L1
CTDSPL,CHMP1B,CHN1,DOCK9,DNMT3B
CTH,CHST12,CHODL,DOHH,DOK4
CTNNBIP1,CHST7,CHRM3,DPH5,DPP4
CTNND2,CIB1,CHRM4,DPP10,DRAM2
CUL7,CILP2,CHRM5,DPP6,DTX3L
CWC22,CKM,CHRNA3,DPYD,DUSP22
CWF19L2,CLCF1,CHRNA7,DSCC1,DUSP23
CYBRD1,CLCN5,CHRNB2,DTD1,DUSP6
CYP1B1,CLEC10A,CHRNB4,DUSP15,DYSF
CYP4F12,CLEC12A,CIB2,DUSP9,E2F7
CYP4F8,ZNF705A,CIDEA,DYNC2LI1,EBF1
CYP7B1,CLEC4A,CILP,DYNLL2,ECE1
CCN1,CLEC4D,CIRBP,E2F8,ECM1
ZNF267,CLEC4E,CIT,ECT2,ECM2
DAAM2,CLEC6A,CITED2,EDA2R,ECSCR
DAG1,CLEC5A,CKMT1B,EEF1A2,EDN3
DAGLA,CLEC7A,CLCN1,EFCAB1,EEF1A1
DBI,CLN3,TMEM114,EFEMP1,EFNA1
DBX2,CLN5,CLDN3,EFHD1,EGFL7
DCLK1,CLN8,CLK4,EFNB3,EGFL8
DCLK2,CLTA,CLRN1,EFR3B,EGFLAM
DCTN1,CMKLR1,CLSTN1,EFS,EHD2
DDB2,CMTM3,CLSTN2,EHD3,EIF3E
DDHD1,CMTM6,CLSTN3,EIF1B,EIF3H
DDIT4L,CNDP2,CLVS1,ELFN2,EIF3M
DDO,CNPY3,CLVS2,ELOVL4,ELF1
DDR2,COL27A1,CMSS1,ELOVL6,ELK3
DDT,CERT1,CNFN,EME1,ELK4
DECR1,COL6A3,CNGA3,EMID1,ADGRL4
DENND4C,COLGALT1,CNIH2,COL26A1,EMCN
DGKB,COMMD5,CNIH3,EMILIN3,EMP1
DHCR7,COMP,CNKSR2,EML1,ENDOU
DHRS1,COMT,CNNM1,ENDOD1,ENG
DHRS4,COMTD1,CNR1,ENO2,ENOX2
DHTKD1,CORO1A,CNRIP1,ENPP2,ENPEP
DHX32,CORO2A,CNST,ENPP6,EPAS1
DIO2,COTL1,CNTN2,EPB41,EPHB4
DLG5,COX6A2,CNTN3,EPB41L1,EPOR
DLGAP1,CPN1,CNTN5,EPB41L3,EPS8L2
DLK1,CPQ,CNTNAP1,EPCAM,ERG
