Astrocytes,Microglia,Neuron,Oligodendrocytes,Endothelia
Gpr156,Calhm6,Fam131a,Inhbc,Hspb2
Gpr179,Fam3a,Fam131c,Inpp5b,Hspb8
Gpr19,Tent5b,C1qtnf12,Inppl1,Hspg2
Gpr3,Tent5c,Alkal2,Insc,Htr2a
Gpr37l1,Cyrib,Emc9,Iqcj,Htra3
Ptgdr2,Fam76b,Shisal2b,Irs2,Hyal2
Adgrg1,Fam78a,Fam163b,Irx1,Icam2
Gpr63,Fam83g,Zc2hc1a,Isg20,Ier5l
Gprc5d,Fblim1,Fam171a2,Itga8,Ifi44
Gpt,Fbrs,Fam183b,Itgad,Ifi47
Gpt2,Fbxw4,Fam184b,Itgav,Ifih1
Gpx8,Fcer1g,Fam185a,Itgb4,Ifitm1
Gramd4,Fcgr1,Fam189b,Itgb7,Ifitm2
Greb1,Fcgr2b,Insyn2a,Itgb8,Ifitm3
Grhl1,Fcgr2b,Fam43b,Itih2,Lmntd1
Grifin,Fcgr3,Tlcd3b,Itih5,Ifnar1
Grin2c,Fcgr4,Ripor2,Itpr2,Igbp1
Grm3,Fcgrt,Fam71e1,Jam3,Igf1r
Grm5,Fcna,Fam78b,Jmy,Igfbp1
Gsg1l,Fcrl1,Fam89b,Josd2,Igfbp7
Gstk1,Fcrls,Fank1,Kank1,Igsf5
Gstm1,Fermt3,Fastkd5,Katnal1,Iigp1
Gstm5,Fes,Fat2,Kazn,Il13ra1
Gstt1,Fez2,Fat3,Kbtbd7,Il15
Gstz1,Fgd2,Fbll1,Kcnd2,Il17rc
Gucy1a1,Fgr,Fbxl16,Kcnh8,Il17re
Gulp1,Fhl3,Fbxl19,Kcnip3,Il1r1
Gk,Fhod1,Fbxl2,Kcnj16,Il20rb
Large2,Fignl2,Fbxo30,Kcnk1,Il27ra
Gys1,Fkbp5,Fbxo41,Kcnk10,Il2rg
Hacl1,Flcn,Fchsd1,Kcnmb4,Il3ra
Hadh,Fmnl1,Fgf13,Kctd13,Il6
Hadha,Fmnl3,Fgf9,Kctd15,Impdh1
Hapln1,Fndc7,Fibcd1,Kctd4,Insl3
Hectd2,Fnip2,Fibin,Khdrbs2,Insr
Hepacam,Folr2,Fkbp11,D630045J12Rik,Ipmk
Herc6,Foxp4,Fkbp1b,Kif13a,Iqcg
Hes5,Fpr1,Fkbp3,Kif13b,Iqgap1
Hey2,Fpr2,Flrt3,Kif18b,Irf7
Hgf,Frrs1,Flywch1,Kif19a,Irf9
Hhipl1,Fscn1,Flywch2,Kif2c,Irx3
Hif3a,Ftl1,Fmn1,Kif5a,Ism1
Higd1a,Fuca1,Fnbp1l,Kifc1,Isyna1
H3c1,Furin,Fnbp4,Kl,Itga1
H3c6,Fyb,Fndc3b,Klc3,Itga2b
Hmgcr,G3bp1,Foxg1,Klhdc4,Itga4
Hmgn1,Gab2,Foxj3,Klhl13,Itgb1
Hmgn3,Gabrd,Foxk2,Klk6,Itgb3bp
Hoga1,Gadd45b,Foxo3,Kndc1,Itm2a
Rida,Gal3st4,Foxo6,Kntc1,Itpr1
Hs3st3a1,Galk2,Foxp2,Krt1,Itprip
Hs3st3b1,Galm,Frat1,Krt17,Itsn2
Hsd11b1,Galns,Frmpd3,,Jag1
Hsdl2,Galnt12,Frmpd4,,Jag2
Hspa2,Galt,Fsip1,Afg1l,Jak2
Htra1,Ganc,Fstl4,Lad1,Ajuba
Hyal1,Gas6,Fut7,Larp6,Kank3
Id3,Gatm,Fxyd2,Cers2,Kank4
Id4,Gba,Fxyd7,Lbh,Kcna5
Idi1,Gbgt1,Gabra1,Dennd11,Kcne3
Ift122,Gbp7,Gabra5,Lcorl,Kcng2
Ift140,Gcn1,Gabrb2,Ldb3,Kcnj14
Igdcc4,Gcnt1,Gabrg2,Ldlr,Kcnj15
Igf2bp3,Gda,Gabrg3,P3h4,Kcnj2
Igfbp2,Gdf15,Gad1,Lgi3,Kcnj8
Igfbp5,Gdpgp1,Gad2,Lgr5,Kcnk5
Igsf1,Gga2,Galnt9,Lhfpl3,Kcnmb1
Ikbip,Ggh,Galntl6,Lig1,Kcnq1
Il15ra,Ggt5,Galr1,Lims2,Kcnrg
Il17rd,Gimap3,Galr2,Lingo3,Kcp
Il18,Git2,Gap43,Lix1l,Kctd10
Il33,Gla,Gar1,Llph,Kctd12b
Il6st,Glb1l,Garnl3,Lmcd1,Kdr
Immt,Glipr1,Castor2,Lmnb1,Kif26a
Impa2,Glrp1,Gbx2,Lmo1,Kitl
Impg2,Gls,Gca,Lnx1,Klf11
Inca1,Colgalt1,Gcgr,Lox,Klhl4
Ino80d,Glul,Gda,Lpar3,Klrg1
Inpp5j,Cstdc4,Gdap1,Adgrl3,Krtap9-1
Insig1,Gmfg,Gdap1l1,Lpo,Kti12
Intu,Gmip,Gdf5,Lrfn2,Lalba
Iqcd,Gmpr,Gdi1,Lrrc17,Lama1
Iqck,Gna15,Gdnf,Lrrc42,Lama4
Iqub,Gngt2,Gdpd1,Lrrc4c,Lama5
Irs1,Gnpda1,Gemin7,Lrrc8b,Lamb1
Irs2,Gns,Gfra4,Lrrn1,Lamb2
Itga2,Golm1,Ghsr,Lrrn3,Lamc1
Itga6,Lilr4b,Gipc2,Lrrtm1,Lbp
Itga7,Gp9,Gipr,Lrrtm3,Ldha
Itih3,Gpat2,Gjd2,Lrrtm4,Ldlrad3
Itih5,Gpatch3,Glb1l2,Lsamp,Lef1
Itm2c,Gpnmb,Glce,Ltk,Lepr
Itpkb,Adgrg5,Gle1,Lum,Lims1
Itsn1,Gpr132,Glis1,Lypd1,Lipc
Ivd,Gpr137b,Glod5,Lypd3,Lipo1
Iyd,Gpr137b-ps,Glra2,Lypd6,Lipt2
Jak1,Gpr157,Glra3,Macrod2,Lmbr1
Jam2,Gpr165,Gm10767,Mafa,Lmo2
Jun,Gpr18,Gm6104,Mag,Lnx2
Kalrn,Gpr183,Gnaq,Mageh1,Loxl2
Kank2,Gpr31c,Gnaz,Magi2,Loxl4
Kbtbd11,Gpr34,Gng2,Mal,Lpar6
Kcnc4,Gpr35,Gng3,Map1a,Adgrl2
Kcne1l,Gpr65,Gnl3l,Map1lc3b,Lrp8
Kcnj10,C5ar2,Gnrh1,Mapk8ip1,Lrrc18
Kcnn2,Gpr84,Golga7b,Mapkap1,Lrrc32
Kcnn3,Gpsm3,Gpc1,Mapt,Lrrc55
9530068E07Rik,Gpx1,Gpr101,Marveld3,Lrrc8c
Kctd14,Gramd1a,Gpr12,Masp1,Naa38
Kctd5,Grb2,Adgra1,Matn1,Lsr
Kdm5d,Grn,Gpr135,Matn2,Lta4h
Myorg,Gsdmd,Gpr139,Matn4,Ltbp4
Kidins220,Gsdmd,Gpr149,Mb21d2,Luzp1
Kif18a,Gsg1,Gpr151,Mbnl2,Ly6a
Kif1b,Guca1a,Gpr173,Mbp,Ly6c1
Kif1c,Gusb,Gpr21,Mc4r,Ly6c2
Kif24,Gvin1,Gpr22,Mc5r,Ly6g5c
Kirrel2,H2-Aa,Gpr26,Mcf2,Ly6i
Klf15,H2-Bl,Gpr27,Mcm10,Ly75
Klf4,H2-DMb1,Gpr52,Mcm5,Lypd2
Klhdc8b,H2-DMb2,Gpr6,Mcm6,Lypla1
Klhl25,H2-Ea,Gpr61,Mdk,Lysmd3
Klri1,H2-Eb1,Adgrg2,Mdm1,Lzts1
Krtap7-1,H2-K1,Gpr83,Me3,Madcam1
L2hgdh,H2-K2,Gpr88,Megf11,Magix
L3hypdh,H2-Oa,Gprasp1,Mfap4,Mall
L3mbtl3,H2-Ob,Gprasp2,Mical3,Malt1
,H2-Q1,Gprin1,Micall1,Mamstr
,H2-Q10,Gprin3,Mif4gd,Man2a1
Lama2,H2-Q2,Gpsm1,Mink1,Mansc1
Lats1,H2-Q7,Gpx2-ps1,Mir1199,Maoa
Lca5,H2-Q8,Gramd1a,Mir1983,Map4k2
Lcat,H2-T22,Gramd1b,Mkx,Mapk12
Lclat1,H2-T23,Greb1l,Mmp15,Marveld1
Ldoc1,H2-T24,Grem2,Mmp16,Marveld2
Lenep,H60b,Gria1,Mmp17,Mbd2
Leng8,H6pd,Grid2ip,Mmp23,Mecom
Leng9,Haao,Grin1,Mobp,Mef2a
P3h1,Havcr2,Grin2a,Mog,Megf6
Lgals12,Hck,Grin2b,Atp5mpl,Meox1
Lgals4,Hcls1,Grin2d,Mpz,Tlnrd1
Lgalsl,Hcst,Grip2,Mrgprf,Mfsd2a
Lgi4,Hdc,Grm1,Mrps18b,Mfsd6l
Lgr4,Heatr5a,Grm2,Msc,Flvcr2
Lgr6,Mroh1,Grm7,Mtap,Mgp
Lhcgr,Hebp1,Grm8,Map4,Mgst2
Lhfp,Herpud1,Grpr,Mtmr7,Mill2
Lifr,Hexa,Gsc,Mx2,Mipol1
Limch1,Hexb,Gse1,Mybl1,Mir1192
Limd1,Hfe,Gtf2e1,Mybpc1,Mir703
Lingo1,Hgsnat,Gucy1a2,Mycl,Mrtfb
Lipg,Hk2,Gxylt2,Mylk3,Mlkl
Lipt1,Hk3,H1f10,Myo1d,Afdn
Lix1,Hltf,H2-M5,Myrf,Mmp25
Lonrf3,Hmga1,Has3,Myt1,Mmp28
Loxl1,Hmga2,Haus3,Nap1l5,Mmrn1
Lpin3,Hmga2-ps1,Hcn1,Nav2,Mmrn2
Lpp,Arhgap45,Hcn3,Ncald,Mogat2
Lrch3,Hmox1,Hcn4,Ncam2,Mospd1
Lrig1,Hp,Hcrtr2,Nceh1,Mpp1
Lrp4,Hpgd,Hdgfl3,Ndrg1,Mpp7
Carmil1,Hpgds,Hdx,Necab2,Mprip
Lrrc23,Hpn,Mroh7,Nefh,Msmp
Lrrc38,Hprt,Hecw1,Nefl,Msrb3
Lrrc52,Hps4,Hells,Nell2,Msx1
Lrrc8a,Hps6,Hexim2,Neo1,Msx1os
Lrrc9,Hpse,Hfm1,Neu4,Msx3
Lrrk2,Hrc,Hirip3,Neurog2,Mtfr1
Lrtm2,Hrh2,Hmg20a,Nfasc,Mtmr6
Ltbp1,Hs1bp3,Hmgb3,Sapcd1,Mtus1
Lxn,Hs6st1,Jpt1,Ngb,Muc13
Lyrm4,Hsd17b1,Hnrnpa1,Nhsl2,Mustn1
Macf1,Hsf2bp,Homer2,Ninj2,Mxra7
Magt1,Hspa1a,Hook1,Nkain1,Myct1
Malat1,Hspa1b,Hook2,Nkx2-2,Myh10
Mamdc2,Hspa1l,Hp,Nkx2-2os,Myl12b
Mamdc4,Hspb3,Hpca,Nkx2-9,Myl4
Maob,Htatip2,Hrh3,Nkx6-2,Myl6
Map2,Htra2,Hrk,Nlgn3,Myl9
Map4,Hvcn1,Hs3st5,Nmnat2,Mylk
Mapk4,Hyi,Hs3st6,Nmral1,Mylpf
Mtarc2,Icam1,Hs6st3,Nob1,Myo1b
Mars2,Icos,Hspa12a,Nol3,Myo1e
Masp2,Icosl,Htr1a,Npsr1,Myof
Mast4,Id2,Htr1b,Nptx2,N4bp3
Mavs,Idh2,Htr1d,Nrd1,Naalad2
Mboat2,Ids,Htr1f,Nrg2,Nampt
Mcc,Idua,Htr2c,Nrtn,Ncaph
Mcee,Ier3,Htr3a,Ntn1,Nck1
Mdm4,Ier5,Htr7,Nudt17,Ndufa4l2
Mdn1,Ifi203,Hyls1,Nudt18,Nes
Med12,Ifi204,Ica1l,Nudt8,Net1
Med12l,Ifi211,Ids,Nuf2,Nid1
Med7,Ifi27l2a,Igf1,Nup210,Nid2
Megf10,Ifi30,Igf2bp2,Nxph1,Nlrc3
Meis1,Ifi35,Igf2r,Odf3l2,Nme2
Mettl11b,Ifitm6,Igfbpl1,Olfm2,Nmi
Mfap3l,Ifnb1,Ighm,Olig1,Nod1
Mfge8,Ifngr1,Ighv1-31,Olig2,Nodal
Mga,Ifngr2,Igkc,Omp,Nomo1
Mgst1,Igf2bp3,Igsf3,Onecut2,Nos2
Mical1,Ighg2b,Igsf8,Opalin,Nos3
Micall2,Igsf6,Igsf9,Opcml,Nostrin
Mid1ip1,Igtp,Il12a,Osbpl6,Notch4
Mier3,Ikzf1,Il1rapl2,Otud7b,Notum
Mink1,Il10,Ina,Pacs2,Nox4
Mir467f,Il10ra,Incenp,Pakap,Noxo1
Mks1,Il12b,Ing1,Pakap,Npm1
Mlc1,Il16,Inha,Pank3,Npr1
Kmt2c,Il17ra,Inpp5f,Papss1,Npr3
Mmab,Il1a,Inpp5j,Parvb,Nr1h3
Mmd2,Il1b,Insl5,Pbk,Nrbp1
Mmp14,Il1r2,Insm1,Pcbd1,Nrip1
Morc3,Il1rl1,Insm2,Pcbp4,Nrp1
Mpc1,Il1rl2,Insrr,Pcdh15,Nsa2
Mpdz,Il1rn,Ipcef1,Pcdh20,Nsmce1
Mpp5,Il21r,Ipw,Pcdh7,Nt5dc1
Mpp6,Il27,Iqcb1,Pcdhb18,Nubpl
Mras,Il2rb,Iqsec3,Pcdhb2,Nudt14
Msi2,Il4i1,Irs1,Pcdhb21,Nup37
Msx2,Il4ra,Irs4,Pcdhb5,Nxn
Mt2,Il6ra,Irx2,Pcdhb6,Oas1a
Mt3,Il7r,Isl1,Pcdhb9,Oas1b
Map7d3,Ildr1,Islr,Pcdhgb6,Oas1c
Mterf1a,Inpp4b,Islr2,Pcmtd2,Oaz2-ps
Mterf4,Inpp5d,Isoc1,Pcnx3,Ocln
Mthfd1,Ip6k3,Nmrk2,Pcolce,Odc1
Tesmin,Irak2,Itgbl1,Pcp4,Odf3b
Mtm1,Irak4,Itpka,Pcsk1n,Ofd1
Mtmr11,Irf1,Jakmip1,Pcyt2,Ogn
Mtx3,Irf4,Jph4,Pdcd4,Olfr1372-ps1
Muc1,Irf5,Kalrn,Pde4b,Olfr1373
Mup6,Irf8,Kat5,Pde4d,Olfr520
Mmut,Acod1,Kazald1,Pdgfra,Olfr56
Myh11,Irgm1,Kcna4,Pdlim2,Osbpl9
Myh14,Iscu,Kcnb2,Pdzrn4,Osmr
Myh15,Isg15,Kcnc1,Peli1,Ostc
Myh6,Isoc2b,Kcnc2,Cpq,P2ry14
Mylk2,Itga6,Kcng1,Phf12,Pak1ip1
Myo10,Itgae,Kcng3,Phf6,Palmd
Myo19,Itgal,Kcnh1,Phlda3,Papln
Myo6,Itgam,Kcnh4,Phldb1,Paqr5
Myom3,Itgax,Kcnh7,Phospho1,Pard6g
Myrip,Itgb2,Kcnip2,Pid1,Parp9
Naa16,Itgb3,Kcnip4,Pigq,Pawr
Nacc2,Itgb5,Kcnj11,Pigz,Pcdh1
Nadk,Itpkc,Kcnj3,Pik3r3,Pcdh12
Nadk2,Itpr3,Kcnj5,Pink1,Pcdh19
Naprt,Itpripl1,Kcnk9,Pkd2l1,Pcdhgb8
Naprt,Jak3,Kcnmb2,Pkia,Pcp4l1
Nat1,Jdp2,Kcnq2,Plaat3,Pdcd10
Hyal1,Junb,Kcnq5,Plcb1,Pde2a
Nat8,Jund,Kcns1,Plekha1,Pde5a
Ncam1,Kcna7,Kcns2,Plekhb1,Pde7b
Ncan,Kcnab1,Kcnt1,Plekhh1,Pdgfd
Nckap5,Kcnd1,Kctd15,Plekhm1,Pdia5
Spaca6,Kcnk12,Kctd16,Plekhn1,Pdlim1
Nde1,Kcnk6,Kctd8,Plin3,Pear1
Ndp,Kcnn4,Kdm2b,Plk1,Pecam1
Ndrg2,Kctd12,Kdm4a,Plod2,Pglyrp1
Nebl,Kdm6b,Kdm4b,Plp1,Pgm1
Nek8,Khk,Kdm5a,Plxnb3,Pgm5
Nexn,Kif15,Kdm5b,Pnlip,Phactr2
Nfxl1,Klhdc8b,Khdc4,Podn,Phactr4
Ngef,Klhl36,4932438A13Rik,Polg,Phf7
Nhsl1,Klhl38,Cip2a,Plpp4,Phldb2
Nipal1,Klrb1b,Kif11,Ppfia3,Pik3r6
Nlrx1,Klrd1,Kif17,Ppfibp1,Pip5k1a
Nmb,Krt33a,Kif21b,Ppfibp2,Pip5k1b
Nme7,,Kif22,Ppm1e,Pir
Notch1,,Kif4,Ppp1r14a,Pkn3
Notch2,LOC547349,Kif5c,Ppp1r14c,Pla1a
Notch3,Lacc1,Kifc2,Ppp1r16b,Pla2g2f
Npas2,Lactb2,Kifc5b,Ppp2r3a,Plac9a
Npas3,Lag3,Kiss1r,Ppp3r2,Plekhg5
Npff,Lair1,Kit,Ppp4r4,Plekhh2
Nphp3,Lamp2,Klc2,Desi1,Plk2
Nphs1,Laptm5,Klf12,Pramel3,Plp2
Nphs1os,Lasp1,Klf8,Prc1,Pls3
Nps,Lat,Klhdc8a,Prelp,Pltp
Nqo1,Lat2,Klhl1,Prepl,Plvap
Nr1d1,Lbx1,Klhl12,Prickle1,Plxnd1
Nr2e1,Lbx2,Klhl14,Prim1,Pmaip1
Nr2f1,Lcn2,Klhl29,Prim2,Pnpla6
Nr3c2,Lcp1,Klhl33,Prkcb,Pnrc2
Nr4a1,Lcp2,Klhl34,Prkcq,Podxl
Nr4a2,Ldb1,Kmt2a,Prkg1,Polk
Nr4a3,Ldhb,Kmt2b,Prkg2,Polr2k
Nrarp,Lefty1,Krt73,Prokr1,Pomc
Nrbp2,P3h2,Krt79,Prph,Pomp
Nrcam,Lfng,Ksr1,Prr11,Pop5
Nrxn1,Lgals1,Ksr2,Prr16,Pou2af1
Nsdhl,Lgals3,L1cam,Prr18,Plpp6
Ntrk3,Lgals3bp,L3mbtl1,Prr5l,Ppef1
Ntsr2,Lgals8,L3mbtl4,Prss41,Ppic
Nudt12,Lgals9,Lama3,Prss50,Ppm1j
Nudt19,Lgmn,Lancl2,Psip1,Ppp1cc
Nudt2,Lif,Cers6,Psrc1,Ppp1r13b
Nudt7,Lilra5,Lefty2,Pstpip2,Ppp1r2
Nup62cl,Lilra6,Lemd1,Pter,Slc66a2
Nup93,Pirb,Lgals7,Ptger2,Pramef8
Nvl,Lilrb4a,Lgi1,Ptk7,Prcp
Nwd1,Limd2,Lgi2,Ptov1,Prelid2
Oat,Limk1,Lhfpl1,Ptpdc1,Prep
Odf2l,Lipa,Lhfpl4,Ptprd,Prex2
Odf3,Liph,Lhfpl5,Ptpro,Prickle3
Tenm3,Lipo2,Lhx1,Pus7,Cavin3
Olfml1,Litaf,Lhx5,Pus7l,Prkch
Olfml2a,Lpar5,Lhx6,Pvalb,Prkd2
Olfr90,Lpcat2,Lhx8,Pycr1,Prnd
Oplah,Lpcat3,Lhx9,Qdpr,Procr
Optc,Lpxn,Lig1,Qpct,Prom1
Osr2,Lrch1,Limk2,R3hcc1,Prop1
Otx1,Lrch4,Lin28b,R3hdm1,Prrg2
Ovol1,Lrmp,Lingo2,Rab15,Psma8
Oxa1l,Lrp5,Lmna,Rab27b,Psmc3ip
Oxnad1,Lrrc25,Lmo3,Rab33a,Psors1c2
P2rx6,Lrrc3,Lmtk3,Rab37,Ptges
P4ha2,Nrros,Lmx1a,Rab39b,Ptgfrn
P4ha3,Lrrc39,Lonrf1,Rab4a,Ptgis
Pabpc4l,Lrrfip1,Lonrf2,Rabgap1l,Ptgs2
Pacsin3,Lrrk1,Lor,Rac3,Ptpn12
Palld,Lrwd1,Lpcat4,Racgap1,Ptprb
Pamr1,Lsm10,Lpgat1,Rad51,Ptprg
Papss2,Lsm5,Adgrl1,Rad54l,Ptprk
Paqr4,Lsp1,Plppr3,Raet1d,Ptprm
Paqr6,Lst1,Plppr4,Ralgps1,Cavin1
Paqr7,Ltb,Lrch2,Rap1gap,Pvr
Paqr8,Ltb4r1,Pidd1,Rap1gap2,Rab11fip1
Pard3b,Ltc4s,Lrfn5,Rap2a,Rab12
Parp12,Ltf,Lrig3,Rapgef1,Rab13
Parp3,Ly6d,Carmil3,Rapgef4,Rab42
Parva,Ly6g6e,Lrrc24,Rasgrf1,Rab29
Pax4,Ly86,Lrrc26,Rasl12,Rad51ap1
Pax6,Ly9,Lrrc3b,Rcn1,Rad51b
Pbld2,Lyl1,Lrrn4cl,Recql,Rai14
Pbxip1,Lyn,Lsm11,Rfc3,Raly
pc,Lyve1,Lsm14b,Rftn1,Ramp2
Pcdh10,Lyz1,Luc7l,Rgs6,Rap1b
Pcdhgb6,Lyz2,Ly6g6c,Rhbdl2,Rapgef5
Pcdhgc5,Maf,Ly6h,Rhou,Rapgef6
Pcsk9,Mafb,Lypd6b,Rhpn2,Rasd1
Pcx,Man1c1,Lyrm7,Rictor,Rasgrp3
Pde1b,Man2b1,Mab21l1,Rimbp3,Rasip1
Pde3a,Man2b2,Mab21l3,Ripply2,Rassf1
Pde9a,Manba,Mad2l1,Rlbp1,Rassf3
Pdgfc,Map2k3,Madd,Rnd2,Rassf9
Pdgfrb,Map3k14,Magee1,Rnf122,Rbms2
Pdk4,Mapk13,Magel2,Rnf128,Rbp1
Pdlim3,Mapk14,Mal2,Obi1,Rbp7
Pdlim4,Mapkapk2,Maml3,Rnf220,Rbpms
Pdlim5,Mapkapk3,Map3k12,Rnf43,Rd3
Pdp2,Matk,Map3k15,Rnf7,Rdm1
Pdpn,Mbnl1,Map3k4,Rock1,Rec8
Pdss1,Mcoln2,Map3k9,Rogdi,Rem1
Pdyn,Med11,Map4k3,Rprm,Ret
Pdzd11,Mef2c,Map9,Rras2,Rgl1
Pdzrn3,Metrnl,Mapk8,Rrm1,Rgs12
Peak1,Mettl7a1,Mapk8ip2,Rrm2,Rgs3
Per3,Mettl7a2,Mapk9,Rsad2,Rgs5
Pex2,Mfsd11,Mapt,Rtkn,Rhobtb1
Pfkm,Mfsd5,Marchf11,Runx2,Rhoc
Jade1,Mgat1,Marchf4,Rxrg,Rhod
Phf21b,Mgat2,March9,Ryr3,Rhoj
Phgdh,Mgl2,Mark1,S100a1,Ripk1
Phka1,Mgmt,Mast1,S100a13,Ripply3
Phkb,Mknk1,Mblac2,S100a14,Rmnd5b
Phkg1,Mknk2,Mchr1,S100a16,Rnaseh2c
Phyhipl,Mlec,Mctp1,S100a3,Rnf125
Pigm,Mllt6,Mctp2,S100a4,Rnf144b
Pikfyve,Mlph,Mdga1,S1pr5,Rnf183
Pipox,Mlxipl,Mecp2,Samd4b,Rnf19a
Pitpnc1,Mmgt2,Med10,Sapcd2,Robo4
Pkd2,Mmp12,Med14,Scd1,Rock2
Pkdrej,Mmp19,Meg3,Scd3,Ptbp3
Pkp2,Mmp9,Mei4,Scel,Rpap3
Pla2g3,Mnt,Meis1,Scfd2,Rpf1
Pla2g5,Mob1a,Mesp1,Scn1a,Rph3al
Pla2g7,Mob3c,Mesp2,Scrg1,Rpl17
Plagl1,Mogs,Met,Sdc3,Rpl22l1
Plcb3,Morc3,Mex3a,Sdr42e1,Rpl23
Plcd4,Mov10,Mex3d,Secisbp2l,Rpl23a
Plch1,Mpeg1,Mgat4c,Sema3e,Rpl27
Pld2,Mpi,Mgat5,Sema4d,Rpl31
Plec,Mpo,Mgst3,Sema4f,Rpl34
Pln,Mrc1,Mia,Sema5a,Rpl35
Plod2,Mrgpra2b,Miat,Sema6a,Rpl37
Pls1,Mrgpra4,Mical2,Septin4,Rpl38
Plscr1,Mroh1,Micu3,Septin8,Rpl39
Plxnb1,Ms4a6b,Minpp1,Serinc2,Rpl4
Plxnc1,Ms4a6c,Mirg,Serpina3n,Rprl3
Pm20d1,Ms4a6d,Mki67,Serpinb1a,Rps16
Pmm1,Ms4a7,Mkrn3,Serpind1,Rps18
Poln,Msh5,Mlf1,Serpine2,Rps24
Polr3g,Msn,Mllt11,Sgcd,Rps27
Pomt1,Msr1,Mme,Sgcz,Rps27l
Pon2,Map1s,Mmp11,Sgk2,Rps6ka3
Pou2f1,Mthfr,Mmp24,Sh3bp4,Rps7
Pou3f2,Mthfsl,Mn1,Sh3d19,Rpsa
Pou3f4,Mtr,Mnd1,Sh3gl3,Rras
Plpp3,Mvp,Moap1,Sh3rf1,Rtp3
Ppara,Mxra8,Morc2a,Shc4,Rtp4
Ppfia1,Myadml2,Mpped1,Shisa7,Rxfp4
Ppil6,Mybpc3,Mpped2,Shroom2,S100a11
Ppp1r12a,Mybph,Mrap2,Shroom3,Samd9l
Ppp1r1a,Myc,Mrgbp,Sike1,Sav1
Ppp1r3c,Myd88,Msl1,Sirt2,Scarb1
Ppp1r3d,Myh9,Mst1r,Sis,Scarf1
Ppp1r3g,Myl2,Mstn,Six4,Scgb3a1
Ppp2r2b,Mylip,Map1b,Slain1,Sdcbp
Ppp2r3a,Myo18b,Map6,Slc12a2,Sdcbp2
Ppp2r5a,Myo1c,Map7d2,Slc13a4,Cavin2
Ppp4r1l-ps,Myo1f,Map9,Slc16a8,Sec61b
Ppwd1,Myo1g,Mtfp1,Slc1a1,Sec61g
Prdm16,Myo7a,Mtss1,Slc22a21,Sectm1a
Prdx6,Myom1,Mturn,Slc22a23,Sele
Prdx6b,N4bp2l1,Mtus2,Slc22a3,Selp
Prex1,Naaa,Muc6,Slc22a6,Sema3g
Prkd1,Nab2,Pwwp3a,Slc24a4,Sema4c
Prkdc,Naga,Myh8,Slc25a1,Sema7a
Proca1,Nagk,Myl6b,Slc25a13,Selenop
Prodh,Naglu,Myo5b,Slc27a3,Septin1
Prpf38b,Nagpa,Myo9a,Slc27a6,Septin10
Prpf39,Naip1,Myt1,Slc2a13,Serpina1a
Prpf4b,Naip2,Myt1l,Slc35f1,Serpina1b
Prrc2c,Naip5,Phf24,Slc41a2,Serpina1c
Prrx2,Naip6,Nanos1,Slc44a1,Serpina1e
Prss35,Naip7,Nanos2,Slc44a2,Serpina3f
Prss45,Napsa,Nap1l2,Slc45a3,Serpina3g
Psd2,Nat2,Nap1l3,Slc48a1,Serpina3h
Psph,Nat9,Napb,Slc4a1,Serpina3i
Ptar1,Nbeal2,Nasp,Slc4a8,Serpinb6a
Ptch1,Ncf1,Nbea,Slc5a11,Serpinb6b
Ptch2,Ncf2,Ncapg,Slc6a13,Serpinb6c
Ptdss2,Ncf4,Nck2,Slc6a19,Serpinb9
Ptn,Nckap1l,Ncoa2,Slco3a1,Serpinb9b
Ptp4a1,Nckap5l,Ncs1,Slitrk1,Serpinh1
Hacd3,Ncoa3,Ndn,Slitrk3,Sertad1
Hacd2,Ndst2,Ndrg4,Slitrk4,Sestd1
Ptpmt1,Necap2,Ndst3,Slpi,Sgms1
Ptpn13,Nek6,Ndst4,Smarcb1,Sgms2
Ptpra,Nek7,Ndufa1,Smoc1,Sgpp2
Ptprf,Neu1,Ndufaf6,Smtnl2,Sh3bgr
Ptprz1,Neurl1a,Neb,Smyd2,Sh3bgrl
Ptx3,Neurl3,Necab1,Sncb,Sh3bp5
Pxmp2,Nfam1,Nedd4l,Snora17,Sh3tc2
Pxmp4,Nfatc1,Nefh,Snora34,She
Pygb,Nfatc2,Negr1,Sntg1,Sem1
Pyroxd1,Nfe2,Nell1,Snx11,Shroom1
Rab30,Nfkb1,Nell2,Snx15,Shroom4
Rab34,Nfkb2,Neurod1,Snx22,Sigirr
Ranbp3l,Nfkbib,Neurod2,Snx25,Slain2
Rapgef3,Nfkbid,Neurod6,Snx30,Slc16a1
Rarres1,Nfkbie,Nfib,Snx32,Slc16a11
Rasa2,Nfkbiz,Nfix,Sorcs3,Slc16a13
Rasgrf1,Nfxl1,Ngfr,Sox10,Slc16a2
Rasgrp1,Nfya,Slc9b2,Sox2ot,Slc16a4
Rasl11a,Ngp,Nhlh1,Sox3,Slc16a9
Rasl11b,Nhlrc3,Nhlh2,Sox6,Slc19a3
Raver2,Nhp2,Nipsnap1,Sox8,Slc22a18
Rb1,Hcar2,Nkx2-1,Sp7,Slc22a8
Rbm20,Ninj1,Nmbr,Spa17,Slc23a3
Rbm25,Nkg7,Nnat,Spc24,Slc25a20
Rbm26,Nlrc4,Nnmt,Speer4b,Slc25a24
Rbm46,Nlrp1a,Noa1,Spin2c,Slc26a10
Rbpms2,Nlrp1b,Nol4,Spon1,Slc2a1
