Astrocytes,Microglia,Neuron,Oligodendrocytes,Endothelia
Arhgap5,Ascc1,B4galt6,Bglap,Bgn
Arhgef12,Ascl2,Plppr3,Bglap2,Bmpr2
Arhgef18,Asgr2,BC021767,Bhlhb9,Bmx
Arhgef26,Asl,BC024139,Bmp4,Bnip2
Arhgef33,Asph,BC030500,Bpgm,Bnip3l
Arhgef4,Atf3,Prr36,Brca1,Bok
Arid4a,Atp13a2,Selenov,Bves,Bpifb1
Arl9,Atp2a3,Bag4,C1ql1,Bsg
Arnt2,Atp5c1,Baiap2l2,C1ql2,Bspry
Arntl,Atp6v1f,Baiap3,C1ql3,Btbd7
Arntl2,Aup1,Barhl2,C1qtnf2,Btf3
Arrdc3,B2m,Basp1,Car10,C1qtnf9
Aspa,B3galt4,Baz1b,Car14,C8g
Aspg,B3gnt8,Baz2b,Cacna2d4,Cald1
Ass1,B4galnt1,Bcl11a,Cacng4,Calml4
Aste1,B4galt1,Bcl11b,Cadm4,Calr3
Asxl2,B4galt5,Bcl7a,Calb1,Calu
Atad2b,Themis2,Bcl9,Calcrl,Capg
Atf7,Cybc1,Begain,Camsap2,Capn12
Pgghg,Map11,Bend6,Capn5,Car4
Atl2,Lrrc75a,Bex1,Capn6,Car5a
Atp13a4,BC049352,Bex2,Car10,Card10
Atp1a2,Nxpe5,Bhlhe22,Car14,Casp12
Atp1b2,Cstdc5,Blcap,Car2,Casp6
Atp2b4,Adgrb1,Bmp5,Carns1,Casp7
Atr,Bank1,Bod1,Caskin2,Casp8
Atxn7,Batf,Bpifa1,Casr,Casq2
Axin2,Batf3,Brd1,Ccdc13,Cast
Axl,Baz1a,Brd2,Ccdc167,Cav1
B4gat1,Bcat2,Brd3,Ccl11,Cav2
BC006965,Bcl2a1a,Brd7,Ccna2,Ackr4
BC016579,Bcl2a1b,Brd8,Ccnb1,Ccdc125
BC037032,Bcl2a1c,Brsk1,Ccnd1,Ccdc126
BC064078,Bcl2a1d,Brsk2,Cd70,Ccdc141
Baalc,Bcl2l1,Bsn,Cd9,Efcc1
Bag3,Bcl3,Btbd11,Cdc25c,Bicdl2
Adgrb3,Bco2,C1qtnf1,Cdc37l1,Ccdc85a
Bbox1,Bcor,C1qtnf4,Cdc42ep2,Ccl19
Bcan,Bhlhe41,C2cd2l,Cdc7,Ccl20
Bcar3,Bid,C3,Cdca3,Ccng2
Bckdha,Bik,Cip2a,Cdca8,Ccnjl
Bcl2,Bin1,Fam8a1,Cdh11,Ccr10
Bcl2l12,Bin2,Caap1,Cdh6,Noct
Bcl2l15,Blnk,Cabp7,Cdk14,Cd109
Bdh2,Bloc1s5,Cabyr,Cdk18,Cd151
Bdkrb2,Blvra,Cacna1a,Cdo1,Cd248
Bdnf,Blvrb,Cacna1b,Cdr2l,Cd27
Bhlhe40,Bmf,Cacna1i,Cdv3,Cd2ap
Bmpr1a,Bmp2k,Cacna2d1,Cenpb,Cd300lg
Bmpr1b,Bri3,Cacna2d2,Cenpk,Cd320
Bms1,Btaf1,Cacna2d3,Cenpm,Cd34
Boc,Btbd19,Cacnb2,Cenpn,Cd40
Bola3,Btg1,Cacnb3,Cenpv,Cd55
Btaf1,Btg2,Cacnb4,Cers2,Cd59a
Btbd17,Btk,Cacng2,Cetn2,Cd69
Btd,C1qa,Cacng3,Cetn4,Cd93
C2cd4b,C1qb,Cacng5,Chadl,Adgre5
C4a,C1qc,Cadm3,Chaf1a,Cdc42ep3
C4b,C1rl,Cadps,Chd1,Cdc42ep5
Car2,C2,Cadps2,Chdh,Cdhr4
Car3,C3,Calb1,Chn2,Cdh5
Car5b,C3ar1,Calb2,Chpt1,Cdhr4
Calr4,C5ar1,Calca,Chrm1,Cdk1
Camk2g,Cables1,Calm2,Chrna4,Cdkn1c
Cap2,Cacna1s,Caln1,Chrne,Cdkn2a
Capn11,Cacul1,Caly,Chst11,Cdkn2b
Capns1,Calhm2,Camk2a,Chst3,Cdkn3
Caps2,Camk1,Camk2b,Chst5,Ceacam1
Capsl,Camp,Camk2n2,Chst8,Cebpd
