"","MEgreen","MEturquoise","MEblack","MEpink","MEgrey"
"riBAQ.17",-0.194393729860832,-0.130843114432771,0.0108918477854452,-0.105571782705688,-0.0542558438070518
"riBAQ.18",-0.118819511257418,-0.180653162922537,0.378226154832153,0.24543067109323,0.317757179310876
"riBAQ.35",-0.166773766484102,-0.183540072277585,0.413698284121694,0.131171601073832,0.233118189515891
"riBAQ.36",-0.174993399154487,-0.178224675606491,0.423498883956535,0.169886162869326,0.299461572602506
"riBAQ.19",-0.131972085769315,-0.106096986646543,0.0632497071216912,0.0406948198862995,0.0195879440132333
"riBAQ.20",0.203580929363453,-0.0977162723340555,0.0542718984174454,0.190519842180496,0.0594499960676334
"riBAQ.21",-0.00594563583035487,-0.0469411203145103,-0.0550783696871723,0.673705771982981,-0.175983265152453
"riBAQ.22",-0.103488110656193,-0.110123734827937,0.027292719968844,0.0948229903796347,-0.112407919147266
"riBAQ.23",-0.162996021892315,-0.116914678311682,-0.0302721587741479,-0.0585957394769929,-0.228253272779206
"riBAQ.37",-0.0549734014351589,-0.119940131633074,0.188313976626552,0.117982767371174,0.122209791301634
"riBAQ.38",-0.0469622200081101,-0.136196990282364,0.188638956556225,0.114710298350459,0.0873070299720561
"riBAQ.39",-0.14516316954182,-0.10841888638142,-0.127185670057131,-0.200115961004863,-0.30655515510968
"riBAQ.40",-0.153345648735856,-0.114329525306983,-0.198117185177238,-0.255999439694798,-0.548698581605615
"riBAQ.41",-0.215133506508346,-0.162399066691761,0.0175409954792069,-0.0670486081303484,-0.2843850844543
"riBAQ.24",0.0238386319588392,0.102298516261614,-0.249159163767319,-0.217727851530343,-0.147356449614776
"riBAQ.25",0.23931364907994,0.447581957332969,-0.277152951016081,-0.22554387101693,0.18125654900163
"riBAQ.26",0.168632054868781,0.371696897238025,-0.285184140480996,-0.24086781967673,0.159170697385929
"riBAQ.42",0.707853413015179,0.326319654476906,-0.272389576239172,-0.234015421748764,0.223929579792259
"riBAQ.43",0.331741528848114,0.544441392660201,-0.271084209666534,-0.173438430201974,0.154647042706701
