ID	Symbol	Name	Species	Date	Remarks
729977	LOC729977	similar to hCG2040669	Hs	11/03/2015	
729974	LOC729974	similar to Ret finger protein-like 4A (RING finger protein 210)	Hs	11/03/2015	
283651	C15orf21	chromosome 15 open reading frame 21	Hs	11/03/2015	
283652	SLC24A5	solute carrier family 24, member 5	Hs	11/03/2015	
8549	LGR5	leucine-rich repeat-containing G protein-coupled receptor 5	Hs	11/03/2015	
8548	BLZF1	basic leucine zipper nuclear factor 1	Hs	11/03/2015	
8545	CGGBP1	CGG triplet repeat binding protein 1	Hs	11/03/2015	
8544	PIR	pirin (iron-binding nuclear protein)	Hs	11/03/2015	
8547	FCN3	ficolin (collagen/fibrinogen domain containing) 3 (Hakata antigen)	Hs	11/03/2015	
8546	AP3B1	adaptor-related protein complex 3, beta 1 subunit	Hs	11/03/2015	
8541	PPFIA3	protein tyrosine phosphatase, receptor type, f polypeptide (PTPRF), interacting protein (liprin), alpha 3	Hs	11/03/2015	
8540	AGPS	alkylglycerone phosphate synthase	Hs	11/03/2015	
8543	LMO4	LIM domain only 4	Hs	11/03/2015	
8542	APOL1	apolipoprotein L, 1	Hs	11/03/2015	
729971	LOC729971	hypothetical LOC729971	Hs	11/03/2015	
145438	C14orf82	Chromosome 14 open reading frame 82	Hs	11/03/2015	
629	CFB	complement factor B	Hs	11/03/2015	
283460	C12orf27	chromosome 12 open reading frame 27	Hs	11/03/2015	
55629	PNRC2	proline-rich nuclear receptor coactivator 2	Hs	11/03/2015	
23126	POGZ	pogo transposable element with ZNF domain	Hs	11/03/2015	
374920	C19orf68	chromosome 19 open reading frame 68	Hs	11/03/2015	
55623	THUMPD1	THUMP domain containing 1	Hs	11/03/2015	
55622	TTC27	tetratricopeptide repeat domain 27	Hs	11/03/2015	
55621	TRMT1	TRM1 tRNA methyltransferase 1 homolog (S. cerevisiae)	Hs	11/03/2015	
55620	STAP2	signal transducing adaptor family member 2	Hs	11/03/2015	
55627	SMPD4	sphingomyelin phosphodiesterase 4, neutral membrane (neutral sphingomyelinase-3)	Hs	11/03/2015	
55626	AMBRA1	autophagy/beclin-1 regulator 1	Hs	11/03/2015	
55625	ZDHHC7	zinc finger, DHHC-type containing 7	Hs	11/03/2015	
55624	POMGNT1	protein O-linked mannose beta1,2-N-acetylglucosaminyltransferase	Hs	11/03/2015	
389073	C2orf80	chromosome 2 open reading frame 80	Hs	11/03/2015	
389072	PLEKHM3	pleckstrin homology domain containing, family M, member 3	Hs	11/03/2015	
389075	RESP18	regulated endocrine-specific protein 18	Hs	11/03/2015	
728715	LOC728715	similar to hCG38149	Hs	11/03/2015	
728716	hCG_2036596	HCG2036596	Hs	11/03/2015	
728712	SPANXA2	SPANX family, member A2	Hs	11/03/2015	
