Source Identifier	SystemCode
ENSG00000177575	En
ENSG00000091972	En
ENSG00000004468	En
ENSG00000026508	En
ENSG00000196776	En
ENSG00000110651	En
ENSG00000085117	En
ENSG00000010278	En
ENSG00000105401	En
ENSG00000070831	En
ENSG00000198752	En
ENSG00000179604	En
ENSG00000140945	En
ENSG00000170558	En
ENSG00000164885	En
ENSG00000143126	En
ENSG00000198848	En
ENSG00000000971	En
ENSG00000172757	En
ENSG00000165410	En
ENSG00000106554	En
ENSG00000016391	En
ENSG00000100604	En
ENSG00000089199	En
ENSG00000134121	En
ENSG00000101421	En
ENSG00000110172	En
ENSG00000187446	En
ENSG00000185043	En
ENSG00000122873	En
ENSG00000136026	En
ENSG00000175216	En
ENSG00000166165	En
ENSG00000223572	En
ENSG00000163539	En
ENSG00000236279	En
ENSG00000213719	En
ENSG00000169504	En
ENSG00000106665	En
ENSG00000122705	En
ENSG00000175416	En
ENSG00000141367	En
ENSG00000120885	En
ENSG00000164237	En
ENSG00000162368	En
ENSG00000150656	En
ENSG00000133313	En
ENSG00000117519	En
ENSG00000173786	En
ENSG00000257727	En
ENSG00000119865	En
ENSG00000122756	En
ENSG00000018236	En
ENSG00000184144	En
ENSG00000108797	En
ENSG00000174469	En
ENSG00000168275	En
ENSG00000068120	En
ENSG00000108821	En
ENSG00000187498	En
ENSG00000134871	En
ENSG00000142156	En
ENSG00000142173	En
ENSG00000163359	En
ENSG00000158270	En
ENSG00000093010	En
ENSG00000122218	En
ENSG00000129083	En
ENSG00000166200	En
ENSG00000141030	En
ENSG00000138663	En
ENSG00000121022	En
ENSG00000168090	En
ENSG00000111652	En
ENSG00000102879	En
ENSG00000172725	En
ENSG00000110880	En
ENSG00000103647	En
ENSG00000103187	En
ENSG00000131143	En
ENSG00000178741	En
ENSG00000135940	En
ENSG00000126267	En
ENSG00000047457	En
ENSG00000109472	En
ENSG00000168993	En
ENSG00000145920	En
ENSG00000135678	En
ENSG00000214078	En
ENSG00000140848	En
ENSG00000085719	En
ENSG00000196353	En
ENSG00000124772	En
ENSG00000100884	En
ENSG00000139117	En
ENSG00000103381	En
ENSG00000110090	En
ENSG00000166426	En
ENSG00000095321	En
ENSG00000167193	En
ENSG00000099942	En
ENSG00000072832	En
ENSG00000095713	En
ENSG00000109846	En
ENSG00000165475	En
ENSG00000103316	En
ENSG00000116791	En
ENSG00000062485	En
ENSG00000124207	En
ENSG00000151292	En
ENSG00000101266	En
ENSG00000070770	En
NA	En
ENSG00000159176	En
ENSG00000101439	En
ENSG00000160213	En
ENSG00000159692	En
ENSG00000044115	En
ENSG00000066032	En
ENSG00000168036	En
ENSG00000198561	En
ENSG00000169862	En
ENSG00000164733	En
ENSG00000117984	En
ENSG00000103811	En
ENSG00000085733	En
ENSG00000055130	En
ENSG00000108094	En
ENSG00000036257	En
ENSG00000158290	En
ENSG00000166266	En
ENSG00000154639	En
ENSG00000159348	En
ENSG00000166394	En
ENSG00000100243	En
ENSG00000165168	En
ENSG00000179091	En
ENSG00000172115	En
ENSG00000273749	En
ENSG00000055163	En
ENSG00000171903	En
ENSG00000100592	En
ENSG00000146122	En
ENSG00000173402	En
NA	En
NA	En
ENSG00000155368	En
ENSG00000113758	En
ENSG00000136279	En
ENSG00000161634	En
ENSG00000133083	En
ENSG00000170390	En
ENSG00000204843	En
ENSG00000175203	En
ENSG00000137100	En
ENSG00000043093	En
ENSG00000169738	En
ENSG00000153904	En
ENSG00000213722	En
ENSG00000167986	En
ENSG00000085788	En
ENSG00000244038	En
ENSG00000099977	En
ENSG00000079785	En
ENSG00000198563	En
ENSG00000215301	En
ENSG00000104325	En
ENSG00000139726	En
NA	En
ENSG00000278535	En
ENSG00000100612	En
ENSG00000184047	En
ENSG00000066084	En
ENSG00000165023	En
ENSG00000050165	En
ENSG00000150768	En
ENSG00000091140	En
ENSG00000075711	En
ENSG00000150672	En
ENSG00000082458	En
ENSG00000132535	En
ENSG00000119689	En
ENSG00000198947	En
ENSG00000158856	En
ENSG00000104093	En
ENSG00000086061	En
ENSG00000069345	En
ENSG00000132002	En
ENSG00000135924	En
ENSG00000101152	En
ENSG00000116675	En
ENSG00000106976	En
ENSG00000087470	En
ENSG00000197959	En
ENSG00000123992	En
ENSG00000175497	En
ENSG00000254986	En
ENSG00000130226	En
ENSG00000176978	En
ENSG00000092964	En
ENSG00000113657	En
ENSG00000151640	En
ENSG00000157851	En
ENSG00000134765	En
ENSG00000134760	En
ENSG00000096696	En
ENSG00000151914	En
ENSG00000125868	En
ENSG00000134769	En
ENSG00000108861	En
