GO-Elite ORA Results
File:
Table:
Database: Based on OBO-Database version: 6/14/2011
colors:
11/7/2023
Homo sapiens
Pvalues = true
Calculation Summary:
182 Ensembl source identifiers supplied in the input file:yellow_Module.txt
182 source identifiers meeting the filter linked to a Ensembl ID.
181 genes meeting the criterion linked to a term.
1741 source identifiers in this dataset.
1741 source identifiers linked to a Ensembl ID.
1732 Genes linked to a term.
The z score is based on an N of 1732 and a R of 181 distinct genes in all terms.

Ontology-ID	Ontology Name	Ontology Type	Number Changed	Number Measured	Number in Ontology	Percent Changed	Percent Present	Z Score	PermuteP	AdjustedP
GO:0031988	membrane-bounded vesicle	cellular_component	122	961	3120	12.6951092612	30.8012820513	3.40844432664	0.0	0.040020661157
GO:0031253	cell projection membrane	cellular_component	13	53	263	24.5283018868	20.1520912548	3.40175795496	0.002	0.122594936709
GO:0051051	negative regulation of transport	biological_process	15	65	388	23.0769230769	16.7525773196	3.3909839436	0.001	0.0706934306569
GO:0034097	response to cytokine	biological_process	11	42	312	26.1904761905	13.4615384615	3.37474402245	0.0035	0.184225543478
GO:1903531	negative regulation of secretion by cell	biological_process	6	17	146	35.2941176471	11.6438356164	3.36404003144	0.0045	0.2179125
GO:0005518	collagen binding	molecular_function	6	17	67	35.2941176471	25.3731343284	3.36404003144	0.0065	0.27610745614
GO:1901888	regulation of cell junction assembly	biological_process	4	9	46	44.4444444444	19.5652173913	3.34143774161	0.007	0.287266949153
GO:0042044	fluid transport	biological_process	4	9	45	44.4444444444	20.0	3.34143774161	0.013	0.374717261905
GO:0031341	regulation of cell killing	biological_process	4	9	103	44.4444444444	8.73786407767	3.34143774161	0.0075	0.295274390244
GO:0030216	keratinocyte differentiation	biological_process	4	9	59	44.4444444444	15.2542372881	3.34143774161	0.0075	0.295274390244
GO:0007212	dopamine receptor signaling pathway	biological_process	4	9	26	44.4444444444	34.6153846154	3.34143774161	0.01	0.344773462783
GO:0006833	water transport	biological_process	4	9	40	44.4444444444	22.5	3.34143774161	0.013	0.374717261905
GO:0004620	phospholipase activity	molecular_function	4	9	94	44.4444444444	9.57446808511	3.34143774161	0.0115	0.352460443038
GO:0003014	renal system process	biological_process	4	9	69	44.4444444444	13.0434782609	3.34143774161	0.0105	0.344773462783
GO:0002687	positive regulation of leukocyte migration	biological_process	4	9	94	44.4444444444	9.57446808511	3.34143774161	0.0085	0.324104330709
GO:0001910	regulation of leukocyte mediated cytotoxicity	biological_process	4	9	98	44.4444444444	9.18367346939	3.34143774161	0.0075	0.295274390244
GO:0070887	cellular response to chemical stimulus	biological_process	30	167	1055	17.9640718563	15.8293838863	3.33816362989	0.0005	0.040020661157
GO:0071495	cellular response to endogenous stimulus	biological_process	18	85	484	21.1764705882	17.5619834711	3.31403216085	0.002	0.122594936709
GO:0051339	regulation of lyase activity	biological_process	5	13	83	38.4615384615	15.6626506024	3.31296283594	0.0065	0.27610745614
GO:0050731	positive regulation of peptidyl-tyrosine phosphorylation	biological_process	5	13	140	38.4615384615	9.28571428571	3.31296283594	0.0065	0.27610745614
GO:0048520	positive regulation of behavior	biological_process	5	13	115	38.4615384615	11.3043478261	3.31296283594	0.006	0.266559633028
GO:0045761	regulation of adenylate cyclase activity	biological_process	5	13	69	38.4615384615	18.8405797101	3.31296283594	0.0065	0.27610745614
GO:0044703	multi-organism reproductive process	biological_process	5	13	153	38.4615384615	8.49673202614	3.31296283594	0.0045	0.2179125
GO:0031669	cellular response to nutrient levels	biological_process	5	13	91	38.4615384615	14.2857142857	3.31296283594	0.0075	0.295274390244
GO:0031279	regulation of cyclase activity	biological_process	5	13	80	38.4615384615	16.25	3.31296283594	0.0065	0.27610745614
GO:0009132	nucleoside diphosphate metabolic process	biological_process	5	13	37	38.4615384615	35.1351351351	3.31296283594	0.0085	0.324104330709
GO:1901700	response to oxygen-containing compound	biological_process	30	169	1037	17.7514792899	16.2970106075	3.26516663926	0.0025	0.14412202381
GO:0090087	regulation of peptide transport	biological_process	12	49	243	24.4897959184	20.1646090535	3.25804663394	0.003	0.166982758621
GO:0031982	vesicle	cellular_component	122	971	3215	12.5643666323	30.2021772939	3.2477131001	0.0005	0.040020661157
GO:0005911	cell-cell junction	cellular_component	17	80	354	21.25	22.5988700565	3.23222088501	0.0015	0.100885416667
GO:0042221	response to chemical	biological_process	51	333	2003	15.3153153153	16.6250624064	3.22808203336	0.002	0.122594936709
GO:0090276	regulation of peptide hormone secretion	biological_process	11	44	200	25.0	22.0	3.19480242549	0.004	0.199690721649
GO:0046883	regulation of hormone secretion	biological_process	11	44	244	25.0	18.0327868852	3.19480242549	0.004	0.199690721649
GO:0030666	endocytic vesicle membrane	cellular_component	11	44	199	25.0	22.1105527638	3.19480242549	0.0045	0.2179125
GO:0002791	regulation of peptide secretion	biological_process	11	44	203	25.0	21.6748768473	3.19480242549	0.004	0.199690721649
GO:0051048	negative regulation of secretion	biological_process	6	18	164	33.3333333333	10.9756097561	3.18929572882	0.007	0.287266949153
GO:0034284	response to monosaccharide	biological_process	6	18	121	33.3333333333	14.8760330579	3.18929572882	0.0125	0.370221712538
GO:0031668	cellular response to extracellular stimulus	biological_process	6	18	117	33.3333333333	15.3846153846	3.18929572882	0.008	0.30992
GO:2000738	positive regulation of stem cell differentiation	biological_process	2	3	39	66.6666666667	7.69230769231	3.18476051788	0.025	0.546557562077
GO:2000404	regulation of T cell migration	biological_process	2	3	29	66.6666666667	10.3448275862	3.18476051788	0.036	0.623720930233
GO:1901623	regulation of lymphocyte chemotaxis	biological_process	2	3	21	66.6666666667	14.2857142857	3.18476051788	0.032	0.582556390977
GO:1901618	organic hydroxy compound transmembrane transporter activity	molecular_function	2	3	34	66.6666666667	8.82352941176	3.18476051788	0.0305	0.579995247148
GO:1901532	regulation of hematopoietic progenitor cell differentiation	biological_process	2	3	38	66.6666666667	7.89473684211	3.18476051788	0.036	0.623720930233
GO:0097208	alveolar lamellar body	cellular_component	2	3	6	66.6666666667	50.0	3.18476051788	0.0285	0.56331122449
GO:0097038	perinuclear endoplasmic reticulum	cellular_component	2	3	11	66.6666666667	27.2727272727	3.18476051788	0.0285	0.56331122449
GO:0075136	response to host	biological_process	2	3	9	66.6666666667	33.3333333333	3.18476051788	0.0205	0.49388681592
GO:0072666	establishment of protein localization to vacuole	biological_process	2	3	10	66.6666666667	30.0	3.18476051788	0.0315	0.579995247148
GO:0072665	protein localization to vacuole	biological_process	2	3	13	66.6666666667	23.0769230769	3.18476051788	0.0315	0.579995247148
GO:0071312	cellular response to alkaloid	biological_process	2	3	39	66.6666666667	7.69230769231	3.18476051788	0.031	0.579995247148
GO:0070293	renal absorption	biological_process	2	3	13	66.6666666667	23.0769230769	3.18476051788	0.0315	0.579995247148
GO:0061462	protein localization to lysosome	biological_process	2	3	13	66.6666666667	23.0769230769	3.18476051788	0.0315	0.579995247148
GO:0060187	cell pole	cellular_component	2	3	9	66.6666666667	33.3333333333	3.18476051788	0.025	0.546557562077
GO:0060143	positive regulation of syncytium formation by plasma membrane fusion	biological_process	2	3	9	66.6666666667	33.3333333333	3.18476051788	0.039	0.662657894737
GO:0052200	response to host defenses	biological_process	2	3	9	66.6666666667	33.3333333333	3.18476051788	0.0205	0.49388681592
GO:0052173	response to defenses of other organism involved in symbiotic interaction	biological_process	2	3	9	66.6666666667	33.3333333333	3.18476051788	0.0205	0.49388681592
GO:0051503	adenine nucleotide transport	biological_process	2	3	8	66.6666666667	37.5	3.18476051788	0.0275	0.56331122449
GO:0051286	cell tip	cellular_component	2	3	7	66.6666666667	42.8571428571	3.18476051788	0.025	0.546557562077
GO:0050891	multicellular organismal water homeostasis	biological_process	2	3	32	66.6666666667	9.375	3.18476051788	0.0235	0.531769859813
GO:0050864	regulation of B cell activation	biological_process	2	3	95	66.6666666667	3.15789473684	3.18476051788	0.0315	0.579995247148
GO:0050748	negative regulation of lipoprotein metabolic process	biological_process	2	3	12	66.6666666667	25.0	3.18476051788	0.0315	0.579995247148
GO:0050746	regulation of lipoprotein metabolic process	biological_process	2	3	16	66.6666666667	18.75	3.18476051788	0.0315	0.579995247148
GO:0050710	negative regulation of cytokine secretion	biological_process	2	3	44	66.6666666667	6.81818181818	3.18476051788	0.0305	0.579995247148
GO:0048066	developmental pigmentation	biological_process	2	3	19	66.6666666667	15.7894736842	3.18476051788	0.026	0.559577777778
GO:0045652	regulation of megakaryocyte differentiation	biological_process	2	3	28	66.6666666667	10.7142857143	3.18476051788	0.036	0.623720930233
GO:0045022	early endosome to late endosome transport	biological_process	2	3	15	66.6666666667	20.0	3.18476051788	0.034	0.601992687386
GO:0044705	multi-organism reproductive behavior	biological_process	2	3	29	66.6666666667	10.3448275862	3.18476051788	0.0265	0.56331122449
GO:0044344	cellular response to fibroblast growth factor stimulus	biological_process	2	3	22	66.6666666667	13.6363636364	3.18476051788	0.0285	0.56331122449
GO:0043536	positive regulation of blood vessel endothelial cell migration	biological_process	2	3	22	66.6666666667	13.6363636364	3.18476051788	0.0285	0.56331122449
GO:0042599	lamellar body	cellular_component	2	3	11	66.6666666667	27.2727272727	3.18476051788	0.0285	0.56331122449
GO:0035587	purinergic receptor signaling pathway	biological_process	2	3	23	66.6666666667	13.0434782609	3.18476051788	0.0265	0.56331122449
GO:0033280	response to vitamin D	biological_process	2	3	20	66.6666666667	15.0	3.18476051788	0.0355	0.619490990991
GO:0032717	negative regulation of interleukin-8 production	biological_process	2	3	15	66.6666666667	20.0	3.18476051788	0.032	0.582556390977
GO:0031852	mu-type opioid receptor binding	molecular_function	2	3	4	66.6666666667	75.0	3.18476051788	0.0255	0.551266741071
GO:0031628	opioid receptor binding	molecular_function	2	3	6	66.6666666667	50.0	3.18476051788	0.0255	0.551266741071
GO:0031514	motile cilium	cellular_component	2	3	60	66.6666666667	5.0	3.18476051788	0.031	0.579995247148
GO:0030888	regulation of B cell proliferation	biological_process	2	3	56	66.6666666667	5.35714285714	3.18476051788	0.0315	0.579995247148
GO:0019098	reproductive behavior	biological_process	2	3	31	66.6666666667	9.67741935484	3.18476051788	0.0265	0.56331122449
GO:0015868	purine ribonucleotide transport	biological_process	2	3	7	66.6666666667	42.8571428571	3.18476051788	0.0275	0.56331122449
GO:0015867	ATP transport	biological_process	2	3	6	66.6666666667	50.0	3.18476051788	0.0275	0.56331122449
GO:0015865	purine nucleotide transport	biological_process	2	3	9	66.6666666667	33.3333333333	3.18476051788	0.0275	0.56331122449
GO:0015858	nucleoside transport	biological_process	2	3	15	66.6666666667	20.0	3.18476051788	0.0275	0.56331122449
GO:0010718	positive regulation of epithelial to mesenchymal transition	biological_process	2	3	26	66.6666666667	11.5384615385	3.18476051788	0.025	0.546557562077
GO:0009395	phospholipid catabolic process	biological_process	2	3	25	66.6666666667	12.0	3.18476051788	0.034	0.601992687386
GO:0009181	purine ribonucleoside diphosphate catabolic process	biological_process	2	3	5	66.6666666667	60.0	3.18476051788	0.0285	0.56331122449
GO:0009137	purine nucleoside diphosphate catabolic process	biological_process	2	3	5	66.6666666667	60.0	3.18476051788	0.0285	0.56331122449
GO:0007520	myoblast fusion	biological_process	2	3	17	66.6666666667	17.6470588235	3.18476051788	0.023	0.524129411765
GO:0006968	cellular defense response	biological_process	2	3	90	66.6666666667	3.33333333333	3.18476051788	0.028	0.56331122449
GO:0006949	syncytium formation	biological_process	2	3	23	66.6666666667	13.0434782609	3.18476051788	0.023	0.524129411765
GO:0006623	protein targeting to vacuole	biological_process	2	3	10	66.6666666667	30.0	3.18476051788	0.0315	0.579995247148
GO:0006622	protein targeting to lysosome	biological_process	2	3	10	66.6666666667	30.0	3.18476051788	0.0315	0.579995247148
GO:0005247	voltage-gated chloride channel activity	molecular_function	2	3	22	66.6666666667	13.6363636364	3.18476051788	0.029	0.565120724346
GO:0002686	negative regulation of leukocyte migration	biological_process	2	3	22	66.6666666667	13.6363636364	3.18476051788	0.0325	0.58614990689
GO:0002286	T cell activation involved in immune response	biological_process	2	3	50	66.6666666667	6.0	3.18476051788	0.0335	0.599718114603
GO:0001968	fibronectin binding	molecular_function	2	3	23	66.6666666667	13.0434782609	3.18476051788	0.033	0.591861111111
GO:0000768	syncytium formation by plasma membrane fusion	biological_process	2	3	19	66.6666666667	15.7894736842	3.18476051788	0.023	0.524129411765
GO:0005765	lysosomal membrane	cellular_component	14	62	324	22.5806451613	19.1358024691	3.17877904275	0.004	0.199690721649
GO:2000351	regulation of endothelial cell apoptotic process	biological_process	3	6	31	50.0	19.3548387097	3.17138632067	0.0155	0.413546831956
GO:0071379	cellular response to prostaglandin stimulus	biological_process	3	6	13	50.0	46.1538461538	3.17138632067	0.0215	0.502964975845
GO:0071333	cellular response to glucose stimulus	biological_process	3	6	39	50.0	15.3846153846	3.17138632067	0.023	0.524129411765
GO:0055102	lipase inhibitor activity	molecular_function	3	6	17	50.0	35.2941176471	3.17138632067	0.022	0.5121875
GO:0045639	positive regulation of myeloid cell differentiation	biological_process	3	6	89	50.0	6.74157303371	3.17138632067	0.022	0.5121875
GO:0034694	response to prostaglandin	biological_process	3	6	23	50.0	26.0869565217	3.17138632067	0.0215	0.502964975845
GO:0031821	G-protein coupled serotonin receptor binding	molecular_function	3	6	7	50.0	85.7142857143	3.17138632067	0.018	0.453984375
GO:0031234	extrinsic component of cytoplasmic side of plasma membrane	cellular_component	3	6	27	50.0	22.2222222222	3.17138632067	0.016	0.421086956522
GO:0030056	hemidesmosome	cellular_component	3	6	8	50.0	75.0	3.17138632067	0.019	0.468231552163
GO:0009268	response to pH	biological_process	3	6	30	50.0	20.0	3.17138632067	0.023	0.524129411765
GO:0030139	endocytic vesicle	cellular_component	8	28	92	28.5714285714	30.4347826087	3.15921792566	0.008	0.30992
GO:0042127	regulation of cell proliferation	biological_process	25	136	1433	18.3823529412	9.49057920447	3.14910621125	0.002	0.122594936709
GO:0050818	regulation of coagulation	biological_process	5	14	85	35.7142857143	16.4705882353	3.10173537013	0.012	0.3576
GO:0044877	macromolecular complex binding	molecular_function	37	227	1350	16.2995594714	16.8148148148	3.08953666992	0.0035	0.184225543478
GO:0048856	anatomical structure development	biological_process	53	356	2809	14.8876404494	12.6735493058	3.06962430359	0.005	0.236219512195
GO:0002684	positive regulation of immune system process	biological_process	20	103	902	19.4174757282	11.4190687361	3.06663958875	0.0035	0.184225543478
GO:1903708	positive regulation of hemopoiesis	biological_process	4	10	166	40.0	6.02409638554	3.06257727466	0.0145	0.395584507042
GO:0044706	multi-multicellular organism process	biological_process	4	10	127	40.0	7.87401574803	3.06257727466	0.0075	0.295274390244
GO:0033273	response to vitamin	biological_process	4	10	69	40.0	14.4927536232	3.06257727466	0.018	0.453984375
GO:0030866	cortical actin cytoskeleton organization	biological_process	4	10	19	40.0	52.6315789474	3.06257727466	0.012	0.3576
