Ensembl	symbol	GeneOntology
ENSG00000134243	SORT1	GO:0005488
ENSG00000185129	PURA	GO:0005488
ENSG00000120915	EPHX2	GO:0005488
ENSG00000004939	SLC4A1	GO:0005488
ENSG00000143256	PFDN2	GO:0005488
ENSG00000117906	RCN2	GO:0005488
ENSG00000157851	DPYSL5	GO:0005488
ENSG00000124140	SLC12A5	GO:0005488
ENSG00000147604	RPL7	GO:0005488
ENSG00000149428	HYOU1	GO:0005488
ENSG00000003056	M6PR	GO:0005488
ENSG00000154930	ACSS1	GO:0005488
ENSG00000079215	SLC1A3	GO:0005488
ENSG00000178127	NDUFV2	GO:0005488
ENSG00000168291	PDHB	GO:0005488
ENSG00000183715	OPCML	GO:0005488
ENSG00000105974	CAV1	GO:0005488
ENSG00000166598	HSP90B1	GO:0005488
ENSG00000142173	COL6A2	GO:0005488
ENSG00000100243	CYB5R3	GO:0005488
ENSG00000134333	LDHA	GO:0005488
ENSG00000113721	PDGFRB	GO:0005488
ENSG00000075415	SLC25A3	GO:0005488
ENSG00000123384	LRP1	GO:0005488
ENSG00000110917	MLEC	GO:0005488
ENSG00000118705	RPN2	GO:0005488
ENSG00000135940	COX5B	GO:0005488
ENSG00000213585	VDAC1	GO:0005488
ENSG00000146648	EGFR	GO:0005488
ENSG00000108528	SLC25A11	GO:0005488
ENSG00000169021	UQCRFS1	GO:0005488
ENSG00000138279	ANXA7	GO:0005488
ENSG00000184840	TMED9	GO:0005488
ENSG00000111801	BTN3A3	GO:0005488
ENSG00000234745	HLA-B	GO:0005488
ENSG00000136731	UGGT1	GO:0005488
ENSG00000165637	VDAC2	GO:0005488
ENSG00000110047	EHD1	GO:0005488
ENSG00000074695	LMAN1	GO:0005488
ENSG00000241685	ARPC1A	GO:0005488
ENSG00000168959	GRM5	GO:0005488
ENSG00000144959	NCEH1	GO:0005488
ENSG00000255526	NEDD8-MDP1	GO:0005488
ENSG00000166426	CRABP1	GO:0005488
ENSG00000151729	SLC25A4	GO:0005488
ENSG00000023228	NDUFS1	GO:0005488
ENSG00000169223	LMAN2	GO:0005488
ENSG00000179218	CALR	GO:0005488
ENSG00000163902	RPN1	GO:0005488
ENSG00000215021	PHB2	GO:0005488
ENSG00000070081	NUCB2	GO:0005488
ENSG00000124126	PREX1	GO:0005488
ENSG00000154917	RAB6B	GO:0005488
ENSG00000152583	SPARCL1	GO:0005488
ENSG00000158864	NDUFS2	GO:0005488
ENSG00000122873	CISD1	GO:0005488
ENSG00000115840	SLC25A12	GO:0005488
ENSG00000165457	FOLR2	GO:0005488
ENSG00000176658	MYO1D	GO:0005488
ENSG00000147475	ERLIN2	GO:0005488
ENSG00000105854	PON2	GO:0005488
ENSG00000142156	COL6A1	GO:0005488
ENSG00000010256	UQCRC1	GO:0005488
ENSG00000169896	ITGAM	GO:0005488
ENSG00000044574	HSPA5	GO:0005488
ENSG00000145050	MANF	GO:0005488
ENSG00000174748	RPL15	GO:0005488
ENSG00000127022	CANX	GO:0005488
ENSG00000143870	PDIA6	GO:0005488
ENSG00000141458	NPC1	GO:0005488
ENSG00000163346	PBXIP1	GO:0005488
ENSG00000174444	RPL4	GO:0005488
ENSG00000132164	SLC6A11	GO:0005488
ENSG00000167792	NDUFV1	GO:0005488
ENSG00000141338	ABCA8	GO:0005488
ENSG00000163191	S100A11	GO:0005488
ENSG00000149084	HSD17B12	GO:0005488
ENSG00000073578	SDHA	GO:0005488
ENSG00000173486	FKBP2	GO:0005488
ENSG00000148660	CAMK2G	GO:0005488
ENSG00000120708	TGFBI	GO:0005488
ENSG00000189221	MAOA	GO:0005488
ENSG00000163359	COL6A3	GO:0005488
ENSG00000170876	TMEM43	GO:0005488
ENSG00000089248	ERP29	GO:0005488
ENSG00000093010	COMT	GO:0005488
ENSG00000128872	TMOD2	GO:0005488
ENSG00000174437	ATP2A2	GO:0005488
