Ensembl	symbol	WikiPathways
ENSG00000158864	NDUFS2	Electron Transport Chain:WP111
ENSG00000010256	UQCRC1	Electron Transport Chain:WP111
ENSG00000167792	NDUFV1	Electron Transport Chain:WP111
ENSG00000131495	NDUFA2	Electron Transport Chain:WP111
ENSG00000073578	SDHA	Electron Transport Chain:WP111
ENSG00000128609	NDUFA5	Electron Transport Chain:WP111
ENSG00000168653	NDUFS5	Electron Transport Chain:WP111
ENSG00000139180	NDUFA9	Electron Transport Chain:WP111
ENSG00000126267	COX6B1	Electron Transport Chain:WP111
ENSG00000156467	UQCRB	Electron Transport Chain:WP111
ENSG00000131143	COX4I1	Electron Transport Chain:WP111
ENSG00000178741	COX5A	Electron Transport Chain:WP111
ENSG00000140740	UQCRC2	Electron Transport Chain:WP111
ENSG00000148660	CAMK2G	Myometrial Relaxation and Contraction Pathways:WP289
ENSG00000174437	ATP2A2	Myometrial Relaxation and Contraction Pathways:WP289
ENSG00000113721	PDGFRB	PDGF Pathway:WP2526
ENSG00000184047	DIABLO	BCL-XL prevents the binding of truncated BID to BAX. This is prevented by BAD. BAD can displace tBID from BCL-XL.   :WP231
ENSG00000034713	GABARAPL2	Senescence and Autophagy in Cancer:WP615
ENSG00000213619	NDUFS3	Oxidative phosphorylation:WP623
ENSG00000178127	NDUFV2	Oxidative phosphorylation:WP623
ENSG00000023228	NDUFS1	Oxidative phosphorylation:WP623
ENSG00000147684	NDUFB9	Oxidative phosphorylation:WP623
ENSG00000158864	NDUFS2	Oxidative phosphorylation:WP623
ENSG00000167792	NDUFV1	Oxidative phosphorylation:WP623
ENSG00000131495	NDUFA2	Oxidative phosphorylation:WP623
ENSG00000128609	NDUFA5	Oxidative phosphorylation:WP623
ENSG00000168653	NDUFS5	Oxidative phosphorylation:WP623
ENSG00000139180	NDUFA9	Oxidative phosphorylation:WP623
ENSG00000105974	CAV1	Integrin-mediated Cell Adhesion:WP185
ENSG00000169896	ITGAM	Integrin-mediated Cell Adhesion:WP185
ENSG00000149257	SERPINH1	Endochondral Ossification:WP474
ENSG00000159348	CYB5R1	Oxidation by Cytochrome P450:WP43
ENSG00000100243	CYB5R3	Oxidation by Cytochrome P450:WP43
ENSG00000123131	PRDX4	Selenium Micronutrient Network:WP15
ENSG00000128595	CALU	NOTCH1 regulation of human endothelial cell calcification:WP3413
ENSG00000154930	ACSS1	SREBP signalling:WP1982
ENSG00000146648	EGFR	Gastric cancer network 2:WP2363
ENSG00000142173	COL6A2	miRNA targets in ECM and membrane receptors:WP2911
ENSG00000142156	COL6A1	miRNA targets in ECM and membrane receptors:WP2911
ENSG00000163359	COL6A3	miRNA targets in ECM and membrane receptors:WP2911
ENSG00000146648	EGFR	Aryl Hydrocarbon Receptor:WP2586
ENSG00000146648	EGFR	Bladder Cancer:WP2828
ENSG00000072210	ALDH3A2	Tryptophan metabolism:WP465
ENSG00000105953	OGDH	Tryptophan metabolism:WP465
ENSG00000168959	GRM5	GPCRs, Class C Metabotropic glutamate, pheromone:WP501
ENSG00000138029	HADHB	Fatty Acid Beta Oxidation:WP143
ENSG00000110090	CPT1A	Fatty Acid Beta Oxidation:WP143
ENSG00000115159	GPD2	Fatty Acid Beta Oxidation:WP143
