GO-Elite ORA Results
File:
Table:
colors:
11/7/2023
Homo sapiens
Pvalues = true
Calculation Summary:
182 Ensembl source identifiers supplied in the input file:yellow_Module.txt
182 source identifiers meeting the filter linked to a Ensembl ID.
88 genes meeting the criterion linked to a term.
1741 source identifiers in this dataset.
1741 source identifiers linked to a Ensembl ID.
762 Genes linked to a term.
The z score is based on an N of 762 and a R of 88 distinct genes in all terms.

Gene-Set Name	Number Changed	Number Measured	Number in Gene-Set	Percent Changed	Percent Present	Z Score	PermuteP	AdjustedP
SIDS Susceptibility Pathways:WP706	3	37	157	8.10810810811	23.5668789809	-0.670846121109	0.637	1.0
TCA Cycle Nutrient Utilization and Invasiveness of Ovarian Cancer:WP2868	0	4	5	0.0	80.0	-0.724100936291	1.0	1.0
Structural Pathway of Interleukin 1 (IL-1):WP2637	0	4	9	0.0	44.4444444444	-0.724100936291	1.0	1.0
Oxidation by Cytochrome P450:WP43	0	4	63	0.0	6.34920634921	-0.724100936291	1.0	1.0
Nucleotide Metabolism:WP404	0	4	19	0.0	21.0526315789	-0.724100936291	1.0	1.0
NOD pathway:WP1433	0	4	42	0.0	9.52380952381	-0.724100936291	1.0	1.0
Methylation Pathways:WP704	0	4	9	0.0	44.4444444444	-0.724100936291	1.0	1.0
Imatinib Resistance in Chronic Myeloid Leukemia:WP2946	0	4	49	0.0	8.16326530612	-0.724100936291	1.0	1.0
GPCRs, Class C Metabotropic glutamate, pheromone:WP501	0	4	14	0.0	28.5714285714	-0.724100936291	1.0	1.0
Eicosanoid Synthesis:WP167	0	4	22	0.0	18.1818181818	-0.724100936291	1.0	1.0
Cardiac Progenitor Differentiation:WP2406	0	4	53	0.0	7.54716981132	-0.724100936291	1.0	1.0
Arylhydrocarbon receptor (AhR) signaling pathway:WP2100	0	4	28	0.0	14.2857142857	-0.724100936291	1.0	1.0
B Cell Receptor Signaling Pathway:WP23	1	17	99	5.88235294118	17.1717171717	-0.738778940281	0.562	1.0
Glycolysis and Gluconeogenesis:WP534	2	29	52	6.89655172414	55.7692307692	-0.798662277789	0.5165	1.0
Ectoderm Differentiation:WP2858	1	18	144	5.55555555556	12.5	-0.804581683002	0.396	1.0
Urea cycle and metabolism of amino groups:WP497	0	5	21	0.0	23.8095238095	-0.810104003814	0.6375	1.0
Statin Pathway:WP430	0	5	36	0.0	13.8888888889	-0.810104003814	0.6715	1.0
Pentose Phosphate Pathway:WP134	0	5	8	0.0	62.5	-0.810104003814	0.657	1.0
PDGF Pathway:WP2526	0	5	9	0.0	55.5555555556	-0.810104003814	0.675	1.0
Nicotine Activity on Dopaminergic Neurons:WP1602	0	5	21	0.0	23.8095238095	-0.810104003814	0.659	1.0
Glucuronidation:WP698	0	5	16	0.0	31.25	-0.810104003814	0.652	1.0
Extracellular vesicle-mediated signaling in recipient cells:WP2870	0	5	28	0.0	17.8571428571	-0.810104003814	0.6705	1.0
Bladder Cancer:WP2828	0	5	33	0.0	15.1515151515	-0.810104003814	0.651	1.0
p38 MAPK Signaling Pathway:WP400	0	6	32	0.0	18.75	-0.888011200617	0.6375	1.0
PPAR Alpha Pathway:WP2878	0	6	26	0.0	23.0769230769	-0.888011200617	0.646	1.0
Notch Signaling Pathway:WP61	0	6	58	0.0	10.3448275862	-0.888011200617	0.655	1.0
Monoamine Transport:WP727	0	6	32	0.0	18.75	-0.888011200617	0.6425	1.0
mRNA Processing:WP411	0	7	126	0.0	5.55555555556	-0.959796717658	0.613	1.0
TGF Beta Signaling Pathway:WP560	0	7	55	0.0	12.7272727273	-0.959796717658	0.6065	1.0
IL-9 Signaling Pathway:WP22	0	7	18	0.0	38.8888888889	-0.959796717658	0.6215	1.0
IL-7 Signaling Pathway:WP205	0	7	25	0.0	28.0	-0.959796717658	0.616	1.0
Folate Metabolism:WP176	0	7	35	0.0	20.0	-0.959796717658	0.6195	1.0
Cell Cycle:WP179	0	7	104	0.0	6.73076923077	-0.959796717658	0.619	1.0
Aryl Hydrocarbon Receptor Pathway:WP2873	0	7	46	0.0	15.2173913043	-0.959796717658	0.6355	1.0
Amyotrophic lateral sclerosis (ALS):WP2447	0	7	32	0.0	21.875	-0.959796717658	0.6225	1.0
Alanine and aspartate metabolism:WP106	0	7	12	0.0	58.3333333333	-0.959796717658	0.6105	1.0
AMPK Signaling:WP1403	0	7	69	0.0	10.1449275362	-0.959796717658	0.6245	1.0
EGF/EGFR Signaling Pathway:WP437	3	43	168	6.97674418605	25.5952380952	-0.965015267626	0.4775	1.0
Striated Muscle Contraction:WP383	0	8	41	0.0	19.512195122	-1.02674604055	0.626	1.0
Mitochondrial LC-Fatty Acid Beta-Oxidation:WP368	0	8	18	0.0	44.4444444444	-1.02674604055	0.6215	1.0
IL-1 signaling pathway:WP195	0	8	55	0.0	14.5454545455	-1.02674604055	0.6225	1.0
Physiological and Pathological Hypertrophy  of the Heart:WP1528	0	9	23	0.0	39.1304347826	-1.0897515184	0.433	1.0
Aryl Hydrocarbon Receptor:WP2586	0	9	47	0.0	19.1489361702	-1.0897515184	0.433	1.0
Adipogenesis:WP236	0	9	128	0.0	7.03125	-1.0897515184	0.416	1.0
TSLP Signaling Pathway:WP2203	0	10	46	0.0	21.7391304348	-1.14946246945	0.4025	1.0
IL-6 signaling pathway:WP364	0	10	43	0.0	23.2558139535	-1.14946246945	0.4055	1.0
IL-5 Signaling Pathway:WP127	0	10	41	0.0	24.3902439024	-1.14946246945	0.4195	1.0
Fatty Acid Biosynthesis:WP357	0	10	22	0.0	45.4545454545	-1.14946246945	0.4085	1.0
Proteasome Degradation:WP183	2	37	59	5.40540540541	62.7118644068	-1.19784070285	0.3175	1.0
IL-3 Signaling Pathway:WP286	0	11	49	0.0	22.4489795918	-1.20636878234	0.403	1.0
Diurnally Regulated Genes with Circadian Orthologs:WP410	0	11	46	0.0	23.9130434783	-1.20636878234	0.403	1.0
DNA Damage Response (only ATM dependent):WP710	0	11	101	0.0	10.8910891089	-1.20636878234	0.4095	1.0
Cori Cycle:WP1946	0	11	16	0.0	68.75	-1.20636878234	0.398	1.0
TCA Cycle:WP78	0	12	20	0.0	60.0	-1.26085082667	0.3845	1.0
SREBP signalling:WP1982	0	12	68	0.0	17.6470588235	-1.26085082667	0.3955	1.0
IL-2 Signaling Pathway:WP49	0	12	43	0.0	27.9069767442	-1.26085082667	0.3895	1.0
Hypothetical Network for Drug Addiction:WP666	0	12	31	0.0	38.7096774194	-1.26085082667	0.3805	1.0
TCR Signaling Pathway:WP69	0	14	91	0.0	15.3846153846	-1.36369401699	0.2575	1.0
TCA Cycle and PDHc:WP2453	0	14	16	0.0	87.5	-1.36369401699	0.252	1.0
Glycogen Metabolism:WP500	0	14	36	0.0	38.8888888889	-1.36369401699	0.2575	1.0
Fatty Acid Beta Oxidation:WP143	0	15	33	0.0	45.4545454545	-1.41250191346	0.275	1.0
Translation Factors:WP107	0	16	53	0.0	30.1886792453	-1.45980314105	0.252	1.0
MicroRNAs in cardiomyocyte hypertrophy:WP1544	0	16	103	0.0	15.5339805825	-1.45980314105	0.2515	1.0
BCL-XL prevents the binding of truncated BID to BAX. This is prevented by BAD. BAD can displace tBID from BCL-XL.   :WP231	0	16	92	0.0	17.3913043478	-1.45980314105	0.244	1.0
Parkin-Ubiquitin Proteasomal System pathway:WP2359	1	31	71	3.22580645161	43.661971831	-1.4793298554	0.1595	1.0
Leptin signaling pathway:WP2034	0	18	78	0.0	23.0769230769	-1.550434776	0.1695	1.0
BDNF signaling pathway:WP2380	1	36	145	2.77777777778	24.8275862069	-1.6857652856	0.1095	1.0
Cytoplasmic Ribosomal Proteins:WP477	0	26	97	0.0	26.8041237113	-1.87349044725	0.0755	1.0
Synaptic Vesicle Pathway:WP2267	0	29	51	0.0	56.862745098	-1.98267133552	0.072	1.0
