Ensembl	symbol	KEGG
ENSG00000145349	CAMK2D	Wnt signaling pathway:KEGG-hsa04310
ENSG00000145494	NDUFS6	Oxidative phosphorylation:KEGG-hsa00190
ENSG00000186010	NDUFA13	Oxidative phosphorylation:KEGG-hsa00190
ENSG00000140990	NDUFB10	Oxidative phosphorylation:KEGG-hsa00190
ENSG00000130414	NDUFA10	Oxidative phosphorylation:KEGG-hsa00190
ENSG00000122729	ACO1	Glyoxylate and dicarboxylate metabolism:KEGG-hsa00630
ENSG00000071242	RPS6KA2	mTOR signaling pathway:KEGG-hsa04150
ENSG00000119711	ALDH6A1	Inositol phosphate metabolism:KEGG-hsa00562
ENSG00000143772	ITPKB	Inositol phosphate metabolism:KEGG-hsa00562
ENSG00000155252	PI4K2A	Inositol phosphate metabolism:KEGG-hsa00562
ENSG00000148334	PTGES2	Arachidonic acid metabolism:KEGG-hsa00590
ENSG00000100031	GGT1	Arachidonic acid metabolism:KEGG-hsa00590
ENSG00000111144	LTA4H	Arachidonic acid metabolism:KEGG-hsa00590
ENSG00000171903	CYP4F11	Arachidonic acid metabolism:KEGG-hsa00590
ENSG00000223609	HBD	African trypanosomiasis:KEGG-hsa05143
ENSG00000206172	HBA1	African trypanosomiasis:KEGG-hsa05143
ENSG00000244734	HBB	African trypanosomiasis:KEGG-hsa05143
ENSG00000117394	SLC2A1	Adipocytokine signaling pathway:KEGG-hsa04920
ENSG00000115415	STAT1	Pancreatic cancer:KEGG-hsa05212
ENSG00000259207	ITGB3	Hematopoietic cell lineage:KEGG-hsa04640
ENSG00000115415	STAT1	Jak-STAT signaling pathway:KEGG-hsa04630
ENSG00000145349	CAMK2D	Glioma:KEGG-hsa05214
