GO-Elite ORA Results
File:
Table:
colors:
11/7/2023
Homo sapiens
Pvalues = true
Calculation Summary:
80 Ensembl source identifiers supplied in the input file:magenta_Module.txt
80 source identifiers meeting the filter linked to a Ensembl ID.
47 genes meeting the criterion linked to a term.
1741 source identifiers in this dataset.
1741 source identifiers linked to a Ensembl ID.
977 Genes linked to a term.
The z score is based on an N of 977 and a R of 47 distinct genes in all terms.

Gene-Set Name	Number Changed	Number Measured	Number in Gene-Set	Percent Changed	Percent Present	Z Score	PermuteP	AdjustedP
Hematopoietic cell lineage:KEGG-hsa04640	1	14	126	7.14285714286	11.1111111111	0.410532956856	0.4885	1.0
B cell receptor signaling pathway:KEGG-hsa04662	1	14	100	7.14285714286	14.0	0.410532956856	0.4805	1.0
ECM-receptor interaction:KEGG-hsa04512	2	32	118	6.25	27.1186440678	0.386683931891	0.7935	1.0
Osteoclast differentiation:KEGG-hsa04380	1	15	198	6.66666666667	7.57575757576	0.338353165615	0.5125	1.0
Protein digestion and absorption:KEGG-hsa04974	1	16	98	6.25	16.3265306122	0.271141090584	0.5475	1.0
Propanoate metabolism:KEGG-hsa00640	1	17	33	5.88235294118	51.5151515152	0.208206570503	0.536	1.0
Inositol phosphate metabolism:KEGG-hsa00562	1	17	63	5.88235294118	26.9841269841	0.208206570503	0.5395	1.0
Glioma:KEGG-hsa05214	1	18	83	5.55555555556	21.686746988	0.148991072057	0.585	1.0
Vasopressin-regulated water reabsorption:KEGG-hsa04962	1	19	48	5.26315789474	39.5833333333	0.0930366869348	0.57	1.0
Fatty acid metabolism:KEGG-hsa00071	1	19	45	5.26315789474	42.2222222222	0.0930366869348	0.5885	1.0
Bile secretion:KEGG-hsa04976	1	19	75	5.26315789474	25.3333333333	0.0930366869348	0.596	1.0
RNA transport:KEGG-hsa03013	1	20	172	5.0	11.6279069767	0.0399636606883	0.6195	1.0
Phosphatidylinositol signaling system:KEGG-hsa04070	1	20	86	5.0	23.2558139535	0.0399636606883	0.614	1.0
Arginine and proline metabolism:KEGG-hsa00330	1	20	59	5.0	33.8983050847	0.0399636606883	0.6065	1.0
Valine, leucine and isoleucine degradation:KEGG-hsa00280	1	22	50	4.54545454545	44.0	-0.0587619683678	0.63	1.0
Toxoplasmosis:KEGG-hsa05145	1	23	252	4.34782608696	9.12698412698	-0.104913104749	0.6665	1.0
ErbB signaling pathway:KEGG-hsa04012	1	23	102	4.34782608696	22.5490196078	-0.104913104749	0.6585	1.0
Focal adhesion:KEGG-hsa04510	3	67	244	4.4776119403	27.4590163934	-0.131926761515	0.9705	1.0
Pyruvate metabolism:KEGG-hsa00620	1	25	42	4.0	59.5238095238	-0.191783489929	0.7035	1.0
Cardiac muscle contraction:KEGG-hsa04260	1	25	90	4.0	27.7777777778	-0.191783489929	0.6985	1.0
alpha-Linolenic acid metabolism:KEGG-hsa00592	0	1	21	0.0	4.7619047619	-0.224805770408	1.0	1.0
Selenocompound metabolism:KEGG-hsa00450	0	1	18	0.0	5.55555555556	-0.224805770408	1.0	1.0
Primary immunodeficiency:KEGG-hsa05340	0	1	79	0.0	1.26582278481	-0.224805770408	1.0	1.0
Mismatch repair:KEGG-hsa03430	0	1	30	0.0	3.33333333333	-0.224805770408	1.0	1.0
Lysine biosynthesis:KEGG-hsa00300	0	1	3	0.0	33.3333333333	-0.224805770408	1.0	1.0
Homologous recombination:KEGG-hsa03440	0	1	35	0.0	2.85714285714	-0.224805770408	1.0	1.0
Glycosphingolipid biosynthesis - lacto and neolacto series:KEGG-hsa00601	0	1	26	0.0	3.84615384615	-0.224805770408	1.0	1.0
Glycosphingolipid biosynthesis - globo series:KEGG-hsa00603	0	1	15	0.0	6.66666666667	-0.224805770408	1.0	1.0
Glycosphingolipid biosynthesis - ganglio series:KEGG-hsa00604	0	1	19	0.0	5.26315789474	-0.224805770408	1.0	1.0
Glycosaminoglycan degradation:KEGG-hsa00531	0	1	19	0.0	5.26315789474	-0.224805770408	1.0	1.0
Fatty acid biosynthesis:KEGG-hsa00061	0	1	7	0.0	14.2857142857	-0.224805770408	1.0	1.0
DNA replication:KEGG-hsa03030	0	1	42	0.0	2.38095238095	-0.224805770408	1.0	1.0
D-Glutamine and D-glutamate metabolism:KEGG-hsa00471	0	1	4	0.0	25.0	-0.224805770408	1.0	1.0
Butirosin and neomycin biosynthesis:KEGG-hsa00524	0	1	6	0.0	16.6666666667	-0.224805770408	1.0	1.0
Base excision repair:KEGG-hsa03410	0	1	36	0.0	2.77777777778	-0.224805770408	1.0	1.0
Aminoacyl-tRNA biosynthesis:KEGG-hsa00970	0	1	53	0.0	1.88679245283	-0.224805770408	1.0	1.0
GnRH signaling pathway:KEGG-hsa04912	1	27	107	3.7037037037	25.2336448598	-0.272441756932	0.72	1.0
Protein processing in endoplasmic reticulum:KEGG-hsa04141	2	51	192	3.92156862745	26.5625	-0.304612450523	0.9085	1.0
Vitamin digestion and absorption:KEGG-hsa04977	0	2	28	0.0	7.14285714286	-0.318086365253	1.0	1.0
Valine, leucine and isoleucine biosynthesis:KEGG-hsa00290	0	2	18	0.0	11.1111111111	-0.318086365253	1.0	1.0
Sulfur relay system:KEGG-hsa04122	0	2	11	0.0	18.1818181818	-0.318086365253	1.0	1.0
Sphingolipid metabolism:KEGG-hsa00600	0	2	52	0.0	3.84615384615	-0.318086365253	1.0	1.0
Retinol metabolism:KEGG-hsa00830	0	2	69	0.0	2.89855072464	-0.318086365253	1.0	1.0
Regulation of autophagy:KEGG-hsa04140	0	2	34	0.0	5.88235294118	-0.318086365253	1.0	1.0
Protein export:KEGG-hsa03060	0	2	23	0.0	8.69565217391	-0.318086365253	1.0	1.0
Primary bile acid biosynthesis:KEGG-hsa00120	0	2	17	0.0	11.7647058824	-0.318086365253	1.0	1.0
Phenylalanine, tyrosine and tryptophan biosynthesis:KEGG-hsa00400	0	2	5	0.0	40.0	-0.318086365253	1.0	1.0
Pantothenate and CoA biosynthesis:KEGG-hsa00770	0	2	19	0.0	10.5263157895	-0.318086365253	1.0	1.0
Notch signaling pathway:KEGG-hsa04330	0	2	55	0.0	3.63636363636	-0.318086365253	1.0	1.0
Intestinal immune network for IgA production:KEGG-hsa04672	0	2	126	0.0	1.5873015873	-0.318086365253	1.0	1.0
Circadian rhythm - mammal:KEGG-hsa04710	0	2	22	0.0	9.09090909091	-0.318086365253	1.0	1.0
Biosynthesis of unsaturated fatty acids:KEGG-hsa01040	0	2	6	0.0	33.3333333333	-0.318086365253	1.0	1.0
Asthma:KEGG-hsa05310	0	2	109	0.0	1.83486238532	-0.318086365253	1.0	1.0
Pathogenic Escherichia coli infection:KEGG-hsa05130	1	29	67	3.44827586207	43.2835820896	-0.347871334028	0.742	1.0
Lysosome:KEGG-hsa04142	1	29	146	3.44827586207	19.8630136986	-0.347871334028	0.7635	1.0
Long-term potentiation:KEGG-hsa04720	1	29	76	3.44827586207	38.1578947368	-0.347871334028	0.7625	1.0
Steroid hormone biosynthesis:KEGG-hsa00140	0	3	71	0.0	4.22535211268	-0.389774580181	1.0	1.0
Riboflavin metabolism:KEGG-hsa00740	0	3	12	0.0	25.0	-0.389774580181	1.0	1.0
Renin-angiotensin system:KEGG-hsa04614	0	3	17	0.0	17.6470588235	-0.389774580181	1.0	1.0
RIG-I-like receptor signaling pathway:KEGG-hsa04622	0	3	87	0.0	3.44827586207	-0.389774580181	1.0	1.0
One carbon pool by folate:KEGG-hsa00670	0	3	23	0.0	13.0434782609	-0.389774580181	1.0	1.0
Nucleotide excision repair:KEGG-hsa03420	0	3	67	0.0	4.4776119403	-0.389774580181	1.0	1.0
Non-homologous end-joining:KEGG-hsa03450	0	3	18	0.0	16.6666666667	-0.389774580181	1.0	1.0
Hedgehog signaling pathway:KEGG-hsa04340	0	3	61	0.0	4.91803278689	-0.389774580181	1.0	1.0
Drug metabolism - other enzymes:KEGG-hsa00983	0	3	60	0.0	5.0	-0.389774580181	1.0	1.0
Cyanoamino acid metabolism:KEGG-hsa00460	0	3	7	0.0	42.8571428571	-0.389774580181	1.0	1.0
ABC transporters:KEGG-hsa02010	0	3	62	0.0	4.83870967742	-0.389774580181	1.0	1.0
Oocyte meiosis:KEGG-hsa04114	1	31	115	3.22580645161	26.9565217391	-0.418841135047	0.772	1.0
Vitamin B6 metabolism:KEGG-hsa00750	0	4	6	0.0	66.6666666667	-0.450304139235	1.0	1.0
Taurine and hypotaurine metabolism:KEGG-hsa00430	0	4	11	0.0	36.3636363636	-0.450304139235	1.0	1.0
Taste transduction:KEGG-hsa04742	0	4	73	0.0	5.47945205479	-0.450304139235	1.0	1.0
Phototransduction:KEGG-hsa04744	0	4	29	0.0	13.7931034483	-0.450304139235	1.0	1.0
N-Glycan biosynthesis:KEGG-hsa00510	0	4	50	0.0	8.0	-0.450304139235	1.0	1.0
Graft-versus-host disease:KEGG-hsa05332	0	4	284	0.0	1.40845070423	-0.450304139235	1.0	1.0
Folate biosynthesis:KEGG-hsa00790	0	4	13	0.0	30.7692307692	-0.450304139235	1.0	1.0
Autoimmune thyroid disease:KEGG-hsa05320	0	4	165	0.0	2.42424242424	-0.450304139235	1.0	1.0
Allograft rejection:KEGG-hsa05330	0	4	157	0.0	2.54777070064	-0.450304139235	1.0	1.0
Pancreatic secretion:KEGG-hsa04972	1	32	107	3.125	29.9065420561	-0.452849849126	0.5145	1.0
Neurotrophin signaling pathway:KEGG-hsa04722	1	32	144	3.125	22.2222222222	-0.452849849126	0.5295	1.0
Ribosome biogenesis in eukaryotes:KEGG-hsa03008	0	5	90	0.0	5.55555555556	-0.503714245445	1.0	1.0
Glycerophospholipid metabolism:KEGG-hsa00564	0	5	100	0.0	5.0	-0.503714245445	1.0	1.0
Ether lipid metabolism:KEGG-hsa00565	0	5	38	0.0	13.1578947368	-0.503714245445	1.0	1.0
Ascorbate and aldarate metabolism:KEGG-hsa00053	0	5	32	0.0	15.625	-0.503714245445	1.0	1.0
Ribosome:KEGG-hsa03010	1	35	109	2.85714285714	32.1100917431	-0.549732603068	0.5555	1.0
Phenylalanine metabolism:KEGG-hsa00360	0	6	19	0.0	31.5789473684	-0.552075372002	1.0	1.0
Pentose and glucuronate interconversions:KEGG-hsa00040	0	6	38	0.0	15.7894736842	-0.552075372002	1.0	1.0
Fatty acid elongation in mitochondria:KEGG-hsa00062	0	6	16	0.0	37.5	-0.552075372002	1.0	1.0
Dorso-ventral axis formation:KEGG-hsa04320	0	6	34	0.0	17.6470588235	-0.552075372002	1.0	1.0
Bladder cancer:KEGG-hsa05219	0	6	52	0.0	11.5384615385	-0.552075372002	1.0	1.0
Type II diabetes mellitus:KEGG-hsa04930	0	7	63	0.0	11.1111111111	-0.5966168522	1.0	1.0
NOD-like receptor signaling pathway:KEGG-hsa04621	0	7	78	0.0	8.97435897436	-0.5966168522	1.0	1.0
Glycerolipid metabolism:KEGG-hsa00561	0	7	60	0.0	11.6666666667	-0.5966168522	1.0	1.0
Axon guidance:KEGG-hsa04360	1	37	136	2.7027027027	27.2058823529	-0.610554853717	0.547	1.0
mTOR signaling pathway:KEGG-hsa04150	0	8	62	0.0	12.9032258065	-0.638139266047	1.0	1.0
TGF-beta signaling pathway:KEGG-hsa04350	0	8	94	0.0	8.51063829787	-0.638139266047	1.0	1.0
Systemic lupus erythematosus:KEGG-hsa05322	0	8	247	0.0	3.23886639676	-0.638139266047	1.0	1.0
Nicotinate and nicotinamide metabolism:KEGG-hsa00760	0	8	27	0.0	29.6296296296	-0.638139266047	1.0	1.0
Melanoma:KEGG-hsa05218	0	8	89	0.0	8.98876404494	-0.638139266047	1.0	1.0
Adipocytokine signaling pathway:KEGG-hsa04920	0	8	92	0.0	8.69565217391	-0.638139266047	1.0	1.0
Glutamatergic synapse:KEGG-hsa04724	1	39	129	2.5641025641	30.2325581395	-0.668766557534	0.5685	1.0
Tyrosine metabolism:KEGG-hsa00350	0	9	42	0.0	21.4285714286	-0.677198425336	1.0	1.0
Spliceosome:KEGG-hsa03040	0	9	176	0.0	5.11363636364	-0.677198425336	1.0	1.0
SNARE interactions in vesicular transport:KEGG-hsa04130	0	9	38	0.0	23.6842105263	-0.677198425336	1.0	1.0
Pyrimidine metabolism:KEGG-hsa00240	0	9	111	0.0	8.10810810811	-0.677198425336	1.0	1.0
Neuroactive ligand-receptor interaction:KEGG-hsa04080	0	9	291	0.0	3.09278350515	-0.677198425336	1.0	1.0
Carbohydrate digestion and absorption:KEGG-hsa04973	0	9	53	0.0	16.9811320755	-0.677198425336	1.0	1.0
Acute myeloid leukemia:KEGG-hsa05221	0	9	72	0.0	12.5	-0.677198425336	1.0	1.0
Toll-like receptor signaling pathway:KEGG-hsa04620	0	10	131	0.0	7.63358778626	-0.714198816986	1.0	1.0
Non-small cell lung cancer:KEGG-hsa05223	0	10	75	0.0	13.3333333333	-0.714198816986	1.0	1.0
Metabolism of xenobiotics by cytochrome P450:KEGG-hsa00980	0	10	79	0.0	12.6582278481	-0.714198816986	1.0	1.0
Measles:KEGG-hsa05162	0	10	183	0.0	5.46448087432	-0.714198816986	1.0	1.0
Histidine metabolism:KEGG-hsa00340	0	10	30	0.0	33.3333333333	-0.714198816986	1.0	1.0
Galactose metabolism:KEGG-hsa00052	0	10	32	0.0	31.25	-0.714198816986	1.0	1.0
Drug metabolism - cytochrome P450:KEGG-hsa00982	0	10	84	0.0	11.9047619048	-0.714198816986	1.0	1.0
Chronic myeloid leukemia:KEGG-hsa05220	0	10	92	0.0	10.8695652174	-0.714198816986	1.0	1.0
Cell cycle:KEGG-hsa04110	0	10	140	0.0	7.14285714286	-0.714198816986	1.0	1.0
Starch and sucrose metabolism:KEGG-hsa00500	0	11	64	0.0	17.1875	-0.74944564952	0.6745	1.0
Pancreatic cancer:KEGG-hsa05212	0	11	87	0.0	12.6436781609	-0.74944564952	0.687	1.0
Glycine, serine and threonine metabolism:KEGG-hsa00260	0	11	35	0.0	31.4285714286	-0.74944564952	0.6995	1.0
Leishmaniasis:KEGG-hsa05140	0	12	167	0.0	7.18562874251	-0.783175927135	0.658	1.0
Aldosterone-regulated sodium reabsorption:KEGG-hsa04960	0	12	47	0.0	25.5319148936	-0.783175927135	0.6825	1.0
Progesterone-mediated oocyte maturation:KEGG-hsa04914	0	13	94	0.0	13.829787234	-0.815578038386	0.653	1.0
Fructose and mannose metabolism:KEGG-hsa00051	0	13	39	0.0	33.3333333333	-0.815578038386	0.6825	1.0
Apoptosis:KEGG-hsa04210	0	13	114	0.0	11.4035087719	-0.815578038386	0.644	1.0
African trypanosomiasis:KEGG-hsa05143	0	13	50	0.0	26.0	-0.815578038386	0.65	1.0
beta-Alanine metabolism:KEGG-hsa00410	0	14	28	0.0	50.0	-0.846804657089	0.6585	1.0
Fc epsilon RI signaling pathway:KEGG-hsa04664	0	14	97	0.0	14.4329896907	-0.846804657089	0.648	1.0
Calcium signaling pathway:KEGG-hsa04020	1	46	191	2.17391304348	24.0837696335	-0.855655802116	0.403	1.0
VEGF signaling pathway:KEGG-hsa04370	0	15	88	0.0	17.0454545455	-0.876981550584	0.648	1.0
Rheumatoid arthritis:KEGG-hsa05323	0	15	191	0.0	7.85340314136	-0.876981550584	0.633	1.0
Peroxisome:KEGG-hsa04146	0	15	85	0.0	17.6470588235	-0.876981550584	0.641	1.0
PPAR signaling pathway:KEGG-hsa03320	0	15	78	0.0	19.2307692308	-0.876981550584	0.646	1.0
Pentose phosphate pathway:KEGG-hsa00030	0	16	30	0.0	53.3333333333	-0.906213778306	0.6405	1.0
