GO-Elite ORA Results
File:
Table:
colors:
11/7/2023
Homo sapiens
Pvalues = true
Calculation Summary:
167 Ensembl source identifiers supplied in the input file:grey_Module.txt
167 source identifiers meeting the filter linked to a Ensembl ID.
66 genes meeting the criterion linked to a term.
1741 source identifiers in this dataset.
1741 source identifiers linked to a Ensembl ID.
762 Genes linked to a term.
The z score is based on an N of 762 and a R of 66 distinct genes in all terms.

Gene-Set Name	Number Changed	Number Measured	Number in Gene-Set	Percent Changed	Percent Present	Z Score	PermuteP	AdjustedP
Eicosanoid Synthesis:WP167	3	4	22	75.0	18.1818181818	4.72641980647	0.005	1.0
Differentiation Pathway:WP2848	2	3	49	66.6666666667	6.12244897959	3.57666075619	0.022	1.0
Type III interferon signaling:WP2113	1	1	11	100.0	9.09090909091	3.24737656354	0.096	1.0
Triacylglyceride Synthesis:WP325	1	1	22	100.0	4.54545454545	3.24737656354	0.095	1.0
SRF and miRs in Smooth Muscle Differentiation and Proliferation:WP1991	1	1	17	100.0	5.88235294118	3.24737656354	0.0945	1.0
Effects of Nitric Oxide:WP1995	1	1	9	100.0	11.1111111111	3.24737656354	0.0885	1.0
Folate-Alcohol and Cancer Pathway:WP1589	2	4	8	50.0	50.0	2.94524676367	0.05	1.0
Vitamin B12 Metabolism:WP1533	3	8	55	37.5	14.5454545455	2.91342568791	0.0295	1.0
Type II interferon signaling (IFNG):WP619	2	5	35	40.0	14.2857142857	2.49796946729	0.074	1.0
PPAR Alpha Pathway:WP2878	2	6	26	33.3333333333	23.0769230769	2.15569997911	0.109	1.0
Synthesis and Degradation of Ketone Bodies:WP311	1	2	5	50.0	40.0	2.07986188531	0.1735	1.0
GPCRs, Other:WP117	1	2	96	50.0	2.08333333333	2.07986188531	0.1845	1.0
Apoptosis Modulation and Signaling:WP1772	1	2	16	50.0	12.5	2.07986188531	0.1785	1.0
Cytoplasmic Ribosomal Proteins:WP477	5	26	97	19.2307692308	26.8041237113	1.94834937705	0.086	1.0
Selenium Micronutrient Network:WP15	4	19	87	21.0526315789	21.8390804598	1.94342136198	0.1025	1.0
TGF Beta Signaling Pathway:WP560	2	7	55	28.5714285714	12.7272727273	1.88025937058	0.154	1.0
