Ensembl	symbol	GeneOntology
ENSG00000070831	CDC42	GO:0097485
ENSG00000172020	GAP43	GO:0097485
ENSG00000067560	RHOA	GO:0097485
ENSG00000174775	HRAS	GO:0097485
ENSG00000136238	RAC1	GO:0097485
ENSG00000105357	MYH14	GO:0097485
ENSG00000197694	SPTAN1	GO:0097485
ENSG00000108797	CNTNAP1	GO:0097485
ENSG00000180370	PAK2	GO:0097485
ENSG00000173898	SPTBN2	GO:0097485
ENSG00000092964	DPYSL2	GO:0097485
ENSG00000177105	RHOG	GO:0097485
ENSG00000100345	MYH9	GO:0097485
ENSG00000012223	LTF	GO:0030295
ENSG00000180370	PAK2	GO:0030295
ENSG00000180370	PAK2	GO:0030296
ENSG00000172020	GAP43	GO:0008038
ENSG00000223572	CKMT1A	GO:0006575
ENSG00000068120	COASY	GO:0006575
ENSG00000169710	FASN	GO:0006575
ENSG00000006625	GGCT	GO:0006575
ENSG00000164687	FABP5	GO:0006576
ENSG00000116649	SRM	GO:0006576
ENSG00000095321	CRAT	GO:0006577
ENSG00000012223	LTF	GO:0043903
ENSG00000085563	ABCB1	GO:0030554
ENSG00000253729	PRKDC	GO:0030554
ENSG00000065833	ME1	GO:0030554
ENSG00000138175	ARL3	GO:0030554
ENSG00000105357	MYH14	GO:0030554
ENSG00000156976	EIF4A2	GO:0030554
ENSG00000196586	MYO6	GO:0030554
ENSG00000183207	RUVBL2	GO:0030554
ENSG00000163344	PMVK	GO:0030554
ENSG00000164076	CAMKV	GO:0030554
ENSG00000152556	PFKM	GO:0030554
ENSG00000223572	CKMT1A	GO:0030554
ENSG00000068120	COASY	GO:0030554
ENSG00000198563	DDX39B	GO:0030554
ENSG00000180370	PAK2	GO:0030554
ENSG00000153187	HNRNPU	GO:0030554
ENSG00000215301	DDX3X	GO:0030554
ENSG00000151914	DST	GO:0030554
ENSG00000054793	ATP9A	GO:0030554
ENSG00000100345	MYH9	GO:0030554
ENSG00000100220	RTCB	GO:0030554
ENSG00000069345	DNAJA2	GO:0030554
ENSG00000070831	CDC42	GO:0051783
ENSG00000121691	CAT	GO:0051781
ENSG00000070831	CDC42	GO:0051781
ENSG00000067560	RHOA	GO:0051781
ENSG00000068120	COASY	GO:0004140
ENSG00000160789	LMNA	GO:0090342
ENSG00000136238	RAC1	GO:0060263
ENSG00000121691	CAT	GO:0020027
ENSG00000106211	HSPB1	GO:0005080
ENSG00000096696	DSP	GO:0005080
ENSG00000131981	LGALS3	GO:0050670
ENSG00000198805	PNP	GO:0050670
ENSG00000116649	SRM	GO:0006596
ENSG00000116649	SRM	GO:0006595
ENSG00000128989	ARPP19	GO:0010906
ENSG00000128989	ARPP19	GO:0010907
ENSG00000143546	S100A8	GO:0050786
ENSG00000143556	S100A7	GO:0050786
ENSG00000163220	S100A9	GO:0050786
ENSG00000137486	ARRB1	GO:0005488
ENSG00000197958	RPL12	GO:0005488
ENSG00000180817	PPA1	GO:0005488
ENSG00000087258	GNAO1	GO:0005488
ENSG00000085563	ABCB1	GO:0005488
ENSG00000122958	VPS26A	GO:0005488
ENSG00000109107	ALDOC	GO:0005488
ENSG00000164733	CTSB	GO:0005488
ENSG00000175793	SFN	GO:0005488
ENSG00000278535	DHRS11	GO:0005488
ENSG00000175390	EIF3F	GO:0005488
ENSG00000117984	CTSD	GO:0005488
ENSG00000277586	NEFL	GO:0005488
ENSG00000121691	CAT	GO:0005488
ENSG00000157020	SEC13	GO:0005488
ENSG00000078369	GNB1	GO:0005488
ENSG00000134001	EIF2S1	GO:0005488
ENSG00000115306	SPTBN1	GO:0005488
ENSG00000107581	EIF3A	GO:0005488
ENSG00000106211	HSPB1	GO:0005488
ENSG00000178952	TUFM	GO:0005488
ENSG00000100938	GMPR2	GO:0005488
ENSG00000134419	RPS15A	GO:0005488
ENSG00000157500	APPL1	GO:0005488
ENSG00000100129	EIF3L	GO:0005488
ENSG00000178209	PLEC	GO:0005488
ENSG00000164687	FABP5	GO:0005488
ENSG00000145425	RPS3A	GO:0005488
ENSG00000089157	RPLP0	GO:0005488
ENSG00000100804	PSMB5	GO:0005488
ENSG00000147403	RPL10	GO:0005488
ENSG00000070831	CDC42	GO:0005488
ENSG00000136068	FLNB	GO:0005488
ENSG00000159763	PIP	GO:0005488
ENSG00000136810	TXN	GO:0005488
ENSG00000084733	RAB10	GO:0005488
ENSG00000119396	RAB14	GO:0005488
ENSG00000172020	GAP43	GO:0005488
ENSG00000133835	HSD17B4	GO:0005488
ENSG00000140416	TPM1	GO:0005488
ENSG00000253729	PRKDC	GO:0005488
ENSG00000080371	RAB21	GO:0005488
ENSG00000197157	SND1	GO:0005488
ENSG00000069275	NUCKS1	GO:0005488
ENSG00000134765	DSC1	GO:0005488
ENSG00000134760	DSG1	GO:0005488
ENSG00000167526	RPL13	GO:0005488
ENSG00000137154	RPS6	GO:0005488
ENSG00000108774	RAB5C	GO:0005488
ENSG00000197043	ANXA6	GO:0005488
ENSG00000007402	CACNA2D2	GO:0005488
ENSG00000169862	CTNND2	GO:0005488
ENSG00000072506	HSD17B10	GO:0005488
ENSG00000143546	S100A8	GO:0005488
ENSG00000126524	SBDS	GO:0005488
ENSG00000049239	H6PD	GO:0005488
ENSG00000143549	TPM3	GO:0005488
ENSG00000103811	CTSH	GO:0005488
ENSG00000060971	ACAA1	GO:0005488
ENSG00000143556	S100A7	GO:0005488
