Ensembl	symbol	GeneOntology
ENSG00000170606	HSPA4	GO:0032502
ENSG00000197045	GMFB	GO:0032502
ENSG00000120694	HSPH1	GO:0032502
ENSG00000111669	TPI1	GO:0032502
ENSG00000164022	AIMP1	GO:0032502
ENSG00000160211	G6PD	GO:0032502
ENSG00000124767	GLO1	GO:0032502
ENSG00000102144	PGK1	GO:0032502
ENSG00000011052	NME2	GO:0032502
ENSG00000168092	PAFAH1B2	GO:0032502
ENSG00000109971	HSPA8	GO:0032502
ENSG00000140945	CDH13	GO:0032502
ENSG00000116918	TSNAX	GO:0032502
ENSG00000108518	PFN1	GO:0032502
ENSG00000159251	ACTC1	GO:0032502
ENSG00000091844	RGS17	GO:0038032
ENSG00000197045	GMFB	GO:0032501
ENSG00000111669	TPI1	GO:0032501
ENSG00000160211	G6PD	GO:0032501
ENSG00000108306	FBXL20	GO:0032501
ENSG00000116918	TSNAX	GO:0032501
ENSG00000108518	PFN1	GO:0032501
ENSG00000159251	ACTC1	GO:0032501
ENSG00000124299	PEPD	GO:0032501
ENSG00000149925	ALDOA	GO:0032501
ENSG00000175792	RUVBL1	GO:0008094
ENSG00000175792	RUVBL1	GO:0032508
ENSG00000162736	NCSTN	GO:0070486
ENSG00000185651	UBE2L3	GO:0032870
ENSG00000120053	GOT1	GO:0032870
ENSG00000113552	GNPDA1	GO:0007338
ENSG00000162736	NCSTN	GO:0016485
ENSG00000141522	ARHGDIA	GO:0032879
ENSG00000148834	GSTO1	GO:0032879
ENSG00000135932	CAB39	GO:0032879
ENSG00000140945	CDH13	GO:0032879
ENSG00000203879	GDI1	GO:0032879
ENSG00000108518	PFN1	GO:0032879
ENSG00000162734	PEA15	GO:0032879
ENSG00000170606	HSPA4	GO:0044743
ENSG00000106605	BLVRA	GO:0044270
ENSG00000198242	RPL23A	GO:0044270
ENSG00000109971	HSPA8	GO:0044270
ENSG00000159251	ACTC1	GO:0044270
ENSG00000104388	RAB2A	GO:0044270
ENSG00000140945	CDH13	GO:0071813
ENSG00000108518	PFN1	GO:0071363
ENSG00000140945	CDH13	GO:0071814
ENSG00000166228	PCBD1	GO:0016714
ENSG00000011052	NME2	GO:0070542
ENSG00000140945	CDH13	GO:0001954
ENSG00000140945	CDH13	GO:0001952
ENSG00000120053	GOT1	GO:0070546
ENSG00000198242	RPL23A	GO:0000956
ENSG00000168092	PAFAH1B2	GO:0080134
ENSG00000168092	PAFAH1B2	GO:0080135
ENSG00000149925	ALDOA	GO:0015629
ENSG00000120053	GOT1	GO:0031406
ENSG00000185651	UBE2L3	GO:0071383
ENSG00000185651	UBE2L3	GO:0071385
ENSG00000185651	UBE2L3	GO:0071384
ENSG00000162736	NCSTN	GO:0042110
ENSG00000113558	SKP1	GO:0051439
ENSG00000113558	SKP1	GO:0051438
ENSG00000113558	SKP1	GO:0051437
ENSG00000198242	RPL23A	GO:0032984
ENSG00000109971	HSPA8	GO:0032984
ENSG00000108518	PFN1	GO:0030833
ENSG00000108518	PFN1	GO:0030837
ENSG00000108518	PFN1	GO:0030838
ENSG00000108518	PFN1	GO:0002576
ENSG00000149925	ALDOA	GO:0002576
ENSG00000170606	HSPA4	GO:0032989
ENSG00000120694	HSPH1	GO:0032989
ENSG00000109971	HSPA8	GO:0032989
ENSG00000113558	SKP1	GO:0071704
ENSG00000197045	GMFB	GO:0071704
ENSG00000185651	UBE2L3	GO:0071704
ENSG00000100380	ST13	GO:0071704
ENSG00000160752	FDPS	GO:0071704
ENSG00000113552	GNPDA1	GO:0071704
ENSG00000014641	MDH1	GO:0071704
ENSG00000120694	HSPH1	GO:0071704
ENSG00000136193	SCRN1	GO:0071704
ENSG00000141279	NPEPPS	GO:0071704
ENSG00000196290	NIF3L1	GO:0071704
ENSG00000100442	FKBP3	GO:0071704
ENSG00000138385	SSB	GO:0071704
ENSG00000111669	TPI1	GO:0071704
ENSG00000133731	IMPA1	GO:0071704
ENSG00000143727	ACP1	GO:0071704
ENSG00000164022	AIMP1	GO:0071704
ENSG00000184207	PGP	GO:0071704
ENSG00000130988	RGN	GO:0071704
ENSG00000160211	G6PD	GO:0071704
ENSG00000148834	GSTO1	GO:0071704
ENSG00000099810	MTAP	GO:0071704
ENSG00000106605	BLVRA	GO:0071704
ENSG00000124767	GLO1	GO:0071704
ENSG00000084623	EIF3I	GO:0071704
ENSG00000198242	RPL23A	GO:0071704
ENSG00000102144	PGK1	GO:0071704
ENSG00000120053	GOT1	GO:0071704
