GO-Elite ORA Results
File:
Table:
colors:
11/7/2023
Homo sapiens
Pvalues = true
Calculation Summary:
200 Ensembl source identifiers supplied in the input file:blue_Module.txt
200 source identifiers meeting the filter linked to a Ensembl ID.
97 genes meeting the criterion linked to a term.
1741 source identifiers in this dataset.
1741 source identifiers linked to a Ensembl ID.
762 Genes linked to a term.
The z score is based on an N of 762 and a R of 97 distinct genes in all terms.

Gene-Set Name	Number Changed	Number Measured	Number in Gene-Set	Percent Changed	Percent Present	Z Score	PermuteP	AdjustedP
Nucleotide Metabolism:WP404	1	4	19	25.0	21.0526315789	0.737738829475	0.388	1.0
NOD pathway:WP1433	1	4	42	25.0	9.52380952381	0.737738829475	0.3915	1.0
Estrogen signaling pathway:WP712	1	4	26	25.0	15.3846153846	0.737738829475	0.3995	1.0
Androgen receptor signaling pathway:WP138	3	16	91	18.75	17.5824175824	0.729730155442	0.554	1.0
TGF beta Signaling Pathway:WP366	4	23	136	17.3913043478	16.9117647059	0.680662082187	0.4555	1.0
G Protein Signaling Pathways:WP35	5	31	94	16.1290322581	32.9787234043	0.579390871525	0.558	1.0
Tryptophan metabolism:WP465	2	11	45	18.1818181818	24.4444444444	0.546129363379	0.353	1.0
IL-3 Signaling Pathway:WP286	2	11	49	18.1818181818	22.4489795918	0.546129363379	0.3805	1.0
MAPK Signaling Pathway:WP382	5	32	170	15.625	18.8235294118	0.501722896036	0.7775	1.0
Urea cycle and metabolism of amino groups:WP497	1	5	21	20.0	23.8095238095	0.489037841316	0.446	1.0
Serotonin Receptor 2 and ELK-SRF/GATA4 signaling:WP732	1	5	19	20.0	26.3157894737	0.489037841316	0.472	1.0
PDGF Pathway:WP2526	1	5	9	20.0	55.5555555556	0.489037841316	0.464	1.0
Nicotine Activity on Dopaminergic Neurons:WP1602	1	5	21	20.0	23.8095238095	0.489037841316	0.4995	1.0
FSH signaling pathway:WP2035	1	5	27	20.0	18.5185185185	0.489037841316	0.456	1.0
Extracellular vesicle-mediated signaling in recipient cells:WP2870	1	5	28	20.0	17.8571428571	0.489037841316	0.454	1.0
Bladder Cancer:WP2828	1	5	33	20.0	15.1515151515	0.489037841316	0.463	1.0
SREBP signalling:WP1982	2	12	68	16.6666666667	17.6470588235	0.412170480599	0.7805	1.0
IL-2 Signaling Pathway:WP49	2	12	43	16.6666666667	27.9069767442	0.412170480599	0.772	1.0
Selenium Micronutrient Network:WP15	3	19	87	15.7894736842	21.8390804598	0.404974947203	0.635	1.0
PPAR Alpha Pathway:WP2878	1	6	26	16.6666666667	23.0769230769	0.290289696126	0.5145	1.0
Notch Signaling Pathway:WP61	1	6	58	16.6666666667	10.3448275862	0.290289696126	0.518	1.0
Neural Crest Differentiation:WP2064	1	6	102	16.6666666667	5.88235294118	0.290289696126	0.5225	1.0
Oncostatin M Signaling Pathway:WP2374	2	13	64	15.3846153846	20.3125	0.289493490089	0.772	1.0
Interleukin-11 Signaling Pathway:WP2332	2	13	44	15.3846153846	29.5454545455	0.289493490089	0.7995	1.0
G13 Signaling Pathway:WP524	2	13	40	15.3846153846	32.5	0.289493490089	0.7935	1.0
Signaling of Hepatocyte Growth Factor Receptor:WP313	2	14	36	14.2857142857	38.8888888889	0.176193105322	0.816	1.0
Alpha 6 Beta 4 signaling pathway:WP244	2	14	33	14.2857142857	42.4242424242	0.176193105322	0.821	1.0
RANKL/RANK Signaling Pathway:WP2018	1	7	55	14.2857142857	12.7272727273	0.124008437417	0.5875	1.0
Prostaglandin Synthesis and Regulation:WP98	1	7	30	14.2857142857	23.3333333333	0.124008437417	0.5695	1.0
IL-9 Signaling Pathway:WP22	1	7	18	14.2857142857	38.8888888889	0.124008437417	0.578	1.0
IL-7 Signaling Pathway:WP205	1	7	25	14.2857142857	28.0	0.124008437417	0.582	1.0
IL-4 Signaling Pathway:WP395	1	7	55	14.2857142857	12.7272727273	0.124008437417	0.576	1.0
Glial Cell Differentiation:WP2276	1	7	8	14.2857142857	87.5	0.124008437417	0.5795	1.0
Folate Metabolism:WP176	1	7	35	14.2857142857	20.0	0.124008437417	0.577	1.0
Amyotrophic lateral sclerosis (ALS):WP2447	1	7	32	14.2857142857	21.875	0.124008437417	0.576	1.0
Kit receptor signaling pathway:WP304	2	15	61	13.3333333333	24.5901639344	0.070800903351	0.831	1.0
Fatty Acid Beta Oxidation:WP143	2	15	33	13.3333333333	45.4545454545	0.070800903351	0.845	1.0
Mitochondrial LC-Fatty Acid Beta-Oxidation:WP368	1	8	18	12.5	44.4444444444	-0.019579112772	0.6205	1.0
MicroRNAs in cardiomyocyte hypertrophy:WP1544	2	16	103	12.5	15.5339805825	-0.0278371176463	0.8575	1.0
BCL-XL prevents the binding of truncated BID to BAX. This is prevented by BAD. BAD can displace tBID from BCL-XL.   :WP231	2	16	92	12.5	17.3913043478	-0.0278371176463	0.8615	1.0
Primary Focal Segmental Glomerulosclerosis FSGS:WP2572	3	25	73	12.0	34.2465753425	-0.111226095154	0.9525	1.0
B Cell Receptor Signaling Pathway:WP23	2	17	99	11.7647058824	17.1717171717	-0.120643257343	0.8725	1.0
