,A2M,AAK1,AARS,AASDHPPT,ABI2,ACAN,ACAT2,ACLY,ACOT7,ACTN4,ACTR3B,ADAM10,ADAM11,ADAP1,ADCY1,ADD2,ADD3,ADGRL3,ADRBK1,ADSS,AGRN,AGT,AHSA1,ALDH1A1,ALDH1L1,ALDH2,ALDH4A1,ALDH7A1,AMPH,ANK2,ANK3,ANXA3,AP1B1,AP1G1,AP2A1,AP2A2,AP2B1,AP2M1,AP3B2,AP3D1,AP3M2,APBA1,APPL1,AQP4,ARF1,ARF5,ARHGAP35,ARHGDIA,ARHGEF12,ARHGEF2,ARHGEF7,ARMT1,ATCAY,ATG7,ATL1,ATP2B1,ATP2B2,ATP2B3,ATP2B4,ATRN,BAG3,BAG6,BAIAP2,BASP1,BDH2,BSN,C11orf68,C14orf166,C16orf13,C3,CA4,CADM3,CADM4,CADPS,CAMK1D,CAMK4,CAMSAP3,CAP2,CARS,CASKIN1,CCDC6,CCNY,CCT2,CCT5,CCT7,CCT8,CD200,CD47,CDC37,CDC42BPB,CDK5,CFL1,CHMP4B,CHORDC1,CKAP5,CLASP2,CLIP2,CLTB,CMPK1,CNDP2,CNRIP1,CNTFR,COPS2,COPS4,COPS5,COPS6,COPS7A,CORO1A,CORO1C,CORO2B,COTL1,CPLX1,CPLX2,CPM,CPNE4,CPNE5,CPPED1,CRKL,CRMP1,CRYAB,CRYM,CRYZ,CTBP1,CTSB,CUL1,CUL2,CUL3,CUL5,CXADR,CYFIP2,DBN1,DBNL,DCLK1,DCTN1,DCTN2,DCTN3,DCUN1D1,DDAH1,DDHD2,DDX1,DENR,DIRAS2,DKK3,DLG1,DLG2,DLG3,DLG4,DMTN,DMXL2,DNAJB1,DNAJB2,DNAJC5,DNAJC6,DNM1,DNM1L,DNM3,DPP10,DPP6,DPYSL4,DSTN,DUSP3,DYNC1H1,DYNC1I1,DYNC1LI1,ECH1,EEF1A2,EFR3B,EHD3,EIF5A,EML2,ENPP6,EPB41L1,EPB41L3,EPHA4,EPHB2,EPN1,EPS15,EPS15L1,ESD,ESYT1,ETFB,FAM126B,FAM49A,FAM49B,FARP1,FASN,FH,FIBP,FKBP4,FLNB,FRRS1L,FSCN1,FSD1,FTH1,FYN,GABBR1,GABBR2,GAP43,GAS7,GDA,GGT7,GIT1,GLUD1,GMPR2,GMPS,GNAI1,GNAO1,GNAZ,GNB1,GNB2,GNB5,GNG2,GNG7,GNL1,GOT2,GPD1L,GPI,GPM6A,GPR158,GPRIN1,GPS1,GPX1,GRB2,GRHPR,GRM2,GRM3,GSK3A,GSPT1,GSTP1,GUCY1B3,HBD,HDGF,HGS,HINT1,HMOX2,HNRNPC,HOMER1,HPCA,HPCAL1,HPCAL4,HPRT1,HPX,HRAS,HSP90AB1,HSPA12A,HSPA1B,HSPA2,HSPA4L,HSPB1,HSPH1,HTT,ICAM5,IGSF8,ILF2,ILF3,IPO5,IQSEC1,IRGQ,IST1,ITGA1,JAM3,KCTD16,KIAA0513,KIAA1045,KIAA1107,KIAA1468,KIAA1598,KIF1A,KIF21A,KIF2A,KIF5C,KLC1,KPNA4,KPNB1,LAMA2,LAMB2,LAMC1,LANCL2,LASP1,LCMT1,LCP1,LGALS3BP,LHPP,LMNA,LRRC16A,LRRC40,LRRC47,LRRC57,LRSAM1,LZTFL1,MACROD2,MADD,MAGI2,MAP1S,MAP2K1,MAP2K4,MAP4,MAPK10,MAPK8IP3,MAPRE2,MAPRE3,MARK1,MCAM,MCTS1,MDH2,ME1,MGLL,MROH1,MTAP,MTMR1,MTPN,MVP,NANS,NAPA,NAPB,NAPG,NCALD,NCK2,NCOA7,NCS1,NDEL1,NDRG3,NECAB1,NECAB2,NECAP1,NEO1,NFASC,NID1,NISCH,NIT1,NPTN,NRN1,NSF,NSFL1C,NTNG2,NUDC,NUDCD3,NUDT5,OLA1,OPCML,OSBP,OTUB1,OXR1,PA2G4,PACS1,PACSIN1,PAFAH1B1,PAK1,PAK3,PALM,PALM2,PARK7,PCBD1,PCDH1,PCLO,PCMT1,PCYT2,PDCD6IP,PDE1A,PDE2A,PDXK,PDXP,PFDN2,PFKL,PFKP,PFN2,PGAM1,PGLS,PGM2,PGM2L1,PHACTR1,PHGDH,PHYHIP,PHYHIPL,PI4KA,PIN1,PIP4K2B,PIP4K2C,PIP5K1C,PLCB1,PLEC,PLXNA1,PLXNA4,PLXNC1,PNPO,PPA2,PPFIA3,PPIA,PPM1H,PPME1,PPP1CB,PPP1R21,PPP1R7,PPP2CB,PPP2R1A,PPP2R2A,PPP2R4,PPP2R5D,PPP2R5E,PPP3CA,PPP3CB,PPP3R1,PPP5C,PREP,PREX2,PRKACB,PRKAR2A,PRKAR2B,PRKCB,PRKCE,PRKCG,PRRT3,PSAP,PSAT1,PSD3,PSMC1,PSMC2,PSMC5,PSMC6,PSMD11,PSMD2,PSME1,PTPN11,PTPRD,PTPRJ,PTPRS,PVRL1,QPRT,RAB12,RAB14,RAB1A,RAB1B,RAB27B,RAB2A,RAB31,RAB35,RAB3A,RAB3C,RAB4B,RAB5B,RAB6A,RABEP1,RABGAP1,RABGGTA,RALB,RANBP1,RAP1GAP,RAP1GAP2,RAP1GDS1,RASAL1,REEP5,RFTN2,RGS17,RGS7,RGS7BP,RHOB,RHOG,ROCK2,RPH3A,RTN4,RUFY3,S100B,SBDS,SBF1,SCAI,SCAMP1,SCN2A,SCN2B,SELENBP1,Sep.11,Sep.03,Sep.05,Sep.06,Sep.07,Sep.08,SERPINB1,SFN,SGIP1,SGTA,SGTB,SH3BGRL,SH3GL1,SH3GL2,SH3GL3,SH3GLB2,SLC12A2,SLC2A3,SLC44A1,SLC4A4,SLC8A1,SLC8A2,SLC9A1,SMPD3,SNAP25,SNAP91,SNCA,SNX1,SNX4,SOGA3,SORBS1,SRCIN1,SRGAP3,STAM,STMN1,STOM,STRAP,STX12,STX1A,STX1B,STX7,STXBP1,STXBP5,STXBP5L,SUGT1,SULT4A1,SYN1,SYN2,SYN3,SYNJ1,SYT1,SYT3,SYT7,TBC1D24,TBCB,TBCD,TBCE,TCEB1,TCEB2,TIPRL,TLN2,TNPO2,TOLLIP,TOM1,TOM1L2,TPBG,TPT1,TRIM2,TSG101,TSN,TSPAN7,TTC7B,TTYH3,TUBA1B,TUBA4A,TUBB,TUBB2A,TUBB3,TUBB4A,TUBB4B,TWF2,UBA1,UBE2O,UBQLN1,UBXN6,UCHL1,USO1,USP14,USP15,USP5,USP7,VAMP2,VAPA,VAPB,VBP1,VCAN,VPS25,VPS26B,VPS29,VPS35,VTA1,WASF1,WDR37,WDR47,WDR48,WDR7,YARS,YES1,YKT6,YWHAB,YWHAE,YWHAG,YWHAH,YWHAQ,YWHAZ,Sum
riBAQ.17,6.08E-05,2.31E-05,3.14E-05,3.69E-05,0.00011337,0.000880634,0.000151978,3.90E-05,0.000399133,0.000213936,5.07E-05,4.47E-05,2.29E-05,0,1.50E-05,0.00016992,0.000218474,0,7.97E-06,2.33E-05,8.56E-06,0,3.65E-05,0.000161569,0.000103281,0.000406227,0.000151406,0.000372299,0.000500763,0.000147933,4.02E-06,0.000137317,3.35E-05,2.15E-05,0.000292728,0.000162993,0.000444509,0.000260421,1.83E-05,1.62E-05,0,0,3.47E-05,0.001507758,0.002665548,0.000150549,0,0.001337454,3.79E-06,0,0,2.74E-05,0,1.82E-05,6.16E-05,0.000343361,0.000616582,0.00019531,0.000772648,6.01E-06,1.71E-05,0,7.01E-05,0.029634933,8.14E-05,1.18E-05,2.10E-05,0,2.50E-05,2.48E-05,0.000308774,0.001285727,0.000225824,4.15E-05,0,0,0,7.32E-05,4.65E-05,0,0,8.01E-05,7.31E-05,9.60E-05,1.00E-04,9.80E-05,0.000705108,0.0025015,0.000122907,5.82E-06,6.74E-05,0.005312573,0.000109793,0,7.78E-06,9.34E-06,1.64E-05,0.000376787,0.000119193,0.000264461,0.000617468,0.00050234,7.63E-05,4.75E-05,6.97E-05,0.000107764,2.60E-05,0.000238455,4.24E-05,9.10E-05,0.0005752,0.000539139,0.002243803,2.79E-05,4.31E-05,0.00028028,2.75E-05,7.37E-05,0.000802945,0.001549533,0.00110966,0.000118538,9.52E-05,0.000142263,1.76E-05,1.18E-05,5.92E-05,2.10E-05,6.89E-05,0.000191073,4.19E-05,3.40E-05,6.67E-05,3.39E-05,0.000101596,4.77E-05,0,0.002261834,0,0,0,0,0,5.56E-05,6.42E-05,2.40E-05,7.05E-05,0,2.84E-06,0,0,0.002384303,2.96E-05,0.0004033,0.000184566,4.02E-05,0.000215459,0.000819892,0.000157215,0.000308478,0,6.47E-05,1.83E-05,0,3.26E-05,0.000145234,0,0.000232346,0.000250909,1.07E-05,0.000624858,5.60E-05,0.000193201,6.90E-05,0,7.47E-05,0,2.45E-05,0.000600669,1.12E-05,0.000115577,0,1.96E-05,0.000213104,6.86E-05,4.40E-05,0.000462451,0,0.000102374,6.86E-06,2.62E-05,0.000557367,0,0.007022508,2.10E-05,1.63E-05,3.87E-05,0.018668884,8.18E-05,0.00075846,1.96E-05,1.65E-05,0.00046488,8.03E-05,1.89E-05,0.001274101,0.02473371,0.00013847,0.019497989,0.001450858,0.000361968,0.006573717,0.00536627,0,0.000365101,0.000108774,0.002102171,0.024037125,2.29E-05,1.52E-05,4.62E-05,0.000119691,0.000122991,0.000280555,7.48E-05,0.000118917,2.49E-05,0,0.001072663,0,0.000610424,0,4.23E-05,0.001100398,0,9.74E-05,4.84E-05,0.000123208,0.000891817,0.000169954,0.001403073,4.79E-05,0.001053696,0.000238923,0.000118947,0.001217103,0.000110542,7.41E-05,0.00066417,0.000320715,0,3.66E-05,0.00137918,3.38E-05,1.68E-05,5.53E-05,0,1.22E-05,0.000187275,2.36E-05,7.18E-05,5.69E-05,8.52E-05,4.69E-05,0,0,0,4.18E-06,1.15E-05,1.63E-05,4.04E-05,2.61E-05,1.28E-05,6.71E-05,1.47E-05,7.99E-05,7.01E-05,0.000147643,9.55E-05,0,1.84E-05,0.000108316,0.000178634,0,9.21E-06,0,1.16E-05,0.000295551,7.12E-06,0,0,0,4.45E-06,0,0.000131795,3.22E-05,1.52E-05,0,0,0.00020704,0.000231455,0,1.76E-05,7.74E-05,0.00137381,0.000115947,6.30E-05,0,2.09E-05,0,0.000829942,5.46E-05,0,0.000378787,0.001186905,0.000351923,0.000746637,0,0,0.000331179,0,0.000163648,0,4.40E-05,0,7.36E-06,0.000176516,3.46E-05,0,0,0.001124045,0.000984087,0.00055579,3.76E-05,0,3.90E-05,0,8.03E-05,0.000128036,0.002284938,0,0.000210454,0.000174575,2.45E-05,1.81E-05,0.001781071,0.000123011,0.000288162,4.73E-05,0.000450337,0,0.001824177,0.000123085,3.52E-05,2.15E-06,0.000636336,2.00E-05,0.000175201,2.11E-05,2.15E-05,0.000260535,0.000152131,6.05E-05,7.41E-05,0.000229085,0.000443169,0.001956499,0.000122055,2.74E-05,0.000138021,0,0.000328193,9.44E-05,0.000155136,1.90E-05,0.000125671,3.71E-05,1.86E-05,7.47E-06,0.000305788,6.47E-05,0.000177417,8.71E-05,0,0.000200138,2.55E-05,6.47E-06,0.005877625,4.32E-05,0,0.000242509,0,0.000288536,0.000163225,0.000286167,6.85E-05,5.52E-05,0,3.71E-05,0.000866495,6.44E-05,0.001456918,0.000111503,8.24E-05,0,0.000212178,0.000188748,0.000173314,1.30E-05,0,2.58E-05,1.58E-05,0.000821222,0.000679639,7.98E-05,1.09E-05,2.29E-05,2.43E-05,1.95E-05,2.43E-05,3.91E-05,0.000205956,0.000125814,2.80E-05,0,1.26E-05,0.000103631,0,2.45E-05,0.000640819,0.001675943,0.000155052,9.82E-05,0.000859056,0.000149323,0.0002689,0.001665401,0.000274378,8.93E-05,0.000563919,0.000892753,0,0,0,0.0001013,0,0,0,4.46E-05,1.13E-05,0.000449869,0.000122863,0.000110542,0.000141071,3.71E-05,0.001484161,0.000592984,1.76E-05,7.36E-05,9.96E-05,4.74E-05,0.008757074,3.00E-05,6.65E-06,1.23E-05,0,1.45E-05,0.000336016,0.000313818,0.001104487,0.000207611,0.000890339,0.000134401,0.001635744,0.000433484,3.83E-05,0,3.08E-05,0,0,0.00048425,5.47E-05,0.001000147,6.74E-05,8.01E-05,9.16E-06,0.000729149,0.000197423,0.000401606,4.26E-05,0.000233327,2.73E-05,1.43E-05,0.009669926,0.000560421,0.003586873,1.81E-05,0,2.06E-05,5.18E-06,0,6.79E-06,3.08E-05,0.00158249,0.000619685,6.49E-05,0.000212818,0.004712543,0.007244193,0.00015083,0.006551056,1.61E-05,7.61E-06,2.29E-05,0.000101414,0.001682742,0.000853391,2.54E-05,0.000128415,0.006739735,8.90E-06,0.000138613,5.25E-05,0,0,0,0.000119139,0,0.000114414,1.91E-05,0,0.000169161,3.22E-05,6.87E-05,4.21E-05,0.000868564,8.24E-05,2.56E-05,0.000126055,0.00132435,1.20E-05,0.000106064,0.008936393,0.000426331,0.000389024,0.001837183,0.000897137,0.001231735,0.009123102,6.44E-05,0.000253401,2.84E-05,0,3.40E-05,0.005434746,1.40E-05,7.71E-05,0,3.93E-05,1.02E-05,0.006163353,0.000146263,0.000193522,4.26E-05,0.003863783,3.18E-05,4.84E-05,0.00019031,0.000123799,0,0.000131125,6.72E-05,6.38E-06,2.34E-05,0,6.22E-05,6.95E-05,0.000146672,0.000396339,0.003955807,0.000958273,0.000361131,0.000275846,0.002836492,3.64E-01
riBAQ.18,8.62E-06,7.45E-05,9.16E-05,5.02E-05,0.000167586,0.000500637,0.000183487,8.81E-05,0.000467112,0.000153184,6.31E-05,3.93E-05,3.61E-05,3.10E-05,1.24E-05,0.000318215,0.000152318,4.22E-06,1.43E-05,7.61E-05,0,0,0.000102722,0.00013558,7.98E-05,0.000133764,5.47E-05,0.000225155,0.000683885,0.000224401,7.79E-06,8.71E-05,6.32E-05,4.58E-05,0.000513973,0.000309435,0.000847471,0.000528623,5.40E-05,4.65E-05,5.27E-05,9.25E-06,2.95E-05,0.001622226,0.002450179,0.000126697,5.58E-06,0.001908999,5.20E-06,8.51E-06,2.55E-05,4.62E-05,7.94E-05,2.05E-05,0.000248332,0.000334457,0.000529547,0.000160826,0.000799432,6.42E-06,1.74E-05,1.46E-05,9.66E-05,0.025836369,6.11E-05,1.32E-05,6.90E-05,5.64E-05,3.20E-05,1.39E-05,0.000294994,0.001629235,0.000165941,0.000117094,5.78E-05,8.25E-06,2.63E-06,0.000202781,5.03E-05,1.21E-05,5.23E-05,0.000108036,0.000209025,0.000225389,0.000242151,0.00022223,0.001029697,0.00175617,0.000235006,7.64E-06,7.77E-05,0.006061567,0.000268784,4.50E-05,2.12E-05,1.63E-05,3.92E-05,0.001216742,0.000214652,0.000337236,0.000817343,0.000266964,0.000141046,9.45E-05,9.78E-05,0.000136685,3.18E-05,0.000377551,4.72E-05,8.41E-05,0.000532127,0.000684518,0.002790005,0,7.39E-05,0.000302134,2.18E-05,0.00012807,0.000758791,0.002792682,0.001375412,0.000139989,8.72E-05,0.000113283,2.53E-05,2.48E-05,5.89E-05,3.29E-05,9.64E-05,0.000197573,6.37E-05,6.05E-05,0.000191747,0.000127534,0.000397589,0.000152936,7.24E-05,0.001528874,8.27E-06,2.34E-05,9.63E-05,2.02E-05,0,9.64E-05,8.66E-05,3.93E-05,0.000140116,4.09E-05,1.55E-05,5.32E-05,5.49E-05,0.003617617,0.000125057,0.001008087,0.000278684,9.80E-05,0.000257969,0.000886992,0.000145908,0.00031767,0.000437621,0.000227666,8.90E-05,3.51E-05,0,0.000221792,2.45E-05,0.000558702,0.000609953,0,0.000364035,0.000113483,0.000671036,7.92E-05,6.15E-06,0.000159468,0,3.51E-05,0.000444177,2.76E-05,0,2.37E-05,7.56E-05,0.000253905,3.63E-05,9.71E-05,0.000347462,5.42E-05,0.000175028,0,3.13E-05,0.000888988,3.60E-05,0.006920134,3.05E-05,1.89E-05,3.33E-05,0.015779347,0.000101865,0.000610537,3.69E-05,3.68E-05,0.000240185,4.56E-05,2.68E-05,0.000974163,0.023231949,0.000312087,0.018563365,0.003232722,0.000331984,0,0.004799414,3.01E-05,4.28E-05,8.01E-05,0.002123447,0.02196454,2.84E-05,1.80E-05,9.01E-05,6.38E-05,0.000238442,0.000171558,0.000100268,0.000188554,3.48E-05,2.86E-05,0.001278799,1.37E-05,0.000276878,6.03E-05,9.83E-05,0.001440243,0.0003503,0,3.74E-05,0.000355663,0.001455477,0.000314682,0.000915903,0,0.000770521,0.000714597,0.000245237,0.001318564,0.00010717,8.98E-05,0.000717615,0.000355683,2.95E-06,7.83E-05,0.001471295,0,0,8.86E-05,1.42E-05,2.39E-05,0.000197062,0,5.75E-05,0.000120798,0.000224367,9.94E-05,3.28E-06,1.31E-05,1.44E-05,9.41E-06,2.25E-05,3.85E-05,0.000103734,7.96E-05,4.79E-05,0.000140807,0,2.90E-05,1.76E-05,0.000201622,0.000129184,2.13E-05,1.34E-05,7.53E-05,0.000164559,0,6.62E-06,1.45E-05,2.40E-05,0.000274158,1.71E-05,3.82E-05,1.38E-05,9.01E-06,5.44E-06,2.31E-05,0.000334296,4.83E-05,1.07E-05,2.46E-05,7.90E-06,0.000381659,0.00048402,7.89E-06,1.07E-05,7.91E-05,0.000184188,8.67E-05,9.62E-05,1.22E-05,0,1.19E-05,0.001109178,8.51E-05,5.02E-05,0.000595546,0.002778616,0.000625771,0.001149722,2.52E-05,1.96E-05,0.000501221,2.10E-05,0.000169961,5.40E-05,5.18E-05,0.000128586,0,0.000158319,0,2.21E-05,7.62E-05,0.001137748,0.00085813,0.000851705,0.000103982,0.000112422,8.34E-05,3.57E-05,6.91E-05,0.000184631,0.001411721,1.42E-05,0.000421302,0.000275262,3.55E-05,2.81E-05,0.002161994,0.000211683,0.000244551,4.24E-05,0.000981172,3.29E-05,0.001181163,0.000172546,2.26E-05,1.82E-06,0.000683253,3.34E-05,0.000265032,3.30E-05,0.000130143,0.000361144,0.000134772,0.000135074,0.000118301,0.000337509,0.000458409,0.003224934,0.000115274,0,0.000115566,1.05E-05,0.000311372,0.000216574,0.000299399,2.98E-05,0.000347365,9.75E-05,2.85E-05,2.12E-05,0.000267864,9.93E-05,0.000243714,0.000139585,9.50E-06,0.000189265,0,1.86E-05,0.008593466,4.55E-05,7.28E-05,0.000331624,1.12E-05,0.000263245,0.000326037,0.000707296,0.000144876,0.000230986,3.16E-05,7.09E-05,0.001181796,8.97E-05,0.002634985,9.06E-05,0.000106742,4.49E-06,0.000279477,0.000150381,0.000228698,4.79E-05,2.69E-05,6.05E-05,1.77E-05,0.000326382,0.000581577,0.000247232,3.01E-05,2.91E-05,3.94E-05,3.35E-05,5.55E-05,4.96E-05,0.000182913,0.000185332,4.60E-05,1.06E-05,2.35E-05,0.000133258,0,0,0.000655072,0.001545763,0.000164437,0.000126201,0.000850537,0.000161731,0.000291509,0.00215518,0.000161697,0.000101957,0.000527747,0.000938438,1.17E-05,7.87E-06,7.92E-06,0.000102488,0.00017146,3.00E-05,1.38E-05,0.000232991,0,0.000790768,0.000106946,0.000102546,0.000179701,0,0.001261666,0.000560259,4.68E-05,0.000181628,0.000295062,0.000111186,0.016225666,3.80E-05,1.74E-05,8.02E-05,5.45E-05,4.65E-05,0.000210408,0.000191299,0.001010813,0.00022698,0.000937075,0.000107316,0.00157151,0.000342984,2.18E-05,0,4.41E-05,8.94E-05,0.000173685,0.000382875,7.79E-05,0.001329417,0.000113347,0.000391554,1.91E-05,0.000545074,0.00014255,0.000264954,6.76E-05,0.000339845,3.17E-05,1.87E-05,0.010317415,0.000883634,0.003021146,2.41E-05,3.32E-05,5.03E-05,0,9.64E-06,7.00E-06,8.08E-05,0.001698008,0.0004831,8.15E-05,0.000257157,0.008325772,0.008610987,0.00025281,0.012001454,6.96E-05,3.10E-05,5.29E-05,0.000159331,0.001649628,0.001061042,5.20E-05,0.00015115,0.006451913,1.48E-05,0.000213503,5.15E-05,0.00015555,1.92E-05,1.31E-05,0.000343486,0.000174352,0.000174181,4.49E-05,7.02E-06,0.000349034,7.79E-05,0.000170112,5.40E-05,0.000971875,0.000156927,4.36E-05,8.82E-05,0.001292865,3.93E-05,7.70E-05,0.020687396,0.000927146,0.000597834,0.003637621,0.001616239,0.003463815,0.020728767,0.000177179,0.000505747,3.46E-05,8.55E-05,4.86E-05,0.008661606,3.23E-05,0.000174308,1.29E-05,7.21E-05,2.33E-05,0.007124555,0.000192482,0.000354884,8.22E-05,0.003910572,5.25E-05,7.51E-05,0.000436838,0.000188534,0.000129613,0.000144331,5.93E-05,1.64E-05,3.17E-05,1.78E-05,6.90E-05,0.000107934,0.000172327,0.000941018,0.008035689,0.002980895,0.001013003,0.000616329,0.005516931,4.38E-01
