Ensembl ID	HPA ID
ENSG00000005073	HPA035623
ENSG00000005075	44010
ENSG00000005075	46970
ENSG00000005075	HPA044010
ENSG00000005075	HPA046970
ENSG00000005102	45214
ENSG00000005102	HPA045214
ENSG00000005108	923
ENSG00000005108	HPA000923
ENSG00000005156	6723
ENSG00000005156	HPA006723
ENSG00000005175	38311
ENSG00000005175	38312
ENSG00000005175	HPA038311
ENSG00000005175	HPA038312
ENSG00000005187	41013
ENSG00000005187	HPA041013
ENSG00000005189	40755
ENSG00000005189	40868
ENSG00000005189	HPA040755
ENSG00000005189	HPA040868
ENSG00000005194	41350
ENSG00000005194	42182
ENSG00000005194	HPA041350
ENSG00000005194	HPA042182
ENSG00000005238	48831
ENSG00000005238	HPA048831
ENSG00000005243	55999
ENSG00000005243	HPA055999
ENSG00000005249	8421
ENSG00000005249	HPA008421
ENSG00000005302	34535
ENSG00000005302	34536
ENSG00000005302	HPA034535
ENSG00000005302	HPA034536
ENSG00000005339	4212
ENSG00000005339	55861
ENSG00000005339	CAB004212
ENSG00000005339	HPA055861
ENSG00000005379	24662
ENSG00000005379	25244
ENSG00000005379	HPA024662
ENSG00000005379	HPA025244
ENSG00000005381	21147
ENSG00000005381	59
ENSG00000005381	CAB000059
ENSG00000005381	HPA021147
ENSG00000005421	1610
ENSG00000005421	HPA001610
ENSG00000005448	43257
ENSG00000005448	53558
ENSG00000005448	HPA043257
ENSG00000005448	HPA053558
ENSG00000005469	19052
ENSG00000005469	19364
ENSG00000005469	19365
ENSG00000005469	HPA019052
ENSG00000005469	HPA019364
ENSG00000005469	HPA019365
ENSG00000005471	4498
ENSG00000005471	49395
ENSG00000005471	53288
ENSG00000005471	CAB004498
ENSG00000005471	HPA049395
ENSG00000005471	HPA053288
ENSG00000005483	56125
ENSG00000005483	HPA056125
ENSG00000005486	45074
ENSG00000005486	51960
ENSG00000005486	HPA045074
ENSG00000005486	HPA051960
ENSG00000005513	41640
ENSG00000005513	HPA041640
ENSG00000005700	23826
ENSG00000005700	HPA023826
ENSG00000005801	30605
ENSG00000005801	HPA030605
ENSG00000005810	39945
ENSG00000005810	HPA039945
ENSG00000005812	49134
ENSG00000005812	60297
ENSG00000005812	HPA049134
ENSG00000005812	HPA060297
ENSG00000005844	25011
ENSG00000005844	CAB025011
ENSG00000005882	8287
ENSG00000005882	HPA008287
ENSG00000005884	18594
ENSG00000005884	8572
ENSG00000005884	CAB018594
ENSG00000005884	HPA008572
ENSG00000005889	1748
ENSG00000005889	3877
ENSG00000005889	HPA001748
ENSG00000005889	HPA003877
ENSG00000005893	29100
ENSG00000005893	5272
ENSG00000005893	CAB005272
ENSG00000005893	HPA029100
ENSG00000005961	18611
ENSG00000005961	31168
ENSG00000005961	31169
ENSG00000005961	31170
ENSG00000005961	31171
ENSG00000005961	CAB018611
ENSG00000005961	HPA031168
ENSG00000005961	HPA031169
ENSG00000005961	HPA031170
ENSG00000005961	HPA031171
ENSG00000005981	55240
ENSG00000005981	HPA055240
ENSG00000006015	43414
ENSG00000006015	HPA043414
ENSG00000006016	41493
ENSG00000006016	41793
ENSG00000006016	HPA041493
ENSG00000006016	HPA041793
ENSG00000006025	36076
ENSG00000006025	53083
ENSG00000006025	HPA036076
ENSG00000006025	HPA053083
ENSG00000006042	40473
ENSG00000006042	53385
ENSG00000006042	HPA040473
ENSG00000006042	HPA053385
ENSG00000006047	12332
ENSG00000006047	53904
ENSG00000006047	56744
ENSG00000006047	CAB012332
ENSG00000006047	HPA053904
ENSG00000006047	HPA056744
ENSG00000006059	55194
ENSG00000006059	HPA055194
ENSG00000006071	11451
ENSG00000006071	42318
ENSG00000006071	CAB011451
ENSG00000006071	HPA042318
ENSG00000006116	59010
ENSG00000006116	HPA059010
ENSG00000006118	51979
ENSG00000006118	HPA051979
ENSG00000006125	17631
ENSG00000006125	CAB017631
ENSG00000006125	HPA056733
ENSG00000006128	14429
ENSG00000006128	4588
ENSG00000006128	CAB004588
ENSG00000006128	HPA014429
ENSG00000006194	35085
ENSG00000006194	35086
ENSG00000006194	HPA035085
ENSG00000006194	HPA035086
ENSG00000006210	26192
ENSG00000006210	40361
ENSG00000006210	CAB026192
ENSG00000006210	HPA040361
ENSG00000006282	22023
ENSG00000006282	27144
ENSG00000006282	31442
ENSG00000006282	HPA022023
ENSG00000006282	HPA027144
ENSG00000006282	HPA031442
ENSG00000006283	4714
ENSG00000006283	HPA004714
ENSG00000006327	15941
ENSG00000006327	7853
ENSG00000006327	CAB015941
ENSG00000006327	HPA007853
ENSG00000006377	30608
ENSG00000006377	HPA030608
ENSG00000006432	942
ENSG00000006432	HPA000942
ENSG00000006453	19484
ENSG00000006453	21257
ENSG00000006453	23874
ENSG00000006453	29503
ENSG00000006453	HPA019484
ENSG00000006453	HPA021257
ENSG00000006453	HPA023874
ENSG00000006453	HPA029503
ENSG00000006459	12114
ENSG00000006459	HPA012114
ENSG00000006530	20959
ENSG00000006530	53471
ENSG00000006530	HPA020959
ENSG00000006530	HPA053471
ENSG00000006534	HPA038525
ENSG00000006555	35072
ENSG00000006555	HPA035072
ENSG00000006576	12312
ENSG00000006576	HPA012312
ENSG00000006607	31226
ENSG00000006607	55592
ENSG00000006607	HPA031226
ENSG00000006607	HPA055592
ENSG00000006611	13690
ENSG00000006611	27398
ENSG00000006611	27492
ENSG00000006611	28033
ENSG00000006611	CAB013690
ENSG00000006611	HPA027398
ENSG00000006611	HPA027492
ENSG00000006611	HPA028033
ENSG00000006625	20735
ENSG00000006625	29914
ENSG00000006625	HPA020735
ENSG00000006625	HPA029914
ENSG00000006634	51589
ENSG00000006634	HPA051589
ENSG00000006652	24122
ENSG00000006652	HPA024122
ENSG00000006695	32005
ENSG00000006695	32006
ENSG00000006695	HPA032005
ENSG00000006695	HPA032006
ENSG00000006704	44254
ENSG00000006704	HPA044254
ENSG00000006712	41875
ENSG00000006712	HPA041875
ENSG00000006715	20080
ENSG00000006715	20299
ENSG00000006715	HPA020080
ENSG00000006715	HPA020299
ENSG00000006740	38814
ENSG00000006740	HPA038814
ENSG00000006744	19535
ENSG00000006744	HPA019535
ENSG00000006747	20518
ENSG00000006747	22009
ENSG00000006747	24264
ENSG00000006747	HPA020518
ENSG00000006747	HPA022009
ENSG00000006747	HPA024264
ENSG00000006756	4694
ENSG00000006756	HPA004694
ENSG00000006757	3656
ENSG00000006757	HPA003656
ENSG00000006788	140
ENSG00000006788	CAB000140
ENSG00000006831	43737
ENSG00000006831	HPA043737
ENSG00000006837	27751
ENSG00000006837	7446
ENSG00000006837	HPA007446
ENSG00000006837	HPA027751
ENSG00000007001	35225
ENSG00000007001	35226
ENSG00000007001	HPA035225
ENSG00000007001	HPA035226
ENSG00000007038	8477
ENSG00000007038	HPA008477
ENSG00000007047	39186
ENSG00000007047	HPA039186
ENSG00000007062	11525
ENSG00000007062	31053
ENSG00000007062	4922
ENSG00000007062	CAB011525
ENSG00000007062	HPA004922
ENSG00000007062	HPA031053
ENSG00000007080	41708
ENSG00000007080	46765
ENSG00000007080	HPA041708
ENSG00000007080	HPA046765
ENSG00000007129	43411
ENSG00000007129	HPA043411
ENSG00000007168	20036
ENSG00000007168	4489
ENSG00000007168	CAB004489
ENSG00000007168	HPA020036
ENSG00000007171	2014
ENSG00000007171	CAB002014
ENSG00000007174	20639
ENSG00000007174	HPA020639
ENSG00000007202	42781
ENSG00000007202	HPA042781
ENSG00000007216	14963
ENSG00000007216	HPA014963
ENSG00000007237	4838
ENSG00000007237	HPA004838
ENSG00000007255	43043
ENSG00000007255	HPA043043
ENSG00000007264	4847
ENSG00000007264	HPA004847
ENSG00000007312	9178
ENSG00000007312	9751
ENSG00000007312	CAB009751
ENSG00000007312	HPA009178
ENSG00000007314	53992
ENSG00000007314	HPA053992
ENSG00000007341	42324
ENSG00000007341	HPA042324
ENSG00000007350	32191
ENSG00000007350	505
ENSG00000007350	CAB032191
ENSG00000007350	HPA000505
ENSG00000007372	30775
ENSG00000007372	34143
ENSG00000007372	CAB034143
ENSG00000007372	HPA030775
ENSG00000007376	41144
ENSG00000007376	41938
ENSG00000007376	HPA041144
ENSG00000007376	HPA041938
ENSG00000007392	33659
ENSG00000007392	CAB033659
ENSG00000007402	34771
ENSG00000007402	HPA034771
ENSG00000007516	15627
ENSG00000007516	HPA015627
ENSG00000007520	46265
ENSG00000007520	HPA046265
ENSG00000007541	39105
ENSG00000007541	39828
ENSG00000007541	HPA039105
ENSG00000007541	HPA039828
ENSG00000007545	41752
ENSG00000007545	HPA041752
ENSG00000007866	28906
ENSG00000007866	HPA028906
ENSG00000007908	2143
ENSG00000007908	CAB002143
ENSG00000007923	28705
ENSG00000007923	HPA028705
ENSG00000007933	13750
ENSG00000007933	8065
ENSG00000007933	HPA008065
ENSG00000007933	HPA013750
ENSG00000007952	35299
ENSG00000007952	35300
ENSG00000007952	HPA035299
ENSG00000007952	HPA035300
ENSG00000007968	16313
ENSG00000007968	CAB016313
ENSG00000008018	29635
ENSG00000008018	29637
ENSG00000008018	33911
ENSG00000008018	CAB033911
ENSG00000008018	HPA029635
ENSG00000008018	HPA029637
ENSG00000008056	21929
ENSG00000008056	397
ENSG00000008056	CAB021929
ENSG00000008056	HPA000397
ENSG00000008083	44909
ENSG00000008083	HPA044909
ENSG00000008086	11577
ENSG00000008086	2847
ENSG00000008086	CAB011577
ENSG00000008086	HPA002847
ENSG00000008118	23809
ENSG00000008118	HPA023809
ENSG00000008128	10467
ENSG00000008128	25061
ENSG00000008128	CAB010467
ENSG00000008128	HPA025061
ENSG00000008130	48909
ENSG00000008130	53368
ENSG00000008130	HPA048909
ENSG00000008130	HPA053368
ENSG00000008196	10426
ENSG00000008196	34683
ENSG00000008196	CAB010426
ENSG00000008196	HPA034683
ENSG00000008197	48962
ENSG00000008197	HPA048962
ENSG00000008226	19077
ENSG00000008226	20455
ENSG00000008226	HPA019077
ENSG00000008226	HPA020455
ENSG00000008256	13979
ENSG00000008256	HPA013979
ENSG00000008277	45282
ENSG00000008277	HPA045282
ENSG00000008282	14141
ENSG00000008282	HPA014141
ENSG00000008283	14753
ENSG00000008283	HPA014753
ENSG00000008294	40446
ENSG00000008294	HPA040446
ENSG00000008311	20637
ENSG00000008311	20728
ENSG00000008311	20734
ENSG00000008311	HPA020637
ENSG00000008311	HPA020728
ENSG00000008311	HPA020734
ENSG00000008323	41459
ENSG00000008323	HPA041459
ENSG00000008324	47377
ENSG00000008324	HPA047377
ENSG00000008382	43274
ENSG00000008382	45475
ENSG00000008382	HPA043274
ENSG00000008382	HPA045475
ENSG00000008394	44840
ENSG00000008394	HPA044840
ENSG00000008405	18762
ENSG00000008405	47596
ENSG00000008405	CAB018762
ENSG00000008405	HPA047596
ENSG00000008438	45702
ENSG00000008438	HPA045702
ENSG00000008441	7533
ENSG00000008441	HPA007533
ENSG00000008513	40466
ENSG00000008513	HPA040466
ENSG00000008516	25177
ENSG00000008516	CAB025177
ENSG00000008517	29397
ENSG00000008517	30029
ENSG00000008517	CAB030029
ENSG00000008517	HPA029397
ENSG00000008710	46448
ENSG00000008710	CAB046448
ENSG00000008735	34780
ENSG00000008735	HPA034780
ENSG00000008838	39547
ENSG00000008838	HPA039547
ENSG00000008853	60938
ENSG00000008853	HPA060938
ENSG00000008869	42025
ENSG00000008869	55639
ENSG00000008869	HPA042025
ENSG00000008869	HPA055639
ENSG00000008952	14059
ENSG00000008952	HPA014059
ENSG00000008988	3570
ENSG00000008988	HPA003570
ENSG00000009307	18846
ENSG00000009307	52221
ENSG00000009307	HPA018846
ENSG00000009307	HPA052221
ENSG00000009335	39915
ENSG00000009335	HPA039915
ENSG00000009694	2848
ENSG00000009694	HPA002848
ENSG00000009724	29313
ENSG00000009724	29314
ENSG00000009724	HPA029313
ENSG00000009724	HPA029314
ENSG00000009765	59627
ENSG00000009765	HPA059627
ENSG00000009780	44762
ENSG00000009780	HPA044762
ENSG00000009790	40796
ENSG00000009790	HPA040796
ENSG00000009830	3663
ENSG00000009830	HPA003663
ENSG00000009844	30968
ENSG00000009844	HPA030968
ENSG00000009954	37081
ENSG00000009954	37158
ENSG00000009954	CAB037081
ENSG00000009954	CAB037158
ENSG00000010017	33767
ENSG00000010017	50007
ENSG00000010017	CAB033767
ENSG00000010017	HPA050007
ENSG00000010030	29033
ENSG00000010030	HPA029033
ENSG00000010072	25073
ENSG00000010072	HPA025073
ENSG00000010165	44498
ENSG00000010165	HPA044498
ENSG00000010219	28065
ENSG00000010219	56073
ENSG00000010219	HPA028065
ENSG00000010219	HPA056073
ENSG00000010244	17013
ENSG00000010244	HPA017013
ENSG00000010256	2815
ENSG00000010256	33782
ENSG00000010256	3525
ENSG00000010256	CAB033782
ENSG00000010256	HPA002815
ENSG00000010256	HPA003525
ENSG00000010270	19204
ENSG00000010270	HPA019204
ENSG00000010278	2490
ENSG00000010278	CAB002490
ENSG00000010282	18174
ENSG00000010282	HPA018174
ENSG00000010292	12423
ENSG00000010292	36947
ENSG00000010292	37363
ENSG00000010292	CAB012423
ENSG00000010292	HPA036947
ENSG00000010292	HPA037363
ENSG00000010310	22710
ENSG00000010310	CAB022710
ENSG00000010318	36283
ENSG00000010318	HPA036283
ENSG00000010319	1761
ENSG00000010319	HPA001761
ENSG00000010322	23189
ENSG00000010322	HPA023189
ENSG00000010327	5434
ENSG00000010327	HPA005434
ENSG00000010361	41779
ENSG00000010361	42196
ENSG00000010361	HPA041779
ENSG00000010361	HPA042196
ENSG00000010379	52726
ENSG00000010379	HPA052726
ENSG00000010539	18981
ENSG00000010539	HPA018981
ENSG00000010610	11
ENSG00000010610	4252
ENSG00000010610	4472
ENSG00000010610	CAB000011
ENSG00000010610	HPA004252
ENSG00000010610	HPA004472
ENSG00000010626	37766
ENSG00000010626	HPA037766
ENSG00000010671	1198
ENSG00000010671	16689
ENSG00000010671	2028
ENSG00000010671	CAB016689
ENSG00000010671	HPA001198
ENSG00000010671	HPA002028
ENSG00000010704	17276
ENSG00000010704	HPA017276
ENSG00000010803	48898
ENSG00000010803	53292
ENSG00000010803	HPA048898
ENSG00000010803	HPA053292
ENSG00000010810	18387
ENSG00000010810	23887
ENSG00000010810	5034
ENSG00000010810	CAB005034
ENSG00000010810	CAB018387
ENSG00000010810	HPA023887
ENSG00000010818	55954
ENSG00000010818	HPA055954
ENSG00000010932	23680
ENSG00000010932	HPA023680
ENSG00000011007	52418
ENSG00000011007	5910
ENSG00000011007	HPA005910
ENSG00000011007	HPA052418
ENSG00000011021	32097
ENSG00000011021	HPA032097
ENSG00000011028	41991
ENSG00000011028	HPA041991
ENSG00000011052	2169
ENSG00000011052	41113
ENSG00000011052	8467
ENSG00000011052	CAB002169
ENSG00000011052	CAB040571
ENSG00000011052	HPA008467
ENSG00000011052	HPA041113
ENSG00000011083	28907
ENSG00000011083	HPA028907
ENSG00000011105	14002
ENSG00000011105	HPA014002
ENSG00000011114	49926
ENSG00000011114	HPA049926
ENSG00000011132	45577
ENSG00000011132	HPA045577
ENSG00000011143	21372
ENSG00000011143	21812
ENSG00000011143	HPA021372
ENSG00000011143	HPA021812
ENSG00000011198	20685
ENSG00000011198	35851
ENSG00000011198	35852
ENSG00000011198	CAB020685
ENSG00000011198	HPA035851
ENSG00000011198	HPA035852
ENSG00000011201	59335
ENSG00000011201	HPA059335
ENSG00000011243	42485
ENSG00000011243	42546
ENSG00000011243	HPA042485
ENSG00000011243	HPA042546
ENSG00000011258	21876
ENSG00000011258	HPA021876
ENSG00000011260	52378
ENSG00000011260	HPA052378
ENSG00000011275	18955
ENSG00000011275	21123
ENSG00000011275	HPA018955
ENSG00000011275	HPA021123
ENSG00000011295	23010
ENSG00000011295	52380
ENSG00000011295	HPA023010
ENSG00000011295	HPA052380
ENSG00000011304	13507
ENSG00000011304	CAB013507
ENSG00000011332	49148
ENSG00000011332	HPA049148
ENSG00000011347	12869
ENSG00000011347	HPA012869
ENSG00000011376	35951
ENSG00000011376	45450
ENSG00000011376	HPA035951
ENSG00000011376	HPA045450
ENSG00000011405	37641
ENSG00000011405	37642
ENSG00000011405	HPA037641
ENSG00000011405	HPA037642
ENSG00000011422	50843
ENSG00000011422	HPA050843
ENSG00000011426	50556
ENSG00000011426	5680
ENSG00000011426	62547
ENSG00000011426	CAB062547
ENSG00000011426	HPA005680
ENSG00000011426	HPA050556
ENSG00000011451	22923
ENSG00000011451	HPA022923
ENSG00000011454	HPA041651
ENSG00000011465	17118
ENSG00000011465	3315
ENSG00000011465	CAB017118
ENSG00000011465	HPA003315
ENSG00000011478	40797
ENSG00000011478	HPA040797
ENSG00000011485	22641
ENSG00000011485	29065
ENSG00000011485	56933
ENSG00000011485	CAB022641
ENSG00000011485	HPA029065
ENSG00000011485	HPA056933
ENSG00000011523	40493
ENSG00000011523	40620
ENSG00000011523	HPA040493
