Ensembl ID	ChEMBL ID
ENSG00000060656	CHEMBL1961785
ENSG00000060718	CHEMBL2364188
ENSG00000060982	CHEMBL4679
ENSG00000061273	CHEMBL2716
ENSG00000061918	CHEMBL2111348
ENSG00000061938	CHEMBL4599
ENSG00000062282	CHEMBL5853
ENSG00000062524	CHEMBL5627
ENSG00000062822	CHEMBL2735
ENSG00000063176	CHEMBL3023
ENSG00000063180	CHEMBL2420
ENSG00000063854	CHEMBL2261
ENSG00000064012	CHEMBL3776
ENSG00000064300	CHEMBL4762
ENSG00000064393	CHEMBL4576
ENSG00000064547	CHEMBL3724
ENSG00000064601	CHEMBL6115
ENSG00000064651	CHEMBL1615383
ENSG00000064655	CHEMBL1293275
ENSG00000064692	CHEMBL1926494
ENSG00000064989	CHEMBL2111191
ENSG00000065135	CHEMBL4221
ENSG00000065154	CHEMBL5954
ENSG00000065243	CHEMBL3032
ENSG00000065325	CHEMBL5844
ENSG00000065361	CHEMBL5838
ENSG00000065427	CHEMBL5575
ENSG00000065518	CHEMBL2363065
ENSG00000065534	CHEMBL2428
ENSG00000065559	CHEMBL2897
ENSG00000065613	CHEMBL4202
ENSG00000065621	CHEMBL2161
ENSG00000065675	CHEMBL2096620
ENSG00000065833	CHEMBL3495
ENSG00000065883	CHEMBL1795192
ENSG00000065989	CHEMBL2111340
ENSG00000066027	CHEMBL4763
ENSG00000066044	CHEMBL1250379
ENSG00000066056	CHEMBL5274
ENSG00000066135	CHEMBL5896
ENSG00000066230	CHEMBL3273
ENSG00000066322	CHEMBL6001
ENSG00000066468	CHEMBL4142
ENSG00000067177	CHEMBL2111324
ENSG00000067182	CHEMBL3378
ENSG00000067191	CHEMBL2363032
ENSG00000067225	CHEMBL1075189
ENSG00000067369	CHEMBL2424509
ENSG00000067560	CHEMBL6052
ENSG00000067606	CHEMBL3438
ENSG00000067900	CHEMBL3231
ENSG00000067955	CHEMBL2093862
ENSG00000067992	CHEMBL2096665
ENSG00000068024	CHEMBL3524
ENSG00000068078	CHEMBL2742
ENSG00000068383	CHEMBL4243
ENSG00000068903	CHEMBL4462
ENSG00000068976	CHEMBL3526
ENSG00000069020	CHEMBL2417351
ENSG00000069329	CHEMBL2216744
ENSG00000069431	CHEMBL2095198
ENSG00000069535	CHEMBL2039
ENSG00000069667	CHEMBL5868
ENSG00000069696	CHEMBL2331075
ENSG00000069764	CHEMBL4342
ENSG00000069849	CHEMBL2095186
ENSG00000069956	CHEMBL5121
ENSG00000070019	CHEMBL1795197
ENSG00000070159	CHEMBL2396509
ENSG00000070388	CHEMBL2362983
ENSG00000070501	CHEMBL2392
ENSG00000070610	CHEMBL3761
ENSG00000070669	CHEMBL3120
ENSG00000070748	CHEMBL4039
ENSG00000070756	CHEMBL1293286
ENSG00000070759	CHEMBL2069163
ENSG00000070770	CHEMBL4070
ENSG00000070808	CHEMBL2097164
ENSG00000070831	CHEMBL6088
ENSG00000070886	CHEMBL4134
ENSG00000070915	CHEMBL1876
ENSG00000070985	CHEMBL1628468
ENSG00000071054	CHEMBL6166
ENSG00000071242	CHEMBL3906
ENSG00000071553	CHEMBL4790
ENSG00000071909	CHEMBL5654
ENSG00000072062	CHEMBL2094138
ENSG00000072133	CHEMBL4924
ENSG00000072315	CHEMBL1250411
ENSG00000072506	CHEMBL4159
ENSG00000072518	CHEMBL3831
ENSG00000072682	CHEMBL5640
ENSG00000072786	CHEMBL3981
ENSG00000073060	CHEMBL1914272
ENSG00000073067	CHEMBL2406897
ENSG00000073417	CHEMBL4640
ENSG00000073578	CHEMBL5758
ENSG00000073614	CHEMBL2424504
ENSG00000073734	CHEMBL6020
ENSG00000073737	CHEMBL5974
ENSG00000073756	CHEMBL230
ENSG00000073803	CHEMBL1163124
ENSG00000073969	CHEMBL2311231
ENSG00000074047	CHEMBL5119
ENSG00000074319	CHEMBL6157
ENSG00000074410	CHEMBL2095180
ENSG00000074416	CHEMBL4191
ENSG00000074590	CHEMBL5784
ENSG00000074603	CHEMBL4657
ENSG00000074771	CHEMBL1741216
ENSG00000074803	CHEMBL1874
ENSG00000074966	CHEMBL4367
ENSG00000075043	CHEMBL2362996
ENSG00000075073	CHEMBL2327
ENSG00000075413	CHEMBL5600
ENSG00000075429	CHEMBL2363032
ENSG00000075461	CHEMBL2363032
ENSG00000075624	CHEMBL2062353
ENSG00000075651	CHEMBL2536
ENSG00000075673	CHEMBL2933
ENSG00000075886	CHEMBL2095182
ENSG00000076248	CHEMBL3277
ENSG00000076351	CHEMBL1795188
ENSG00000076555	CHEMBL4829
ENSG00000076984	CHEMBL3530
ENSG00000077044	CHEMBL1075120
ENSG00000077092	CHEMBL2008
ENSG00000077097	CHEMBL3396
ENSG00000077150	CHEMBL2094258
ENSG00000077264	CHEMBL2999
ENSG00000077463	CHEMBL2163182
ENSG00000077498	CHEMBL1973
ENSG00000077616	CHEMBL2609
ENSG00000077782	CHEMBL2095217
ENSG00000078018	CHEMBL2390810
ENSG00000078061	CHEMBL1169596
ENSG00000078098	CHEMBL4683
ENSG00000078142	CHEMBL1075165
ENSG00000078295	CHEMBL3760
ENSG00000078549	CHEMBL5399
ENSG00000079215	CHEMBL3085
