Ensembl ID	Uniprot_gn_trans_name ID
ENSG00000001629	ANKIB1-007
ENSG00000001629	UPI00001C1E7C
ENSG00000001629	UPI000198CF39
ENSG00000001629	UPI000198CF3A
ENSG00000001629	UPI000198CF3B
ENSG00000001629	UPI000198CF3C
ENSG00000001630	CYP51A1
ENSG00000001630	CYP51A1-001
ENSG00000001630	CYP51A1-002
ENSG00000001630	CYP51A1-003
ENSG00000001630	CYP51A1-005
ENSG00000001630	CYP51A1-006
ENSG00000001630	UPI000013C4D5
ENSG00000001630	UPI0000EE584C
ENSG00000001630	UPI000198CF21
ENSG00000001630	UPI000198CF22
ENSG00000001631	CCM1
ENSG00000001631	CCM1-001
ENSG00000001631	CCM1-002
ENSG00000001631	CCM1-003
ENSG00000001631	CCM1-004
ENSG00000001631	CCM1-005
ENSG00000001631	CCM1-006
ENSG00000001631	CCM1-007
ENSG00000001631	CCM1-008
ENSG00000001631	CCM1-009
ENSG00000001631	CCM1-010
ENSG00000001631	CCM1-011
ENSG00000001631	CCM1-012
ENSG00000001631	CCM1-013
ENSG00000001631	CCM1-014
ENSG00000001631	CCM1-015
ENSG00000001631	CCM1-016
ENSG00000001631	CCM1-017
ENSG00000001631	CCM1-018
ENSG00000001631	CCM1-019
ENSG00000001631	CCM1-020
ENSG00000001631	CCM1-021
ENSG00000001631	CCM1-022
ENSG00000001631	CCM1-023
ENSG00000001631	CCM1-201
ENSG00000001631	CCM1-202
ENSG00000001631	KRIT1
ENSG00000001631	UPI000006E450
ENSG00000001631	UPI000006F5AA
ENSG00000001631	UPI00001A8229
ENSG00000001631	UPI00001D870E
ENSG00000001631	UPI0000E0ADAA
ENSG00000001631	UPI000198CF2E
ENSG00000001631	UPI000198CF2F
ENSG00000001631	UPI000198CF30
ENSG00000001631	UPI000198CF31
ENSG00000001631	UPI000198CF32
ENSG00000001631	UPI000198CF33
ENSG00000001631	UPI000198CF34
ENSG00000001631	UPI000198CF35
ENSG00000001631	UPI000198CF36
ENSG00000001631	UPI000198CF37
ENSG00000001631	UPI000198CF38
ENSG00000002016	RAD52
ENSG00000002016	RAD52-001
ENSG00000002016	RAD52-002
ENSG00000002016	RAD52-003
ENSG00000002016	RAD52-004
ENSG00000002016	RAD52-005
ENSG00000002016	RAD52-006
ENSG00000002016	RAD52-007
ENSG00000002016	RAD52-008
ENSG00000002016	RAD52-009
ENSG00000002016	RAD52-010
ENSG00000002016	RAD52-011
ENSG00000002016	RAD52-012
ENSG00000002016	RAD52-013
ENSG00000002016	RAD52-014
ENSG00000002016	RAD52-015
ENSG00000002016	RAD52-016
ENSG00000002016	RAD52-017
ENSG00000002016	RAD52-018
ENSG00000002016	RAD52-201
ENSG00000002016	RAD52-202
ENSG00000002016	UPI0000070112
ENSG00000002016	UPI000007101D
ENSG00000002016	UPI00000718C1
ENSG00000002016	UPI0000133035
ENSG00000002016	UPI000153D8F2
ENSG00000002016	UPI000155D4FB
ENSG00000002016	UPI000204AA4D
ENSG00000002016	UPI000204AA4E
ENSG00000002330	BAD
ENSG00000002330	BAD-001
ENSG00000002330	BAD-002
ENSG00000002330	BAD-003
ENSG00000002330	BAD-004
ENSG00000002330	BAD-005
ENSG00000002330	BAD-007
ENSG00000002330	BAD-008
ENSG00000002330	UPI0000035C7F
ENSG00000002330	UPI00001FAA88
