Ensembl ID	miRBase ID
ENSG00000207706	MI0003154
ENSG00000207707	MI0003654
ENSG00000207708	MI0000457
ENSG00000207709	MI0000239
ENSG00000207710	MI0001519
ENSG00000207711	MI0003152
ENSG00000207712	MI0003641
ENSG00000207713	MI0000650
ENSG00000207714	MI0003591
ENSG00000207716	MI0003579
ENSG00000207717	MI0003575
ENSG00000207719	MI0003637
ENSG00000207720	MI0003561
ENSG00000207721	MI0000483
ENSG00000207722	MI0003155
ENSG00000207725	MI0000299
ENSG00000207726	MI0003513
ENSG00000207728	MI0003673
ENSG00000207729	MI0003562
ENSG00000207730	MI0000342
ENSG00000207731	MI0003193
ENSG00000207732	MI0000294
ENSG00000207733	MI0003652
ENSG00000207734	MI0003161
ENSG00000207735	MI0003164
ENSG00000207736	MI0003681
ENSG00000207737	MI0000683
ENSG00000207738	MI0003158
ENSG00000207739	MI0000295
ENSG00000207741	MI0003602
ENSG00000207742	MI0000790
ENSG00000207743	MI0003135
ENSG00000207744	MI0000267
ENSG00000207746	MI0003582
ENSG00000207747	MI0003171
ENSG00000207749	MI0000744
ENSG00000207750	MI0003558
ENSG00000207751	MI0000748
ENSG00000207752	MI0000242
ENSG00000207753	MI0001733
ENSG00000207754	MI0003530
ENSG00000207755	MI0003187
ENSG00000207756	MI0003587
ENSG00000207757	MI0000095
ENSG00000207758	MI0003205
ENSG00000207759	MI0000289
ENSG00000207761	MI0001725
ENSG00000207762	MI0001726
ENSG00000207763	MI0003631
ENSG00000207764	MI0000451
ENSG00000207766	MI0003640
ENSG00000207767	MI0003180
ENSG00000207768	MI0000484
ENSG00000207769	MI0003594
ENSG00000207770	MI0003574
ENSG00000207771	MI0003600
ENSG00000207771	MI0016686
ENSG00000207773	MI0003657
ENSG00000207773	MI0016685
ENSG00000207775	MI0003593
ENSG00000207776	MI0003556
ENSG00000207778	MI0000442
ENSG00000207778	MI0017383
ENSG00000207779	MI0000438
ENSG00000207780	MI0003663
ENSG00000207781	MI0003639
ENSG00000207782	MI0000479
ENSG00000207783	MI0003570
ENSG00000207784	MI0003686
ENSG00000207785	MI0003184
ENSG00000207788	MI0003148
ENSG00000207789	MI0000750
ENSG00000207797	MI0000274
ENSG00000207798	MI0000292
ENSG00000207799	MI0003166
ENSG00000207800	MI0003189
ENSG00000207802	MI0003661
ENSG00000207803	MI0003170
ENSG00000207804	MI0003611
ENSG00000207805	MI0002467
ENSG00000207806	MI0003177
ENSG00000207807	MI0000097
ENSG00000207808	MI0000085
ENSG00000207810	MI0003145
ENSG00000207811	MI0000742
ENSG00000207812	MI0000075
ENSG00000207813	MI0003618
ENSG00000207814	MI0000262
ENSG00000207815	MI0003569
ENSG00000207816	MI0000444
