Ensembl ID	EntrezGene_trans_name ID
ENSG00000224023	FLJ37035-001
ENSG00000224023	FLJ37035-002
ENSG00000224023	FLJ37035-003
ENSG00000224023	FLJ37035-004
ENSG00000224023	FLJ37035-005
ENSG00000224023	FLJ37035-006
ENSG00000224609	HSD52-001
ENSG00000224609	HSD52-002
ENSG00000224609	HSD52-003
ENSG00000224609	HSD52-004
ENSG00000224609	HSD52-005
ENSG00000224609	HSD52-006
ENSG00000224609	HSD52-007
ENSG00000224609	HSD52-008
ENSG00000224609	HSD52-009
ENSG00000224792	IQCF4-001
ENSG00000224792	IQCF4-002
ENSG00000224792	IQCF4-003
ENSG00000224792	IQCF4-004
ENSG00000224792	IQCF4-005
ENSG00000225177	FLJ46906-001
ENSG00000225177	FLJ46906-002
ENSG00000225177	FLJ46906-003
ENSG00000225177	FLJ46906-004
ENSG00000225210	DUXAP10-001
ENSG00000225210	DUXAP10-002
ENSG00000225210	DUXAP10-003
ENSG00000225210	DUXAP10-004
ENSG00000225210	DUXAP10-005
ENSG00000225210	DUXAP10-006
ENSG00000225210	DUXAP10-007
ENSG00000225210	DUXAP10-008
ENSG00000225391	NHEG1-001
ENSG00000225391	NHEG1-002
ENSG00000225655	PGM5-AS1-001
ENSG00000225655	PGM5-AS1-002
ENSG00000225930	DKFZP434L187-001
ENSG00000225930	DKFZP434L187-201
ENSG00000226025	LGALS17A-001
ENSG00000226025	LGALS17A-002
ENSG00000226025	LGALS17A-004
ENSG00000226025	LGALS17A-005
ENSG00000226025	LGALS17A-006
ENSG00000226067	LINC00869-001
ENSG00000226067	LINC00869-002
ENSG00000226067	LINC00869-003
ENSG00000226067	LINC00869-004
ENSG00000226067	LINC00869-005
ENSG00000226210	WASH7P-001
ENSG00000226400	LSP1P3-001
ENSG00000226757	PP12613-001
ENSG00000227449	KGFLP1-001
ENSG00000227449	KGFLP1-002
ENSG00000227449	KGFLP1-003
ENSG00000227508	FLJ38122-001
ENSG00000227508	FLJ38122-002
ENSG00000227508	FLJ38122-003
ENSG00000227744	FLJ43879-001
ENSG00000227908	FLJ31104-001
ENSG00000228592	D21S2088E-001
ENSG00000228741	SPATA13-001
ENSG00000229738	SNRNP27-001
ENSG00000229951	FLJ31356-001
ENSG00000229951	FLJ31356-002
ENSG00000230090	LINC01248-001
ENSG00000230090	LINC01248-002
ENSG00000230133	FLJ33581-001
ENSG00000230806	SRGAP2-AS1-001
ENSG00000230806	SRGAP2-AS1-002
ENSG00000231216	GS1-600G8.3-001
ENSG00000231955	GCSHP3-001
ENSG00000231999	FLJ27354-001
ENSG00000231999	FLJ27354-002
ENSG00000231999	FLJ27354-003
ENSG00000231999	FLJ27354-004
ENSG00000232774	FLJ22447-001
ENSG00000232774	FLJ22447-002
ENSG00000232774	FLJ22447-003
ENSG00000232938	FLJ43681-001
ENSG00000232938	FLJ43681-002
ENSG00000232995	RGS5-001
ENSG00000232995	RGS5-002
ENSG00000232995	RGS5-003
ENSG00000232995	RGS5-005
ENSG00000232995	RGS5-006
ENSG00000232995	RGS5-008
ENSG00000232995	RGS5-009
ENSG00000232995	RGS5-011
ENSG00000232995	RGS5-013
ENSG00000233907	FLJ31662-001
ENSG00000233954	UQCRHL-001
ENSG00000234352	MIR490-001
ENSG00000234352	MIR490-002
ENSG00000234352	MIR490-003
ENSG00000234352	MIR490-004
ENSG00000234352	MIR490-005
ENSG00000234352	MIR490-006
ENSG00000234352	MIR490-007
ENSG00000234352	MIR490-008
ENSG00000234352	MIR490-009
ENSG00000234754	C1orf140-001
ENSG00000234754	C1orf140-002
ENSG00000235295	FLJ41941-001
ENSG00000235760	HCG2040054-001
ENSG00000235760	HCG2040054-002
ENSG00000235859	DKFZP586I1420-001
ENSG00000236105	SLMO2-ATP5E-001
ENSG00000236306	LINC01241-001
ENSG00000236819	HP08942-001
ENSG00000237372	UNQ6494-001
ENSG00000237372	UNQ6494-003
ENSG00000237413	MGC27382-001
ENSG00000237413	MGC27382-002
ENSG00000237753	FLJ42351-001
ENSG00000239467	ERICH2-001
ENSG00000239467	ERICH2-002
ENSG00000240996	FLJ37201-001
ENSG00000241098	FLJ46066-001
