Ensembl ID	RefSeq_mRNA_predicted ID
ENSG00000132329	NM_005855
ENSG00000132330	NM_016510
ENSG00000132334	NM_006504
ENSG00000132334	NM_130435
ENSG00000132334	XM_005252691
ENSG00000132334	XM_005252692
ENSG00000132334	XM_006717932
ENSG00000132341	NM_001300796
ENSG00000132341	NM_001300797
ENSG00000132341	NM_006325
ENSG00000132341	XM_005253592
ENSG00000132356	NM_006251
ENSG00000132356	NM_206907
ENSG00000132356	XM_006714481
ENSG00000132356	XM_006714482
ENSG00000132357	NM_032587
ENSG00000132359	NM_001100398
ENSG00000132359	NM_015085
ENSG00000132359	XM_005256541
ENSG00000132359	XM_005256542
ENSG00000132359	XM_005256543
ENSG00000132359	XM_006721477
ENSG00000132361	NM_015229
ENSG00000132361	XM_005256565
ENSG00000132361	XM_005256567
ENSG00000132361	XM_005256568
ENSG00000132361	XM_006721491
ENSG00000132361	XM_006721492
ENSG00000132376	NM_001135642
ENSG00000132376	NM_016532
ENSG00000132376	NM_130766
ENSG00000132376	XM_005256683
ENSG00000132376	XM_006721545
ENSG00000132382	NM_001105538
ENSG00000132382	NM_014520
ENSG00000132382	XM_006721419
ENSG00000132383	NM_002945
ENSG00000132386	NM_002615
ENSG00000132386	XR_425329
ENSG00000132386	XR_430448
ENSG00000132386	XR_433710
ENSG00000132388	NM_003342
ENSG00000132394	NM_021937
ENSG00000132394	XM_006713723
ENSG00000132405	NM_001113361
ENSG00000132405	NM_001113363
ENSG00000132405	NM_001286805
ENSG00000132405	NM_020773
ENSG00000132405	XM_006713895
ENSG00000132405	XM_006713896
ENSG00000132406	NM_001297551
ENSG00000132406	NM_001297552
ENSG00000132406	NM_032927
ENSG00000132406	XM_005248033
ENSG00000132406	XM_005248034
ENSG00000132406	XM_006713928
ENSG00000132423	NM_017421
ENSG00000132423	XM_005267018
ENSG00000132423	XM_006715501
ENSG00000132424	NM_015491
ENSG00000132424	NM_032870
ENSG00000132424	XM_005266913
ENSG00000132429	NM_022361
ENSG00000132429	NR_024539
ENSG00000132432	NM_001012456
ENSG00000132432	NM_014302
ENSG00000132434	NM_018697
ENSG00000132436	NM_001042762
ENSG00000132436	NM_001287492
ENSG00000132436	NM_001287493
ENSG00000132436	NM_001287494
ENSG00000132436	NM_001287495
ENSG00000132436	NM_001287496
ENSG00000132436	NM_022116
ENSG00000132436	XM_005271783
ENSG00000132437	NM_000790
ENSG00000132437	NM_001082971
ENSG00000132437	NM_001242886
ENSG00000132437	NM_001242887
ENSG00000132437	NM_001242888
ENSG00000132437	NM_001242889
ENSG00000132437	NM_001242890
ENSG00000132437	XM_005271745
ENSG00000132446	NM_031894
ENSG00000132463	NM_001098477
ENSG00000132463	NM_002092
ENSG00000132463	XM_005265681
ENSG00000132463	XM_005265685
ENSG00000132464	NM_031889
ENSG00000132464	XM_006714056
ENSG00000132465	NM_144646
ENSG00000132465	XM_006714211
ENSG00000132465	XM_006714212
ENSG00000132466	NM_001286771
ENSG00000132466	NM_032217
ENSG00000132466	NM_198889
ENSG00000132466	XM_005265667
ENSG00000132466	XM_005265671
ENSG00000132467	NM_020368
ENSG00000132470	NM_000213
ENSG00000132470	NM_001005619
ENSG00000132470	NM_001005731
ENSG00000132470	XM_005257312
ENSG00000132470	XM_006721867
ENSG00000132470	XM_006721868
ENSG00000132470	XM_006721870
ENSG00000132471	NM_012478
ENSG00000132475	NM_005324
ENSG00000132475	NR_039892
ENSG00000132478	NM_001080419
ENSG00000132478	XM_006722144
ENSG00000132478	XM_006722147
ENSG00000132481	NM_033452
ENSG00000132481	XM_005257787
ENSG00000132481	XM_005257788
ENSG00000132485	NM_005455
ENSG00000132485	NM_203350
ENSG00000132507	NM_001143760
ENSG00000132507	NM_001143761
ENSG00000132507	NM_001143762
ENSG00000132507	NM_001970
ENSG00000132507	XM_005256509
ENSG00000132510	NM_001080424
ENSG00000132510	XM_005256549
ENSG00000132510	XM_005256550
ENSG00000132510	XM_005256551
ENSG00000132510	XM_005256552
ENSG00000132510	XM_005256554
ENSG00000132510	XM_006721483
ENSG00000132514	NM_006344
ENSG00000132514	NM_182906
ENSG00000132514	XM_005256411
ENSG00000132514	XM_005256412
ENSG00000132517	NM_001104577
ENSG00000132517	NM_017986
ENSG00000132517	XM_005256709
ENSG00000132518	NM_000180
ENSG00000132522	NM_004489
ENSG00000132530	NM_017523
ENSG00000132530	NM_199139
ENSG00000132530	XM_005256708
ENSG00000132530	XM_006721550
ENSG00000132535	NM_001128827
ENSG00000132535	NM_001365
ENSG00000132535	XM_005256489
ENSG00000132535	XM_005256491
ENSG00000132535	XM_005256492
ENSG00000132535	XM_005256493
ENSG00000132535	XM_005256494
ENSG00000132541	NM_005836
ENSG00000132549	NM_015243
ENSG00000132549	NM_017890
ENSG00000132549	NM_152564
ENSG00000132549	NM_181661
ENSG00000132549	XM_005250800
ENSG00000132549	XM_005250801
ENSG00000132549	XM_006716510
ENSG00000132554	NM_001286692
ENSG00000132554	NM_001286693
ENSG00000132554	NM_015668
ENSG00000132554	XM_005250860
ENSG00000132554	XM_006716540
ENSG00000132561	NM_002380
ENSG00000132561	NM_030583
ENSG00000132561	XR_108869
ENSG00000132561	XR_133494
ENSG00000132561	XR_171741
ENSG00000132563	NM_001271803
ENSG00000132563	NM_016606
ENSG00000132570	NM_032151
ENSG00000132581	NM_006923
ENSG00000132581	NR_045585
ENSG00000132589	NM_004475
ENSG00000132589	XM_005257950
ENSG00000132589	XM_005257952
ENSG00000132589	XM_005257953
ENSG00000132591	NM_005702
ENSG00000132600	NM_001184824
ENSG00000132600	NM_001290018
ENSG00000132600	NM_019023
ENSG00000132600	XM_005255988
ENSG00000132600	XM_005255989
ENSG00000132600	XM_006721196
ENSG00000132603	NM_001199434
ENSG00000132603	NM_016101
ENSG00000132604	NM_005652
ENSG00000132604	XM_005256121
ENSG00000132604	XM_005256122
ENSG00000132604	XM_005256123
ENSG00000132612	NM_013245
ENSG00000132613	NM_138383
ENSG00000132622	NM_001197327
ENSG00000132622	NM_052970
ENSG00000132622	XM_005260656
ENSG00000132622	XM_005260658
ENSG00000132623	NM_022096
ENSG00000132623	NM_198798
ENSG00000132623	XM_005260792
ENSG00000132631	NM_178483
ENSG00000132635	NM_001271168
ENSG00000132635	NM_022760
ENSG00000132635	XM_005260804
ENSG00000132635	XM_005260805
ENSG00000132639	NM_003081
ENSG00000132639	NM_130811
ENSG00000132639	XM_005260808
ENSG00000132639	XM_005260810
ENSG00000132640	NM_001282550
ENSG00000132640	NM_001282551
ENSG00000132640	NM_001282554
ENSG00000132640	NM_014962
ENSG00000132640	NM_181443
ENSG00000132640	XM_006723550
ENSG00000132640	XM_006723551
ENSG00000132646	NM_002592
ENSG00000132646	NM_182649
ENSG00000132661	NM_013248
ENSG00000132664	NM_001282526
ENSG00000132664	NM_006466
ENSG00000132669	NM_001242581
ENSG00000132669	NM_018993
ENSG00000132669	XM_005260730
ENSG00000132669	XM_005260731
ENSG00000132669	XM_005260732
ENSG00000132669	XM_005260733
ENSG00000132669	XM_006723573
ENSG00000132669	XM_006723574
ENSG00000132669	XM_006723575
ENSG00000132669	XM_006723576
ENSG00000132669	XM_006723577
ENSG00000132670	NM_002836
ENSG00000132670	NM_080840
ENSG00000132670	NM_080841
ENSG00000132671	NM_001052
ENSG00000132676	NM_001199849
ENSG00000132676	NM_001199850
ENSG00000132676	NM_001199851
ENSG00000132676	NM_004632
ENSG00000132676	NM_033657
ENSG00000132676	XM_005245480
ENSG00000132677	NM_001256395
ENSG00000132677	NM_001256396
ENSG00000132677	NM_020407
ENSG00000132680	NM_014949
ENSG00000132681	NM_001001734
ENSG00000132681	NM_144699
ENSG00000132688	NM_006617
ENSG00000132692	NM_021948
ENSG00000132692	NM_198427
ENSG00000132693	NM_000567
ENSG00000132694	NM_014784
ENSG00000132694	NM_198236
ENSG00000132694	XM_005245629
ENSG00000132694	XM_005245633
ENSG00000132694	XM_006711663
ENSG00000132698	NM_020387
ENSG00000132702	NM_021817
ENSG00000132702	XM_005245415
ENSG00000132703	NM_001639
ENSG00000132704	NM_030764
ENSG00000132716	NM_015726
ENSG00000132718	NM_152280
ENSG00000132718	XM_005245014
ENSG00000132740	NM_002180
ENSG00000132740	XM_005273974
ENSG00000132740	XR_247198
ENSG00000132744	NM_080658
ENSG00000132746	NM_000695
ENSG00000132746	NM_001031615
ENSG00000132749	NM_001039656
ENSG00000132749	NM_004923
ENSG00000132749	XR_428932
ENSG00000132749	XR_428933
ENSG00000132749	XR_428934
ENSG00000132763	NM_015506
ENSG00000132768	NM_001039589
ENSG00000132768	NM_001384
ENSG00000132768	XM_005270559
ENSG00000132773	NM_025077
ENSG00000132773	XM_005270412
ENSG00000132780	NM_001195193
ENSG00000132780	NM_002482
ENSG00000132780	NM_152298
ENSG00000132780	XM_005270888
ENSG00000132780	XR_427796
ENSG00000132780	XR_429143
ENSG00000132780	XR_431937
ENSG00000132780	XR_432836
ENSG00000132781	NM_001048171
ENSG00000132781	NM_001048172
ENSG00000132781	NM_001048173
ENSG00000132781	NM_001048174
ENSG00000132781	NM_001128425
ENSG00000132781	NM_001293190
ENSG00000132781	NM_001293191
ENSG00000132781	NM_001293192
ENSG00000132781	NM_001293195
ENSG00000132781	NM_001293196
ENSG00000132781	NM_012222
ENSG00000132781	XM_005270880
ENSG00000132781	XM_005270881
ENSG00000132781	XM_006710648
ENSG00000132792	NM_001281495
ENSG00000132792	NM_030877
ENSG00000132793	NM_022896
ENSG00000132793	XM_005260515
ENSG00000132793	XM_006723859
ENSG00000132793	XM_006723860
ENSG00000132793	XM_006723861
ENSG00000132793	XM_006723863
ENSG00000132793	XR_430312
ENSG00000132801	NM_080752
ENSG00000132801	XM_006723709
ENSG00000132819	NM_017495
ENSG00000132819	NM_183425
ENSG00000132821	NM_080607
ENSG00000132823	NM_016470
ENSG00000132823	XM_005260424
ENSG00000132823	XM_005260425
ENSG00000132823	XM_006723803
ENSG00000132824	NM_006811
ENSG00000132824	NM_198941
ENSG00000132825	NM_006242
ENSG00000132832	NR_034104
ENSG00000132837	NM_013391
ENSG00000132837	XM_006714597
ENSG00000132840	NM_001178005
ENSG00000132840	NM_017614
ENSG00000132842	NM_001271769
ENSG00000132842	NM_003664
ENSG00000132842	XM_005248618
ENSG00000132842	XM_005248619
ENSG00000132846	NM_032367
ENSG00000132849	NM_176877
ENSG00000132849	XM_005270341
ENSG00000132849	XM_005270343
ENSG00000132849	XM_005270345
ENSG00000132849	XM_005270347
ENSG00000132849	XM_006710275
ENSG00000132849	XM_006710276
ENSG00000132849	XM_006710277
ENSG00000132849	XM_006710278
ENSG00000132854	NM_181712
ENSG00000132855	NM_014495
ENSG00000132872	NM_020783
ENSG00000132874	NM_001242692
ENSG00000132874	NM_007163
ENSG00000132874	XM_005276012
ENSG00000132879	NM_001014765
ENSG00000132879	NM_033182
ENSG00000132879	NM_183412
ENSG00000132879	NM_183413
ENSG00000132879	XM_005263538
ENSG00000132879	XM_006711043
ENSG00000132879	XM_006711044
ENSG00000132879	XM_006711046
ENSG00000132879	XM_006711047
ENSG00000132881	NM_030907
ENSG00000132906	NM_001229
ENSG00000132906	NM_001278054
ENSG00000132906	NM_032996
ENSG00000132906	XM_005246014
ENSG00000132911	NM_020167
ENSG00000132912	NM_001135643
ENSG00000132912	NM_001135644
ENSG00000132912	NM_016221
ENSG00000132915	NM_000440
ENSG00000132915	XR_427777
ENSG00000132932	NM_016529
ENSG00000132932	XM_005266419
ENSG00000132932	XM_006719832
ENSG00000132932	XM_006719833
ENSG00000132932	XM_006719834
ENSG00000132932	XM_006719835
ENSG00000132932	XM_006719836
ENSG00000132938	NM_001033602
ENSG00000132938	NM_015233
ENSG00000132950	NM_001039649
ENSG00000132950	NM_001039650
ENSG00000132950	NM_001142684
ENSG00000132950	XM_005266593
ENSG00000132950	XM_005266594
ENSG00000132950	XM_006719894
ENSG00000132952	NM_005800
ENSG00000132952	XM_005266213
ENSG00000132952	XM_005266214
ENSG00000132952	XM_006719751
ENSG00000132953	NM_022459
ENSG00000132953	XM_005266502
ENSG00000132953	XM_005266504
ENSG00000132958	NM_001141968
ENSG00000132958	NM_130785
ENSG00000132958	NM_199254
ENSG00000132963	NM_015932
ENSG00000132964	NM_001260
ENSG00000132964	XM_005266215
ENSG00000132964	XM_005266216
ENSG00000132965	NM_001204406
ENSG00000132965	NM_001629
ENSG00000132970	NM_001291965
ENSG00000132970	NM_006646
ENSG00000132970	XM_005266239
ENSG00000132972	NM_001184993
ENSG00000132972	NM_031277
ENSG00000132972	XM_005266473
ENSG00000132972	XM_006719850
ENSG00000132972	XM_006719851
ENSG00000132972	XM_006719853
ENSG00000132975	NM_005288
ENSG00000132975	XM_005266360
ENSG00000133019	NM_000740
ENSG00000133019	XM_005273032
ENSG00000133019	XM_005273033
ENSG00000133019	XM_005273034
ENSG00000133019	XM_006711732
ENSG00000133020	NM_002472
ENSG00000133026	NM_001256012
ENSG00000133026	NM_001256095
ENSG00000133026	NM_005964
ENSG00000133026	XM_005256651
ENSG00000133026	XM_005256653
ENSG00000133027	NM_001267551
ENSG00000133027	NM_001267552
ENSG00000133027	NM_007169
ENSG00000133027	NM_148172
ENSG00000133027	NM_148173
ENSG00000133027	XM_006721418
ENSG00000133028	NM_004589
ENSG00000133028	XM_005256751
ENSG00000133030	NM_015134
ENSG00000133030	NM_201274
ENSG00000133048	NM_001276
ENSG00000133055	NM_004997
ENSG00000133055	XM_005245196
ENSG00000133056	NM_002646
ENSG00000133056	XM_005245257
ENSG00000133056	XM_005245258
ENSG00000133056	XM_006711384
ENSG00000133059	NM_015375
ENSG00000133059	NM_199462
ENSG00000133063	NM_001256125
ENSG00000133063	NM_001270509
ENSG00000133063	NM_003465
ENSG00000133065	NM_173854
ENSG00000133065	XM_005245069
ENSG00000133067	NM_001017403
ENSG00000133067	NM_001017404
ENSG00000133067	NM_021636
ENSG00000133067	XM_005245404
ENSG00000133069	NM_001242925
ENSG00000133069	NM_001297611
ENSG00000133069	NM_001297613
ENSG00000133069	NM_014858
ENSG00000133069	XM_005245684
ENSG00000133069	XM_005245685
ENSG00000133069	XM_005245686
ENSG00000133069	XM_005245689
ENSG00000133069	XM_005245690
ENSG00000133069	XM_006711694
ENSG00000133083	NM_001195415
ENSG00000133083	NM_001195416
ENSG00000133083	NM_004734
ENSG00000133083	XM_005266592
ENSG00000133083	XM_006719893
ENSG00000133101	NM_001111045
ENSG00000133101	NM_001111046
ENSG00000133101	NM_001111047
ENSG00000133101	NM_003914
ENSG00000133103	NM_001145079
ENSG00000133103	NM_020751
ENSG00000133104	NM_001142294
ENSG00000133104	NM_001142295
ENSG00000133104	NM_001142296
ENSG00000133104	NM_015087
ENSG00000133104	XM_005266313
ENSG00000133104	XM_005266314
ENSG00000133104	XM_005266315
ENSG00000133104	XM_005266316
ENSG00000133104	XM_005266317
ENSG00000133105	NM_001166058
ENSG00000133105	NM_130806
ENSG00000133106	NM_001002264
ENSG00000133106	NM_033255
ENSG00000133107	NM_001135955
ENSG00000133107	NM_001135956
ENSG00000133107	NM_001135957
ENSG00000133107	NM_001135958
ENSG00000133107	NM_003306
ENSG00000133107	NM_016179
ENSG00000133110	NM_001135934
ENSG00000133110	NM_001135935
ENSG00000133110	NM_001135936
ENSG00000133110	NM_001286665
ENSG00000133110	NM_001286666
ENSG00000133110	NM_001286667
ENSG00000133110	NM_006475
ENSG00000133110	XM_005266231
ENSG00000133111	NM_000538
ENSG00000133112	NM_001286272
ENSG00000133112	NM_001286273
ENSG00000133112	NM_003295
ENSG00000133112	XR_242670
ENSG00000133112	XR_250536
ENSG00000133112	XR_252641
ENSG00000133114	NM_018559
ENSG00000133114	XM_005266443
ENSG00000133115	NM_001144033
ENSG00000133115	NM_145286
ENSG00000133116	NM_004795
ENSG00000133116	XM_006719895
ENSG00000133119	NM_002915
ENSG00000133119	NM_181558
ENSG00000133121	NM_001243476
ENSG00000133121	NM_052851
ENSG00000133121	NM_178006
ENSG00000133121	NM_178007
ENSG00000133121	XM_005266586
ENSG00000133121	XM_006719888
ENSG00000133121	XM_006719889
ENSG00000133124	NM_003604
ENSG00000133124	XM_005262220
ENSG00000133124	XM_006724713
ENSG00000133131	NM_001085354
ENSG00000133131	NM_024657
ENSG00000133131	XM_005262190
ENSG00000133131	XM_006724692
ENSG00000133134	NM_001168399
ENSG00000133134	NM_001168400
ENSG00000133134	NM_001168401
ENSG00000133134	NM_032621
ENSG00000133135	NM_024539
ENSG00000133135	NM_194463
ENSG00000133138	NM_017752
ENSG00000133138	NM_198881
ENSG00000133138	XM_006724670
ENSG00000133142	NM_001006935
ENSG00000133142	NM_001006937
ENSG00000133142	NM_001300901
ENSG00000133142	NM_024863
ENSG00000133142	XM_005262192
ENSG00000133142	XM_005262194
ENSG00000133169	NM_018476
ENSG00000133193	NM_001098832
ENSG00000133193	NM_001289410
ENSG00000133193	NM_001289411
ENSG00000133193	NM_001289412
ENSG00000133193	NM_032837
ENSG00000133195	NM_001159770
ENSG00000133195	NM_139177
ENSG00000133195	XM_005257134
ENSG00000133195	XM_005257135
ENSG00000133195	XM_005257136
ENSG00000133195	XM_006721754
ENSG00000133195	XM_006721755
ENSG00000133216	NM_004442
ENSG00000133216	NM_017449
ENSG00000133216	XM_006710441
ENSG00000133226	NM_005839
ENSG00000133226	XM_005245717
ENSG00000133226	XM_005245718
ENSG00000133226	XM_005245719
ENSG00000133226	XM_005245720
ENSG00000133226	XM_005245721
ENSG00000133226	XR_241182
ENSG00000133226	XR_241183
ENSG00000133243	NM_017797
ENSG00000133243	XM_005259593
ENSG00000133246	NM_032152
ENSG00000133247	NM_032701
ENSG00000133247	XM_005259338
ENSG00000133247	XM_006723442
ENSG00000133250	NM_001146175
ENSG00000133250	NM_032370
ENSG00000133256	NM_000283
ENSG00000133256	NM_001145291
ENSG00000133256	NM_001145292
ENSG00000133265	NM_001130106
ENSG00000133265	NM_001297600
ENSG00000133265	NM_012267
ENSG00000133265	XM_005258700
ENSG00000133265	XM_005258701
ENSG00000133275	NM_001319
ENSG00000133302	NM_032290
ENSG00000133302	XM_005272113
ENSG00000133302	XM_006714720
ENSG00000133313	NM_001168499
ENSG00000133313	NM_018235
ENSG00000133313	XM_005266728
ENSG00000133313	XM_006722502
ENSG00000133313	XM_006722503
ENSG00000133315	NM_014067
ENSG00000133315	XM_005273939
ENSG00000133316	NM_018093
ENSG00000133317	NM_001142535
ENSG00000133317	NM_001142536
ENSG00000133317	NM_001142537
ENSG00000133317	NM_001142538
ENSG00000133317	NM_033101
ENSG00000133318	NM_001265589
ENSG00000133318	NM_001265590
ENSG00000133318	NM_001265591
ENSG00000133318	NM_006054
ENSG00000133318	NM_201428
ENSG00000133318	NM_201429
ENSG00000133318	NM_201430
ENSG00000133321	NM_004585
ENSG00000133328	NM_017878
ENSG00000133392	NM_001040113
ENSG00000133392	NM_001040114
ENSG00000133392	NM_002474
ENSG00000133392	NM_022844
ENSG00000133393	NM_144600
ENSG00000133398	NM_032286
ENSG00000133401	NM_178140
ENSG00000133401	XM_005248270
ENSG00000133422	NM_014941
ENSG00000133422	XM_005261391
ENSG00000133422	XM_005261392
ENSG00000133424	NM_004737
ENSG00000133424	NM_133642
ENSG00000133424	XM_005261831
ENSG00000133424	XM_006724375
ENSG00000133433	NM_001080843
ENSG00000133433	XM_005261590
ENSG00000133433	XM_005261715
ENSG00000133433	XM_006725408
ENSG00000133454	NM_032608
ENSG00000133454	XM_005261786
ENSG00000133454	XM_005261787
ENSG00000133454	XM_005261788
ENSG00000133454	XM_006724340
ENSG00000133454	XM_006724341
ENSG00000133460	NM_001024938
ENSG00000133460	NM_001024939
ENSG00000133460	NM_001282864
ENSG00000133460	NM_030807
ENSG00000133460	NR_104248
ENSG00000133466	NM_031910
ENSG00000133466	NM_182486
ENSG00000133466	XM_005261325
ENSG00000133466	XM_006724125
ENSG00000133466	XR_427458
ENSG00000133466	XR_431679
ENSG00000133477	NM_138435
ENSG00000133488	NM_001161368
ENSG00000133488	NM_174977
ENSG00000133488	XM_005261583
ENSG00000133488	XM_006724231
ENSG00000133488	XM_006724232
ENSG00000133488	XM_006724233
ENSG00000133488	XM_006724234
ENSG00000133488	XM_006724235
ENSG00000133519	NR_003950
ENSG00000133561	NM_001244071
ENSG00000133561	NM_001244072
ENSG00000133561	NM_024711
ENSG00000133574	NM_018326
ENSG00000133574	XM_005250017
ENSG00000133574	XM_005250018
ENSG00000133597	NM_052853
ENSG00000133606	NM_001145125
ENSG00000133606	NM_001291663
ENSG00000133606	NM_013446
ENSG00000133612	NM_001042535
ENSG00000133612	NM_001281300
ENSG00000133612	NM_031946
ENSG00000133612	XM_005249942
ENSG00000133619	NM_001290187
ENSG00000133619	NM_032534
ENSG00000133624	NR_027788
ENSG00000133624	NR_027789
ENSG00000133627	NM_001040135
ENSG00000133627	NM_020445
ENSG00000133627	XM_006716064
ENSG00000133627	XM_006716068
ENSG00000133636	NM_006183
ENSG00000133639	NM_001731
ENSG00000133640	NM_001079910
ENSG00000133640	XM_005269183
ENSG00000133640	XM_006719635
ENSG00000133641	NM_001009894
ENSG00000133657	NM_024524
ENSG00000133657	XM_005269357
ENSG00000133657	XM_005269358
ENSG00000133657	XM_005269360
ENSG00000133657	XM_006713742
ENSG00000133661	NM_003019
ENSG00000133665	NM_001270041
ENSG00000133665	NM_001270042
ENSG00000133665	NM_032372
ENSG00000133678	NM_001270367
ENSG00000133678	NM_001270368
ENSG00000133678	NM_001270370
ENSG00000133678	NM_001270371
ENSG00000133678	NM_001270372
ENSG00000133678	NM_001270373
ENSG00000133678	NM_001270374
ENSG00000133678	NM_025125
ENSG00000133678	NR_072984
ENSG00000133678	NR_072985
ENSG00000133678	NR_072986
ENSG00000133678	XM_006717978
ENSG00000133678	XM_006717980
ENSG00000133678	XM_006717981
ENSG00000133687	NM_001193451
ENSG00000133687	NM_175861
ENSG00000133687	XM_005253502
ENSG00000133703	NM_004985
ENSG00000133703	NM_033360
ENSG00000133703	XM_006719069
ENSG00000133704	NM_001190995
ENSG00000133704	NM_006390
ENSG00000133706	NM_020117
ENSG00000133706	XR_424134
ENSG00000133706	XR_425899
ENSG00000133706	XR_431907
ENSG00000133710	NM_001127698
ENSG00000133710	NM_001127699
ENSG00000133710	NM_006846
ENSG00000133731	NM_001144878
ENSG00000133731	NM_001144879
ENSG00000133731	NM_005536
ENSG00000133739	NM_033402
ENSG00000133739	XM_005251318
ENSG00000133739	XM_005251321
ENSG00000133740	NM_001083588
ENSG00000133740	NM_001083589
ENSG00000133740	NM_001951
ENSG00000133740	XM_006716434
ENSG00000133742	NM_001128829
ENSG00000133742	NM_001128830
ENSG00000133742	NM_001128831
ENSG00000133742	NM_001164830
ENSG00000133742	NM_001738
ENSG00000133773	NM_014167
ENSG00000133773	NR_033192
ENSG00000133789	NM_001297714
ENSG00000133789	NM_015055
ENSG00000133789	XM_005252829
ENSG00000133789	XM_005252830
ENSG00000133794	NM_001030272
ENSG00000133794	NM_001030273
ENSG00000133794	NM_001178
ENSG00000133794	NM_001297719
ENSG00000133794	NM_001297722
ENSG00000133794	NM_001297724
ENSG00000133794	XM_005252928
ENSG00000133794	XM_005252929
ENSG00000133794	XM_005252930
ENSG00000133794	XM_006718233
ENSG00000133794	XM_006718234
ENSG00000133794	XM_006718235
ENSG00000133800	NM_006691
ENSG00000133805	NM_000480
ENSG00000133805	NM_001025389
ENSG00000133805	NM_001025390
ENSG00000133805	NM_001172430
ENSG00000133805	NM_001172431
ENSG00000133805	NR_103765
ENSG00000133808	NM_032867
ENSG00000133808	XM_005253178
ENSG00000133812	NM_030962
ENSG00000133816	NM_001282663
ENSG00000133816	NM_001282664
ENSG00000133816	NM_001282665
ENSG00000133816	NM_001282666
ENSG00000133816	NM_001282667
ENSG00000133816	NM_014632
ENSG00000133816	XM_005253249
ENSG00000133818	NM_001102669
ENSG00000133818	NM_001177314
ENSG00000133818	NM_001177315
ENSG00000133818	NM_012250
ENSG00000133835	NM_000414
ENSG00000133835	NM_001199291
ENSG00000133835	NM_001199292
ENSG00000133835	NM_001292027
ENSG00000133835	NM_001292028
ENSG00000133858	NM_144982
ENSG00000133863	NM_031271
ENSG00000133863	XM_005273575
ENSG00000133863	XM_005273576
ENSG00000133863	XM_006716369
ENSG00000133863	XM_006716370
ENSG00000133872	NM_001284239
ENSG00000133872	NM_016127
ENSG00000133874	NM_024787
ENSG00000133878	NM_024025
ENSG00000133878	XM_005273633
ENSG00000133884	NM_006268
ENSG00000133884	XM_005274149
ENSG00000133895	NM_000244
ENSG00000133895	NM_130799
ENSG00000133895	NM_130800
ENSG00000133895	NM_130801
ENSG00000133895	NM_130802
ENSG00000133895	NM_130803
ENSG00000133895	NM_130804
ENSG00000133895	XM_005274001
ENSG00000133895	XM_005274002
ENSG00000133895	XM_005274003
ENSG00000133895	XM_006718557
ENSG00000133935	NM_007176
ENSG00000133937	NM_173849
ENSG00000133943	NM_001102366
ENSG00000133943	NM_001102367
ENSG00000133943	NM_001102368
ENSG00000133943	NM_001102369
ENSG00000133943	NM_001286470
ENSG00000133943	NM_001286471
ENSG00000133943	NM_001286472
ENSG00000133943	NM_001286473
ENSG00000133943	NM_024952
ENSG00000133958	NM_020818
ENSG00000133958	XM_006720220
ENSG00000133958	XM_006725167
ENSG00000133961	NM_001005743
ENSG00000133961	NM_001005744
ENSG00000133961	NM_001005745
ENSG00000133961	NM_003744
ENSG00000133961	XM_005268142
ENSG00000133961	XM_005268143
ENSG00000133961	XM_005268144
ENSG00000133961	XM_005268145
ENSG00000133961	XM_005268146
ENSG00000133961	XM_006720283
ENSG00000133961	XM_006720284
ENSG00000133961	XM_006720285
ENSG00000133961	XM_006720286
ENSG00000133961	XM_006720287
ENSG00000133961	XM_006720293
ENSG00000133961	XM_006720294
ENSG00000133961	XM_006720295
ENSG00000133961	XM_006720296
ENSG00000133961	XR_245781
ENSG00000133961	XR_245783
ENSG00000133961	XR_248038
ENSG00000133961	XR_248040
ENSG00000133961	XR_248042
ENSG00000133961	XR_253273
ENSG00000133961	XR_253275
ENSG00000133962	NM_024764
ENSG00000133980	NM_018228
ENSG00000133983	NM_016468
ENSG00000133985	NM_015351
ENSG00000133997	NM_001284209
ENSG00000133997	NM_001284210
ENSG00000133997	NM_001284211
ENSG00000133997	NM_005466
ENSG00000134001	NM_004094
ENSG00000134007	NM_003814
ENSG00000134007	XM_005268151
ENSG00000134007	XM_005268152
ENSG00000134013	NM_002318
ENSG00000134014	NM_001284220
ENSG00000134014	NM_001284222
ENSG00000134014	NM_001284224
ENSG00000134014	NM_001284225
ENSG00000134014	NM_001284226
ENSG00000134014	NM_018091
ENSG00000134014	XM_006716354
ENSG00000134020	NM_144962
ENSG00000134028	NM_001145271
ENSG00000134028	NM_001145272
ENSG00000134028	NM_014479
ENSG00000134028	XR_428306
ENSG00000134030	NM_001142397
ENSG00000134030	NM_014772
ENSG00000134030	XM_006722587
ENSG00000134030	XM_006722588
ENSG00000134030	XM_006722589
ENSG00000134042	NM_001127174
ENSG00000134042	NM_001127175
ENSG00000134042	NM_001127176
ENSG00000134042	NM_031939
ENSG00000134042	XM_005258366
ENSG00000134042	XM_005258368
ENSG00000134046	NM_003927
ENSG00000134046	NM_015832
ENSG00000134049	NM_016097
ENSG00000134056	NM_033281
ENSG00000134057	NM_031966
ENSG00000134058	NM_001799
ENSG00000134061	NM_005582
ENSG00000134061	XM_005248504
ENSG00000134070	NM_001570
ENSG00000134072	NM_003656
ENSG00000134072	XM_005265517
ENSG00000134077	NM_001114092
ENSG00000134077	NM_015453
ENSG00000134077	XM_005265021
ENSG00000134077	XM_005265022
ENSG00000134077	XM_005265023
ENSG00000134077	XM_005265024
ENSG00000134077	XM_006713086
