Ensembl ID	RefSeq_mRNA_predicted ID
ENSG00000004455	NM_001199199
ENSG00000004455	NM_001625
ENSG00000004455	NM_013411
ENSG00000004468	NM_001775
ENSG00000004478	NM_002014
ENSG00000004487	NM_001009999
ENSG00000004487	NM_015013
ENSG00000004487	XM_005245786
ENSG00000004487	XM_006710472
ENSG00000004487	XM_006710474
ENSG00000004534	NM_001167582
ENSG00000004534	NM_005777
ENSG00000004534	XM_005264784
ENSG00000004534	XM_005264786
ENSG00000004534	XM_005264787
ENSG00000004534	XM_005264788
ENSG00000004534	XM_006712916
ENSG00000004660	NM_032294
ENSG00000004660	NM_172206
ENSG00000004660	NM_172207
ENSG00000004660	XM_005256820
ENSG00000004700	NM_002907
ENSG00000004700	NM_032941
ENSG00000004700	XM_005253461
ENSG00000004700	XM_005253462
ENSG00000004700	XM_005253463
ENSG00000004700	XM_005253464
ENSG00000004700	XM_006719133
ENSG00000004766	NM_001257998
ENSG00000004766	NM_017667
ENSG00000004766	NM_024553
ENSG00000004776	NM_144617
ENSG00000004777	NM_001172630
ENSG00000004777	NM_052948
ENSG00000004777	XM_005258487
ENSG00000004777	XM_005258488
ENSG00000004777	XM_005258489
ENSG00000004779	NM_005003
ENSG00000004799	NM_002612
ENSG00000004809	NM_033125
ENSG00000004838	NM_015896
ENSG00000004846	NM_001163941
ENSG00000004846	NM_001163942
ENSG00000004846	NM_001163993
ENSG00000004846	NM_178559
ENSG00000004848	NM_139058
ENSG00000004864	NM_001160210
ENSG00000004864	NM_014251
ENSG00000004864	XM_006715830
ENSG00000004864	XM_006715831
ENSG00000004864	XM_006715834
ENSG00000004866	NM_018412
ENSG00000004866	NM_021908
ENSG00000004866	NR_002332
ENSG00000004866	NR_106748
ENSG00000004897	NM_001114091
ENSG00000004897	NM_001256
ENSG00000004897	NM_001293089
ENSG00000004897	NM_001293091
ENSG00000004897	XM_005257892
ENSG00000004897	XM_006722219
ENSG00000004897	XM_006722220
ENSG00000004897	XM_006722221
ENSG00000004939	NM_000342
ENSG00000004939	XM_005257592
ENSG00000004939	XM_005257593
ENSG00000004948	NM_001164737
ENSG00000004948	NM_001164738
ENSG00000004948	NM_001742
ENSG00000004961	NM_001122608
ENSG00000004961	NM_001171991
ENSG00000004961	NM_005333
ENSG00000004975	NM_004422
ENSG00000004975	XM_005256502
ENSG00000004975	XM_006721469
ENSG00000005001	NM_022119
ENSG00000005001	XM_005255473
ENSG00000005007	NM_001297549
ENSG00000005007	NM_002911
ENSG00000005007	XM_005260015
ENSG00000005020	NM_003930
ENSG00000005020	XM_005249901
ENSG00000005022	NM_001152
ENSG00000005059	NM_017918
ENSG00000005059	XM_006714246
ENSG00000005073	NM_005523
ENSG00000005075	NM_006234
ENSG00000005075	XM_005250452
ENSG00000005100	NM_001199699
ENSG00000005100	NM_020162
ENSG00000005102	NM_001040002
ENSG00000005102	NM_004527
ENSG00000005102	NM_013999
ENSG00000005108	NM_015204
ENSG00000005108	XM_006715661
ENSG00000005156	NM_002311
ENSG00000005156	NM_013975
ENSG00000005156	XM_005257970
ENSG00000005156	XM_005257971
ENSG00000005156	XM_006721896
ENSG00000005175	NM_001146075
ENSG00000005175	NM_001146076
ENSG00000005175	NM_024604
ENSG00000005187	NM_005622
ENSG00000005187	NM_202000
ENSG00000005189	NM_001144924
ENSG00000005189	NM_001199053
ENSG00000005189	NM_030941
ENSG00000005189	XM_005255604
ENSG00000005189	XM_005255606
ENSG00000005194	NM_020313
ENSG00000005194	XM_005256061
ENSG00000005194	XM_005256062
ENSG00000005206	NM_001077238
ENSG00000005206	NM_152988
ENSG00000005238	NM_025182
ENSG00000005238	XM_005251588
ENSG00000005238	XM_005251589
ENSG00000005238	XM_005251590
ENSG00000005238	XM_005251591
ENSG00000005238	XM_005251594
ENSG00000005238	XM_005251596
ENSG00000005238	XM_005251597
ENSG00000005238	XM_005251598
ENSG00000005238	XM_006716877
ENSG00000005243	NM_016429
ENSG00000005249	NM_002736
ENSG00000005302	NM_001193270
ENSG00000005302	NM_001282174
ENSG00000005302	NM_006800
ENSG00000005302	NM_078628
ENSG00000005302	NM_078629
ENSG00000005302	XM_005274440
ENSG00000005302	XM_006724461
ENSG00000005339	NM_001079846
ENSG00000005339	NM_004380
ENSG00000005379	NM_001261835
ENSG00000005379	NM_004758
ENSG00000005379	NM_024418
ENSG00000005379	XM_006722173
ENSG00000005379	XM_006722174
ENSG00000005381	NM_000250
ENSG00000005421	NM_000446
ENSG00000005436	NM_001201334
ENSG00000005436	NM_001201335
ENSG00000005436	NM_003203
ENSG00000005448	NM_032118
ENSG00000005448	XM_005264586
ENSG00000005448	XM_006712111
ENSG00000005469	NM_001143935
ENSG00000005469	NM_001243745
ENSG00000005469	NM_021151
ENSG00000005469	XM_006716031
ENSG00000005471	NM_000443
ENSG00000005471	NM_018849
ENSG00000005471	NM_018850
ENSG00000005483	NM_018682
ENSG00000005483	NM_182931
ENSG00000005483	XM_005250493
ENSG00000005486	NM_001040456
ENSG00000005486	NM_001040457
ENSG00000005486	XM_005250511
ENSG00000005513	NM_014587
ENSG00000005700	NM_001300906
ENSG00000005700	NM_015525
ENSG00000005700	XM_006715454
ENSG00000005700	XM_006715455
ENSG00000005700	XR_428952
ENSG00000005700	XR_432263
ENSG00000005700	XR_432726
ENSG00000005801	NM_001130519
ENSG00000005801	NM_001130520
ENSG00000005801	NM_001242841
ENSG00000005801	NM_001242842
ENSG00000005801	NM_001242843
ENSG00000005801	NM_001256823
ENSG00000005801	NM_001256824
ENSG00000005801	NM_001256825
ENSG00000005801	NM_007152
ENSG00000005801	XM_006718306
ENSG00000005801	XM_006718307
ENSG00000005810	NM_015057
ENSG00000005812	NM_012158
ENSG00000005812	XM_005266336
ENSG00000005844	NM_001114380
ENSG00000005844	NM_002209
ENSG00000005844	XM_005255313
ENSG00000005844	XM_006721044
ENSG00000005882	NM_001199898
ENSG00000005882	NM_001199899
ENSG00000005882	NM_002611
ENSG00000005884	NM_002204
ENSG00000005884	NM_005501
ENSG00000005884	XR_426001
ENSG00000005889	NM_001178084
ENSG00000005889	NM_001178085
ENSG00000005889	NM_001178086
ENSG00000005889	NM_001178095
ENSG00000005889	NM_003410
ENSG00000005889	XM_005274591
ENSG00000005889	XM_005274592
ENSG00000005889	XM_005274594
ENSG00000005889	XM_006724513
ENSG00000005889	XM_006724514
ENSG00000005893	NM_001122606
ENSG00000005893	NM_002294
ENSG00000005893	NM_013995
ENSG00000005961	NM_000419
ENSG00000005981	NM_016116
ENSG00000005981	NM_145872
ENSG00000006007	NM_016641
ENSG00000006007	XM_005255355
ENSG00000006015	NM_001100418
ENSG00000006015	NM_001100419
ENSG00000006016	NM_004750
ENSG00000006025	NM_145798
ENSG00000006025	XM_005257010
ENSG00000006042	NM_001033504
ENSG00000006042	NM_015544
ENSG00000006047	NM_015982
ENSG00000006059	NM_004138
ENSG00000006062	NM_003954
ENSG00000006071	NM_000352
ENSG00000006071	NM_001287174
ENSG00000006116	NM_006539
ENSG00000006118	NM_017870
ENSG00000006118	NM_178031
ENSG00000006125	NM_001030006
ENSG00000006125	NM_001282
ENSG00000006125	XM_005257941
ENSG00000006128	NM_003182
ENSG00000006128	NM_013996
ENSG00000006128	NM_013997
ENSG00000006194	NM_005741
ENSG00000006194	NR_033904
ENSG00000006194	XM_006720834
ENSG00000006194	XM_006720835
ENSG00000006210	NM_002996
ENSG00000006282	NM_001258372
ENSG00000006282	NM_001258373
ENSG00000006282	NM_022827
ENSG00000006283	NM_001256324
ENSG00000006283	NM_001256325
ENSG00000006283	NM_001256326
ENSG00000006283	NM_001256327
ENSG00000006283	NM_001256328
ENSG00000006283	NM_001256329
ENSG00000006283	NM_001256330
ENSG00000006283	NM_001256331
ENSG00000006283	NM_001256332
ENSG00000006283	NM_001256333
ENSG00000006283	NM_001256334
ENSG00000006283	NM_001256359
ENSG00000006283	NM_001256360
ENSG00000006283	NM_001256361
ENSG00000006283	NM_018896
ENSG00000006283	NM_198376
ENSG00000006283	NM_198377
ENSG00000006283	NM_198378
ENSG00000006283	NM_198379
ENSG00000006283	NM_198380
ENSG00000006283	NM_198382
ENSG00000006283	NM_198383
ENSG00000006283	NM_198384
ENSG00000006283	NM_198385
ENSG00000006283	NM_198386
ENSG00000006283	NM_198387
ENSG00000006283	NM_198388
ENSG00000006283	NM_198396
ENSG00000006283	XM_006722160
ENSG00000006327	NM_016639
ENSG00000006377	NM_005222
ENSG00000006432	NM_001284230
ENSG00000006432	NM_001284231
ENSG00000006432	NM_001284232
ENSG00000006432	NM_033141
ENSG00000006451	NM_005402
ENSG00000006451	XM_006715762
ENSG00000006451	XM_006715763
ENSG00000006453	NM_018842
ENSG00000006459	NM_030647
ENSG00000006468	NM_001163147
ENSG00000006468	NM_001163148
ENSG00000006468	NM_001163149
ENSG00000006468	NM_001163150
ENSG00000006468	NM_001163151
ENSG00000006468	NM_001163152
ENSG00000006468	NM_004956
ENSG00000006468	XM_005249635
ENSG00000006468	XM_005249636
ENSG00000006530	NM_018238
ENSG00000006530	XM_005250021
ENSG00000006534	NM_000694
ENSG00000006534	NM_001030010
ENSG00000006534	NM_001161473
ENSG00000006555	NM_001114108
ENSG00000006555	NM_017904
ENSG00000006576	NM_001127357
ENSG00000006576	NM_001127358
ENSG00000006576	NM_001127359
ENSG00000006576	NM_001127360
ENSG00000006576	NM_020432
ENSG00000006576	XM_005250508
