GeneID	EntrezGene	Pathway
1175	L	Huntington's disease:KEGG-hsa05016
1174	L	Lysosome:KEGG-hsa04142
1173	L	Endocrine and other factor-regulated calcium reabsorption:KEGG-hsa04961
1173	L	Endocytosis:KEGG-hsa04144
1173	L	Huntington's disease:KEGG-hsa05016
23057	L	Nicotinate and nicotinamide metabolism:KEGG-hsa00760
1179	L	Olfactory transduction:KEGG-hsa04740
1179	L	Pancreatic secretion:KEGG-hsa04972
23052	L	Apoptosis:KEGG-hsa04210
513	L	Alzheimer's disease:KEGG-hsa05010
513	L	Huntington's disease:KEGG-hsa05016
513	L	Oxidative phosphorylation:KEGG-hsa00190
513	L	Parkinson's disease:KEGG-hsa05012
29922	L	Purine metabolism:KEGG-hsa00230
29922	L	Pyrimidine metabolism:KEGG-hsa00240
7188	L	Pathways in cancer:KEGG-hsa05200
7188	L	Small cell lung cancer:KEGG-hsa05222
7189	L	Chagas disease (American trypanosomiasis):KEGG-hsa05142
7189	L	Endocytosis:KEGG-hsa04144
7189	L	Hepatitis C:KEGG-hsa05160
7189	L	Leishmaniasis:KEGG-hsa05140
7189	L	MAPK signaling pathway:KEGG-hsa04010
7189	L	Measles:KEGG-hsa05162
7189	L	NOD-like receptor signaling pathway:KEGG-hsa04621
7189	L	Neurotrophin signaling pathway:KEGG-hsa04722
7189	L	Osteoclast differentiation:KEGG-hsa04380
7189	L	Pathways in cancer:KEGG-hsa05200
7189	L	RIG-I-like receptor signaling pathway:KEGG-hsa04622
7189	L	Small cell lung cancer:KEGG-hsa05222
7189	L	Toll-like receptor signaling pathway:KEGG-hsa04620
7189	L	Toxoplasmosis:KEGG-hsa05145
7189	L	Tuberculosis:KEGG-hsa05152
7189	L	Ubiquitin mediated proteolysis:KEGG-hsa04120
29102	L	Ribosome biogenesis in eukaryotes:KEGG-hsa03008
7184	L	NOD-like receptor signaling pathway:KEGG-hsa04621
7184	L	Pathways in cancer:KEGG-hsa05200
7184	L	Prostate cancer:KEGG-hsa05215
7184	L	Protein processing in endoplasmic reticulum:KEGG-hsa04141
7185	L	Pathways in cancer:KEGG-hsa05200
7185	L	Small cell lung cancer:KEGG-hsa05222
29107	L	RNA transport:KEGG-hsa03013
29107	L	Ribosome biogenesis in eukaryotes:KEGG-hsa03008
29107	L	mRNA surveillance pathway:KEGG-hsa03015
7187	L	Hepatitis C:KEGG-hsa05160
7187	L	Pathways in cancer:KEGG-hsa05200
7187	L	RIG-I-like receptor signaling pathway:KEGG-hsa04622
7187	L	Small cell lung cancer:KEGG-hsa05222
7187	L	Toll-like receptor signaling pathway:KEGG-hsa04620
8546	L	Lysosome:KEGG-hsa04142
8540	L	Ether lipid metabolism:KEGG-hsa00565
8540	L	Peroxisome:KEGG-hsa04146
8542	L	African trypanosomiasis:KEGG-hsa05143
2741	L	Neuroactive ligand-receptor interaction:KEGG-hsa04080
7454	L	Adherens junction:KEGG-hsa04520
7454	L	Bacterial invasion of epithelial cells:KEGG-hsa05100
7454	L	Chemokine signaling pathway:KEGG-hsa04062
7454	L	Fc gamma R-mediated phagocytosis:KEGG-hsa04666
7454	L	Pathogenic Escherichia coli infection:KEGG-hsa05130
7454	L	Regulation of actin cytoskeleton:KEGG-hsa04810
7454	L	Shigellosis:KEGG-hsa05131
7453	L	Aminoacyl-tRNA biosynthesis:KEGG-hsa00970
7453	L	Tryptophan metabolism:KEGG-hsa00380
7450	L	Complement and coagulation cascades:KEGG-hsa04610
7450	L	ECM-receptor interaction:KEGG-hsa04512
7450	L	Focal adhesion:KEGG-hsa04510
2740	L	Neuroactive ligand-receptor interaction:KEGG-hsa04080
23658	L	RNA degradation:KEGG-hsa03018
23658	L	Spliceosome:KEGG-hsa03040
