ID	SystemCode	MAPP
ENSG00000134371	En	Endoderm Differentiation:WP2853
ENSG00000181788	En	Endoderm Differentiation:WP2853
ENSG00000034152	En	Endoderm Differentiation:WP2853
ENSG00000061492	En	Endoderm Differentiation:WP2853
ENSG00000181449	En	Endoderm Differentiation:WP2853
ENSG00000147596	En	Endoderm Differentiation:WP2853
ENSG00000152804	En	Endoderm Differentiation:WP2853
ENSG00000134982	En	Endoderm Differentiation:WP2853
ENSG00000111530	En	Endoderm Differentiation:WP2853
ENSG00000087494	En	Endoderm Differentiation:WP2853
ENSG00000166477	En	Endoderm Differentiation:WP2853
ENSG00000113580	En	Endoderm Differentiation:WP2853
ENSG00000123388	En	Endoderm Differentiation:WP2853
ENSG00000171056	En	Endoderm Differentiation:WP2853
ENSG00000123892	En	Endoderm Differentiation:WP2853
ENSG00000171634	En	Endoderm Differentiation:WP2853
ENSG00000081059	En	Endoderm Differentiation:WP2853
ENSG00000207724	En	Endoderm Differentiation:WP2853
ENSG00000199143	En	Endoderm Differentiation:WP2853
ENSG00000184344	En	Endoderm Differentiation:WP2853
ENSG00000101144	En	Endoderm Differentiation:WP2853
ENSG00000156574	En	Endoderm Differentiation:WP2853
ENSG00000207708	En	Endoderm Differentiation:WP2853
ENSG00000141646	En	Endoderm Differentiation:WP2853
ENSG00000132437	En	Biogenic Amine Synthesis:WP550
ENSG00000189221	En	Biogenic Amine Synthesis:WP550
ENSG00000196433	En	Biogenic Amine Synthesis:WP550
ENSG00000123454	En	Biogenic Amine Synthesis:WP550
ENSG00000171759	En	Biogenic Amine Synthesis:WP550
ENSG00000141744	En	Biogenic Amine Synthesis:WP550
ENSG00000087085	En	Biogenic Amine Synthesis:WP550
ENSG00000136750	En	Biogenic Amine Synthesis:WP550
ENSG00000128683	En	Biogenic Amine Synthesis:WP550
ENSG00000180176	En	Biogenic Amine Synthesis:WP550
ENSG00000129167	En	Biogenic Amine Synthesis:WP550
ENSG00000129673	En	Biogenic Amine Synthesis:WP550
ENSG00000140287	En	Biogenic Amine Synthesis:WP550
ENSG00000093010	En	Biogenic Amine Synthesis:WP550
ENSG00000070748	En	Biogenic Amine Synthesis:WP550
ENSG00000091181	En	IL-5 Signaling Pathway:WP127
ENSG00000173757	En	IL-5 Signaling Pathway:WP127
ENSG00000126934	En	IL-5 Signaling Pathway:WP127
ENSG00000162434	En	IL-5 Signaling Pathway:WP127
ENSG00000160691	En	IL-5 Signaling Pathway:WP127
ENSG00000171791	En	IL-5 Signaling Pathway:WP127
ENSG00000108443	En	IL-5 Signaling Pathway:WP127
ENSG00000102882	En	IL-5 Signaling Pathway:WP127
ENSG00000177885	En	IL-5 Signaling Pathway:WP127
ENSG00000177606	En	IL-5 Signaling Pathway:WP127
ENSG00000175634	En	IL-5 Signaling Pathway:WP127
ENSG00000118689	En	IL-5 Signaling Pathway:WP127
ENSG00000100030	En	IL-5 Signaling Pathway:WP127
ENSG00000142208	En	IL-5 Signaling Pathway:WP127
ENSG00000096968	En	IL-5 Signaling Pathway:WP127
ENSG00000169032	En	IL-5 Signaling Pathway:WP127
ENSG00000170345	En	IL-5 Signaling Pathway:WP127
ENSG00000179295	En	IL-5 Signaling Pathway:WP127
ENSG00000147507	En	IL-5 Signaling Pathway:WP127
ENSG00000126767	En	IL-5 Signaling Pathway:WP127
ENSG00000219561	En	IL-5 Signaling Pathway:WP127
ENSG00000115415	En	IL-5 Signaling Pathway:WP127
ENSG00000105647	En	IL-5 Signaling Pathway:WP127
ENSG00000010671	En	IL-5 Signaling Pathway:WP127
ENSG00000115904	En	IL-5 Signaling Pathway:WP127
ENSG00000165025	En	IL-5 Signaling Pathway:WP127
ENSG00000105723	En	IL-5 Signaling Pathway:WP127
ENSG00000213688	En	IL-5 Signaling Pathway:WP127
ENSG00000126561	En	IL-5 Signaling Pathway:WP127
ENSG00000168610	En	IL-5 Signaling Pathway:WP127
ENSG00000145675	En	IL-5 Signaling Pathway:WP127
ENSG00000166068	En	IL-5 Signaling Pathway:WP127
