GeneID	HMDB	Pathway
HMDB08019	Ch	Glycerophospholipid metabolism:KEGG-hsa00564
HMDB08019	Ch	Linoleic acid metabolism:KEGG-hsa00591
HMDB08019	Ch	Metabolic pathways:KEGG-hsa01100
HMDB08019	Ch	alpha-Linolenic acid metabolism:KEGG-hsa00592
HMDB08018	Ch	Arachidonic acid metabolism:KEGG-hsa00590
HMDB08018	Ch	Glycerophospholipid metabolism:KEGG-hsa00564
HMDB08018	Ch	Linoleic acid metabolism:KEGG-hsa00591
HMDB08018	Ch	Metabolic pathways:KEGG-hsa01100
HMDB08018	Ch	alpha-Linolenic acid metabolism:KEGG-hsa00592
HMDB00192	Ch	ABC transporters:KEGG-hsa02010
HMDB00192	Ch	Cysteine and methionine metabolism:KEGG-hsa00270
HMDB00193	Ch	Citrate cycle (TCA cycle):KEGG-hsa00020
HMDB00193	Ch	Glyoxylate and dicarboxylate metabolism:KEGG-hsa00630
HMDB00193	Ch	Metabolic pathways:KEGG-hsa01100
HMDB01064	Ch	Biosynthesis of unsaturated fatty acids:KEGG-hsa01040
HMDB01067	Ch	Neuroactive ligand-receptor interaction:KEGG-hsa04080
HMDB01066	Ch	Pyruvate metabolism:KEGG-hsa00620
HMDB00190	Ch	Glycolysis / Gluconeogenesis:KEGG-hsa00010
HMDB00190	Ch	Metabolic pathways:KEGG-hsa01100
HMDB00190	Ch	Propanoate metabolism:KEGG-hsa00640
HMDB00190	Ch	Pyruvate metabolism:KEGG-hsa00620
HMDB03911	Ch	Metabolic pathways:KEGG-hsa01100
HMDB03911	Ch	Pyrimidine metabolism:KEGG-hsa00240
HMDB01062	Ch	Amino sugar and nucleotide sugar metabolism:KEGG-hsa00520
HMDB00191	Ch	Alanine, aspartate and glutamate metabolism:KEGG-hsa00250
HMDB00191	Ch	Aminoacyl-tRNA biosynthesis:KEGG-hsa00970
HMDB00191	Ch	Arginine and proline metabolism:KEGG-hsa00330
HMDB00191	Ch	Cyanoamino acid metabolism:KEGG-hsa00460
HMDB00191	Ch	Cysteine and methionine metabolism:KEGG-hsa00270
HMDB00191	Ch	Glycine, serine and threonine metabolism:KEGG-hsa00260
HMDB00191	Ch	Histidine metabolism:KEGG-hsa00340
HMDB00191	Ch	Lysine biosynthesis:KEGG-hsa00300
HMDB00191	Ch	Metabolic pathways:KEGG-hsa01100
HMDB00191	Ch	Neuroactive ligand-receptor interaction:KEGG-hsa04080
HMDB00191	Ch	Nicotinate and nicotinamide metabolism:KEGG-hsa00760
HMDB00191	Ch	Nitrogen metabolism:KEGG-hsa00910
HMDB00191	Ch	Pantothenate and CoA biosynthesis:KEGG-hsa00770
HMDB00191	Ch	beta-Alanine metabolism:KEGG-hsa00410
HMDB00259	Ch	Gap junction:KEGG-hsa04540
HMDB00259	Ch	Metabolic pathways:KEGG-hsa01100
HMDB00259	Ch	Neuroactive ligand-receptor interaction:KEGG-hsa04080
HMDB00259	Ch	Tryptophan metabolism:KEGG-hsa00380
HMDB00258	Ch	Carbohydrate digestion and absorption:KEGG-hsa04973
HMDB00258	Ch	Galactose metabolism:KEGG-hsa00052
HMDB00258	Ch	Metabolic pathways:KEGG-hsa01100
HMDB00258	Ch	Starch and sucrose metabolism:KEGG-hsa00500
HMDB00258	Ch	Taste transduction:KEGG-hsa04742
HMDB00254	Ch	Alanine, aspartate and glutamate metabolism:KEGG-hsa00250
HMDB00254	Ch	Butanoate metabolism:KEGG-hsa00650
HMDB00254	Ch	Citrate cycle (TCA cycle):KEGG-hsa00020
HMDB00254	Ch	Glyoxylate and dicarboxylate metabolism:KEGG-hsa00630
HMDB00254	Ch	Metabolic pathways:KEGG-hsa01100
HMDB00254	Ch	Oxidative phosphorylation:KEGG-hsa00190
HMDB00254	Ch	Phenylalanine metabolism:KEGG-hsa00360
HMDB00254	Ch	Propanoate metabolism:KEGG-hsa00640
HMDB00254	Ch	Tyrosine metabolism:KEGG-hsa00350
HMDB00257	Ch	Cysteine and methionine metabolism:KEGG-hsa00270
HMDB00257	Ch	Sulfur metabolism:KEGG-hsa00920
HMDB00256	Ch	Metabolic pathways:KEGG-hsa01100
