ID	SystemCode	MAPP
3568	L	IL-5 Signaling Pathway:WP127
207	L	IL-5 Signaling Pathway:WP127
2932	L	IL-5 Signaling Pathway:WP127
2931	L	IL-5 Signaling Pathway:WP127
5894	L	IL-5 Signaling Pathway:WP127
4609	L	IL-5 Signaling Pathway:WP127
3725	L	IL-5 Signaling Pathway:WP127
5595	L	IL-5 Signaling Pathway:WP127
5594	L	IL-5 Signaling Pathway:WP127
6774	L	IL-5 Signaling Pathway:WP127
6776	L	IL-5 Signaling Pathway:WP127
6654	L	IL-5 Signaling Pathway:WP127
6464	L	IL-5 Signaling Pathway:WP127
6772	L	IL-5 Signaling Pathway:WP127
1439	L	IL-5 Signaling Pathway:WP127
6194	L	IL-5 Signaling Pathway:WP127
6195	L	IL-5 Signaling Pathway:WP127
3845	L	IL-5 Signaling Pathway:WP127
2353	L	IL-5 Signaling Pathway:WP127
6198	L	IL-5 Signaling Pathway:WP127
6199	L	IL-5 Signaling Pathway:WP127
9611	L	Ovarian Infertility Genes:WP34
4088	L	Ovarian Infertility Genes:WP34
6609	L	Ovarian Infertility Genes:WP34
4439	L	Ovarian Infertility Genes:WP34
23224	L	Ovarian Infertility Genes:WP34
1051	L	Ovarian Infertility Genes:WP34
1588	L	Ovarian Infertility Genes:WP34
1618	L	Ovarian Infertility Genes:WP34
1958	L	Ovarian Infertility Genes:WP34
3973	L	Ovarian Infertility Genes:WP34
1019	L	Ovarian Infertility Genes:WP34
2661	L	Ovarian Infertility Genes:WP34
3623	L	Ovarian Infertility Genes:WP34
658	L	Ovarian Infertility Genes:WP34
894	L	Ovarian Infertility Genes:WP34
8204	L	Ovarian Infertility Genes:WP34
2701	L	Ovarian Infertility Genes:WP34
5618	L	Ovarian Infertility Genes:WP34
5732	L	Ovarian Infertility Genes:WP34
7784	L	Ovarian Infertility Genes:WP34
7783	L	Ovarian Infertility Genes:WP34
344018	L	Ovarian Infertility Genes:WP34
11144	L	Ovarian Infertility Genes:WP34
2492	L	Ovarian Infertility Genes:WP34
5241	L	Ovarian Infertility Genes:WP34
4292	L	Ovarian Infertility Genes:WP34
472	L	Ovarian Infertility Genes:WP34
7421	L	Ovarian Infertility Genes:WP34
2516	L	Ovarian Infertility Genes:WP34
2100	L	Ovarian Infertility Genes:WP34
1027	L	Ovarian Infertility Genes:WP34
3554	L	Serotonin Transporter Activity:WP1455
10066	L	Serotonin Transporter Activity:WP1455
3690	L	Serotonin Transporter Activity:WP1455
6804	L	Serotonin Transporter Activity:WP1455
121278	L	Serotonin Transporter Activity:WP1455
4128	L	Serotonin Transporter Activity:WP1455
7041	L	Serotonin Transporter Activity:WP1455
6532	L	Serotonin Transporter Activity:WP1455
5516	L	Serotonin Transporter Activity:WP1455
4842	L	Serotonin Transporter Activity:WP1455
3553	L	Serotonin Transporter Activity:WP1455
4790	L	Vitamin B12 Metabolism:WP1533
3949	L	Vitamin B12 Metabolism:WP1533
6647	L	Vitamin B12 Metabolism:WP1533
338	L	Vitamin B12 Metabolism:WP1533
335	L	Vitamin B12 Metabolism:WP1533
3630	L	Vitamin B12 Metabolism:WP1533
6948	L	Vitamin B12 Metabolism:WP1533
5970	L	Vitamin B12 Metabolism:WP1533
5054	L	Vitamin B12 Metabolism:WP1533
84693	L	Vitamin B12 Metabolism:WP1533
3043	L	Vitamin B12 Metabolism:WP1533
4552	L	Vitamin B12 Metabolism:WP1533
213	L	Vitamin B12 Metabolism:WP1533
4524	L	Vitamin B12 Metabolism:WP1533
6288	L	Vitamin B12 Metabolism:WP1533
3383	L	Vitamin B12 Metabolism:WP1533
6347	L	Vitamin B12 Metabolism:WP1533
6472	L	Vitamin B12 Metabolism:WP1533
3458	L	Vitamin B12 Metabolism:WP1533
875	L	Vitamin B12 Metabolism:WP1533
4548	L	Vitamin B12 Metabolism:WP1533
4143	L	Vitamin B12 Metabolism:WP1533
2155	L	Vitamin B12 Metabolism:WP1533
4594	L	Vitamin B12 Metabolism:WP1533
1401	L	Vitamin B12 Metabolism:WP1533
4353	L	Vitamin B12 Metabolism:WP1533
348	L	Vitamin B12 Metabolism:WP1533
6947	L	Vitamin B12 Metabolism:WP1533
1491	L	Vitamin B12 Metabolism:WP1533
326625	L	Vitamin B12 Metabolism:WP1533
8029	L	Vitamin B12 Metabolism:WP1533
4036	L	Vitamin B12 Metabolism:WP1533
6648	L	Vitamin B12 Metabolism:WP1533
7124	L	Vitamin B12 Metabolism:WP1533
3643	L	Vitamin B12 Metabolism:WP1533
4791	L	Vitamin B12 Metabolism:WP1533
6649	L	Vitamin B12 Metabolism:WP1533
12	L	Vitamin B12 Metabolism:WP1533
5340	L	Vitamin B12 Metabolism:WP1533
3039	L	Vitamin B12 Metabolism:WP1533
949	L	Vitamin B12 Metabolism:WP1533
19	L	Vitamin B12 Metabolism:WP1533
6352	L	Vitamin B12 Metabolism:WP1533
5327	L	Vitamin B12 Metabolism:WP1533
3569	L	Vitamin B12 Metabolism:WP1533
6291	L	Vitamin B12 Metabolism:WP1533
6290	L	Vitamin B12 Metabolism:WP1533
2147	L	Vitamin B12 Metabolism:WP1533
6289	L	Vitamin B12 Metabolism:WP1533
2694	L	Vitamin B12 Metabolism:WP1533
3553	L	Vitamin B12 Metabolism:WP1533
10062	L	Nuclear Receptors:WP170
5467	L	Nuclear Receptors:WP170
2908	L	Nuclear Receptors:WP170
5916	L	Nuclear Receptors:WP170
190	L	Nuclear Receptors:WP170
7376	L	Nuclear Receptors:WP170
5915	L	Nuclear Receptors:WP170
3164	L	Nuclear Receptors:WP170
2099	L	Nuclear Receptors:WP170
4929	L	Nuclear Receptors:WP170
9975	L	Nuclear Receptors:WP170
9970	L	Nuclear Receptors:WP170
367	L	Nuclear Receptors:WP170
7101	L	Nuclear Receptors:WP170
5465	L	Nuclear Receptors:WP170
