GeneID	Ensembl	Pathway
ENSG00000180644	En	Natural killer cell mediated cytotoxicity:KEGG-hsa04650
ENSG00000180644	En	Type I diabetes mellitus:KEGG-hsa04940
ENSG00000180644	En	Viral myocarditis:KEGG-hsa05416
ENSG00000147684	En	Alzheimer's disease:KEGG-hsa05010
ENSG00000147684	En	Huntington's disease:KEGG-hsa05016
ENSG00000147684	En	Oxidative phosphorylation:KEGG-hsa00190
ENSG00000147684	En	Parkinson's disease:KEGG-hsa05012
ENSG00000188342	En	Basal transcription factors:KEGG-hsa03022
ENSG00000188340	En	Olfactory transduction:KEGG-hsa04740
ENSG00000135476	En	Cell cycle:KEGG-hsa04110
ENSG00000135476	En	Oocyte meiosis:KEGG-hsa04114
ENSG00000184702	En	ECM-receptor interaction:KEGG-hsa04512
ENSG00000184702	En	Hematopoietic cell lineage:KEGG-hsa04640
ENSG00000184702	En	Parkinson's disease:KEGG-hsa05012
ENSG00000145191	En	RNA transport:KEGG-hsa03013
ENSG00000169814	En	Biotin metabolism:KEGG-hsa00780
ENSG00000169814	En	Vitamin digestion and absorption:KEGG-hsa04977
ENSG00000163464	En	Chemokine signaling pathway:KEGG-hsa04062
ENSG00000163464	En	Cytokine-cytokine receptor interaction:KEGG-hsa04060
ENSG00000163464	En	Endocytosis:KEGG-hsa04144
ENSG00000163464	En	Epithelial cell signaling in Helicobacter pylori infection:KEGG-hsa05120
ENSG00000163466	En	Bacterial invasion of epithelial cells:KEGG-hsa05100
ENSG00000163466	En	Fc gamma R-mediated phagocytosis:KEGG-hsa04666
ENSG00000163466	En	Pathogenic Escherichia coli infection:KEGG-hsa05130
ENSG00000163466	En	Regulation of actin cytoskeleton:KEGG-hsa04810
ENSG00000163466	En	Shigellosis:KEGG-hsa05131
ENSG00000167741	En	Arachidonic acid metabolism:KEGG-hsa00590
ENSG00000167741	En	Cyanoamino acid metabolism:KEGG-hsa00460
ENSG00000167741	En	Glutathione metabolism:KEGG-hsa00480
ENSG00000167741	En	Taurine and hypotaurine metabolism:KEGG-hsa00430
ENSG00000141682	En	p53 signaling pathway:KEGG-hsa04115
ENSG00000179222	En	Neurotrophin signaling pathway:KEGG-hsa04722
ENSG00000109738	En	Neuroactive ligand-receptor interaction:KEGG-hsa04080
ENSG00000058600	En	Cytosolic DNA-sensing pathway:KEGG-hsa04623
ENSG00000058600	En	Purine metabolism:KEGG-hsa00230
ENSG00000058600	En	Pyrimidine metabolism:KEGG-hsa00240
ENSG00000058600	En	RNA polymerase:KEGG-hsa03020
ENSG00000172289	En	Olfactory transduction:KEGG-hsa04740
ENSG00000162594	En	Cytokine-cytokine receptor interaction:KEGG-hsa04060
ENSG00000162594	En	Jak-STAT signaling pathway:KEGG-hsa04630
