Source Identifier	SystemCode	ME	NA
ENSG00000103811	CTSH	turquoise	En
ENSG00000085733	CTTN	turquoise	En
ENSG00000158290	CUL4B	turquoise	En
ENSG00000159348	CYB5R1	turquoise	En
ENSG00000165168	CYBB	turquoise	En
ENSG00000179091	CYC1	turquoise	En
ENSG00000172115	CYCS	turquoise	En
ENSG00000273749	CYFIP1	turquoise	En
ENSG00000171903	CYP4F11	turquoise	En
ENSG00000146122	DAAM2	turquoise	En
ENSG00000173402	DAG1	turquoise	En
ENSG00000155368	DBI	turquoise	En
ENSG00000170390	DCLK2	turquoise	En
ENSG00000169738	DCXR	turquoise	En
ENSG00000213722	DDAH2	turquoise	En
ENSG00000167986	DDB1	turquoise	En
ENSG00000244038	DDOST	turquoise	En
ENSG00000215301	DDX3X	turquoise	En
ENSG00000104325	DECR1	turquoise	En
NA	DFNA5	turquoise	En
ENSG00000184047	DIABLO	turquoise	En
ENSG00000150768	DLAT	turquoise	En
ENSG00000091140	DLD	turquoise	En
ENSG00000119689	DLST	turquoise	En
ENSG00000123992	DNPEP	turquoise	En
ENSG00000176978	DPP7	turquoise	En
ENSG00000113657	DPYSL3	turquoise	En
ENSG00000117298	ECE1	turquoise	En
ENSG00000093144	ECHDC1	turquoise	En
ENSG00000127884	ECHS1	turquoise	En
ENSG00000156508	EEF1A1	turquoise	En
ENSG00000254772	EEF1G	turquoise	En
ENSG00000167658	EEF2	turquoise	En
ENSG00000115380	EFEMP1	turquoise	En
ENSG00000142634	EFHD2	turquoise	En
ENSG00000024422	EHD2	turquoise	En
ENSG00000107581	EIF3A	turquoise	En
ENSG00000184110	EIF3C	turquoise	En
ENSG00000175390	EIF3F	turquoise	En
ENSG00000084623	EIF3I	turquoise	En
ENSG00000063046	EIF4B	turquoise	En
ENSG00000154380	ENAH	turquoise	En
ENSG00000106991	ENG	turquoise	En
ENSG00000074800	ENO1	turquoise	En
ENSG00000111674	ENO2	turquoise	En
ENSG00000145293	ENOPH1	turquoise	En
ENSG00000001561	ENPP4	turquoise	En
ENSG00000143420	ENSA	turquoise	En
ENSG00000138185	ENTPD1	turquoise	En
ENSG00000054179	ENTPD2	turquoise	En
ENSG00000164307	ERAP1	turquoise	En
NA	ERBB2IP	turquoise	En
ENSG00000113719	ERGIC1	turquoise	En
ENSG00000140374	ETFA	turquoise	En
ENSG00000171503	ETFDH	turquoise	En
ENSG00000092820	EZR	turquoise	En
ENSG00000124491	F13A1	turquoise	En
ENSG00000117525	F3	turquoise	En
ENSG00000121769	FABP3	turquoise	En
ENSG00000164687	FABP5	turquoise	En
ENSG00000103876	FAH	turquoise	En
ENSG00000115042	FAHD2A	turquoise	En
NA	FAM129A	turquoise	En
ENSG00000148468	FAM171A1	turquoise	En
ENSG00000077942	FBLN1	turquoise	En
ENSG00000166147	FBN1	turquoise	En
ENSG00000073712	FERMT2	turquoise	En
ENSG00000022267	FHL1	turquoise	En
ENSG00000088832	FKBP1A	turquoise	En
ENSG00000100442	FKBP3	turquoise	En
ENSG00000196924	FLNA	turquoise	En
ENSG00000128591	FLNC	turquoise	En
ENSG00000137312	FLOT1	turquoise	En
ENSG00000132589	FLOT2	turquoise	En
ENSG00000168522	FNTA	turquoise	En
ENSG00000165457	FOLR2	turquoise	En
ENSG00000171877	FRMD5	turquoise	En
ENSG00000087086	FTL	turquoise	En
ENSG00000171298	GAA	turquoise	En
ENSG00000034713	GABARAPL2	turquoise	En
ENSG00000145864	GABRB2	turquoise	En
ENSG00000108479	GALK1	turquoise	En
NA	GARS	turquoise	En
ENSG00000171766	GATM	turquoise	En
NA	GBA	turquoise	En
NA	GBAS	turquoise	En
ENSG00000117228	GBP1	turquoise	En
ENSG00000203879	GDI1	turquoise	En
ENSG00000057608	GDI2	turquoise	En
ENSG00000131095	GFAP	turquoise	En
