Ontology-ID	Ontology-term	Ontology-name	Ontology-type	elite_term_in	number_changed.blue_Module-GO_z-score_elite	number_measured.blue_Module-GO_z-score_elite	 z_score.blue_Module-GO_z-score_elite	permuteP.blue_Module-GO_z-score_elite	number_changed.brown_Module-GO_z-score_elite	number_measured.brown_Module-GO_z-score_elite	 z_score.brown_Module-GO_z-score_elite	permuteP.brown_Module-GO_z-score_elite	number_changed.greenyellow_Module-GO_z-score_elite	number_measured.greenyellow_Module-GO_z-score_elite	 z_score.greenyellow_Module-GO_z-score_elite	permuteP.greenyellow_Module-GO_z-score_elite	number_changed.grey_Module-GO_z-score_elite	number_measured.grey_Module-GO_z-score_elite	 z_score.grey_Module-GO_z-score_elite	permuteP.grey_Module-GO_z-score_elite	number_changed.magenta_Module-GO_z-score_elite	number_measured.magenta_Module-GO_z-score_elite	 z_score.magenta_Module-GO_z-score_elite	permuteP.magenta_Module-GO_z-score_elite	number_changed.purple_Module-GO_z-score_elite	number_measured.purple_Module-GO_z-score_elite	 z_score.purple_Module-GO_z-score_elite	permuteP.purple_Module-GO_z-score_elite	number_changed.salmon_Module-GO_z-score_elite	number_measured.salmon_Module-GO_z-score_elite	 z_score.salmon_Module-GO_z-score_elite	permuteP.salmon_Module-GO_z-score_elite	number_changed.tan_Module-GO_z-score_elite	number_measured.tan_Module-GO_z-score_elite	 z_score.tan_Module-GO_z-score_elite	permuteP.tan_Module-GO_z-score_elite	number_changed.yellow_Module-GO_z-score_elite	number_measured.yellow_Module-GO_z-score_elite	 z_score.yellow_Module-GO_z-score_elite	permuteP.yellow_Module-GO_z-score_elite
GO:0030119	AP-type membrane coat adaptor complex	GeneOntology	cellular_component	brown_Module-GO_z-score_elite	0	12	-1.25207514457	0.385	9	12	2.17497999036	0.0425	0	12	-0.686220695904	1.0	2	12	0.845183710304	0.3155	0	12	-0.759717363426	0.656	1	12	-0.234506748691	0.731	0	12	-0.574017409227	1.0	0	12	-0.635231374239	1.0	0	12	-1.18715744937	0.383
GO:0050900	leukocyte migration	GeneOntology	biological_process	yellow_Module-GO_z-score_elite	9	53	1.27292944591	0.2575	12	53	-3.17181504174	0.002	1	53	-0.725801958557	0.6015	4	53	-0.498383560074	0.665	6	53	2.39484309409	0.03	4	53	-0.689249266591	0.524	1	53	-0.353575570782	0.7735	1	53	-0.562694540118	0.572	15	53	4.31359650298	0.0
GO:0000922	spindle pole	GeneOntology	cellular_component	brown_Module-GO_z-score_elite	1	10	-0.148099656324	0.708	8	10	2.30373222286	0.021	0	10	-0.626067037576	1.0	0	10	-1.02882008532	0.625	1	10	0.826481031837	0.3785	0	10	-1.07974786621	0.4045	0	10	-0.523699417778	1.0	0	10	-0.579547406569	1.0	0	10	-1.08309200218	0.4265
GO:0042886	amide transport	GeneOntology	biological_process	yellow_Module-GO_z-score_elite	0	12	-1.25207514457	0.373	5	12	-0.159013406978	1.0	0	12	-0.686220695904	1.0	1	12	-0.141243638919	0.69	0	12	-0.759717363426	0.671	2	12	0.714478505357	0.3425	0	12	-0.574017409227	1.0	0	12	-0.635231374239	1.0	4	12	2.5995031442	0.0255
GO:0007160	cell-matrix adhesion	GeneOntology	biological_process	salmon_Module-GO_z-score_elite	1	29	-1.3690472857	0.2025	8	29	-1.78871887788	0.087	0	29	-1.07208467331	0.425	1	29	-1.12406789772	0.3075	2	29	0.607701419354	0.384	2	29	-0.621991731737	0.558	3	29	2.59625161362	0.04	0	29	-0.992423901508	0.625	12	29	5.48919023723	0.0
GO:0031334	positive regulation of protein complex assembly	GeneOntology	biological_process	brown_Module-GO_z-score_elite	1	24	-1.13252034447	0.2885	17	24	2.67263000681	0.013	1	24	0.107374943565	0.6125	1	24	-0.900404581344	0.435	0	24	-1.07817024088	0.4095	2	24	-0.332805606263	0.9295	0	24	-0.814629911292	0.646	0	24	-0.901503107271	0.6345	2	24	-0.341300139442	0.698
GO:0006900	membrane budding	GeneOntology	biological_process	purple_Module-GO_z-score_elite	0	7	-0.954901256969	0.6125	3	7	-0.0576998011616	0.9815	0	7	-0.523349583223	1.0	1	7	0.429639603425	0.506	0	7	-0.579402177594	1.0	3	7	2.81953794063	0.032	0	7	-0.437777195697	1.0	0	7	-0.484462326687	1.0	0	7	-0.905391457961	0.609
GO:0030742	GTP-dependent protein binding	GeneOntology	molecular_function	blue_Module-GO_z-score_elite	4	6	4.24436364594	0.002	1	6	-1.34787747484	0.22	0	6	-0.484387181616	1.0	0	6	-0.795996645098	0.6665	0	6	-0.536266764747	1.0	0	6	-0.835399397153	0.62	1	6	2.13750031326	0.1465	0	6	-0.448395008892	1.0	0	6	-0.837986750424	0.6235
GO:0031341	regulation of cell killing	GeneOntology	biological_process	yellow_Module-GO_z-score_elite	0	9	-1.08338448222	0.401	3	9	-0.642473990593	0.742	0	9	-0.593766960829	1.0	1	9	0.162294993709	0.6015	0	9	-0.657361505799	1.0	1	9	0.070797928735	0.6295	0	9	-0.496680695546	1.0	0	9	-0.549647372567	1.0	4	9	3.34143774161	0.0075
GO:0016801	hydrolase activity, acting on ether bonds	GeneOntology	molecular_function	purple_Module-GO_z-score_elite	0	8	-1.02112840552	0.6035	2	8	-1.08142597571	0.295	0	8	-0.559646478153	1.0	1	8	0.287048746951	0.5455	1	8	1.07839439622	0.313	3	8	2.51755160937	0.039	1	8	1.73516819665	0.1965	0	8	-0.518062197085	1.0	0	8	-0.968184855861	0.621
GO:0016861	intramolecular oxidoreductase activity, interconverting aldoses and ketoses	GeneOntology	molecular_function	greenyellow_Module-GO_z-score_elite	0	5	-0.806571417991	0.6495	2	5	-0.177610975118	0.9485	3	5	6.62538338599	0.0	0	5	-0.726431789557	1.0	0	5	-0.489400587294	1.0	0	5	-0.762391001025	0.6815	0	5	-0.369774959369	1.0	0	5	-0.409208243205	1.0	0	5	-0.764752236689	0.6605
GO:0005525	GTP binding	GeneOntology	molecular_function	blue_Module-GO_z-score_elite	23	98	3.82767163289	0.0005	42	98	-0.221823144784	0.8415	2	98	-0.917868787439	0.3915	9	98	-0.119002472372	0.9995	1	98	-1.72915517819	0.1265	6	98	-1.42575710224	0.183	0	98	-1.68300604698	0.104	1	98	-1.27468839796	0.216	14	98	1.27745400499	0.2315
GO:0007212	dopamine receptor signaling pathway	GeneOntology	biological_process	yellow_Module-GO_z-score_elite	3	9	2.05970081629	0.0775	2	9	-1.31565302974	0.333	0	9	-0.593766960829	1.0	0	9	-0.975741156511	0.613	0	9	-0.657361505799	1.0	0	9	-1.0240414692	0.624	0	9	-0.496680695546	1.0	0	9	-0.549647372567	1.0	4	9	3.34143774161	0.01
GO:0045335	phagocytic vesicle	GeneOntology	cellular_component	yellow_Module-GO_z-score_elite	1	13	-0.430831469799	0.8265	4	13	-0.959978869712	0.394	0	13	-0.714448864216	1.0	0	13	-1.174058523	0.368	1	13	0.542972787087	0.472	0	13	-1.23217577408	0.389	0	13	-0.59763001686	1.0	0	13	-0.661362061139	1.0	7	13	5.13254477088	0.0005
GO:0000502	proteasome complex	GeneOntology	cellular_component	brown_Module-GO_z-score_elite|tan_Module-GO_z-score_elite	2	36	-1.12794641444	0.296	22	36	2.09744595313	0.044	0	36	-1.19694925502	0.395	0	36	-1.96695459234	0.0705	1	36	-0.518130519586	0.5435	0	36	-2.0643211134	0.05	0	36	-1.00123723235	0.612	10	36	8.41120651307	0.0	1	36	-1.52030367121	0.1545
GO:0003691	double-stranded telomeric DNA binding	GeneOntology	molecular_function	purple_Module-GO_z-score_elite	0	3	-0.624406083152	1.0	0	3	-1.53424380406	0.2685	0	3	-0.342216183081	1.0	0	3	-0.562366107051	1.0	0	3	-0.378868748617	1.0	3	3	5.08886899251	0.0	0	3	-0.286260743782	1.0	0	3	-0.316787962769	1.0	0	3	-0.592031825132	1.0
GO:0050821	protein stabilization	GeneOntology	biological_process	yellow_Module-GO_z-score_elite	1	24	-1.13252034447	0.303	11	24	0.188374995113	1.0	0	24	-0.973865767213	0.6185	0	24	-1.60036002788	0.158	2	24	0.891651338448	0.2965	2	24	-0.332805606263	0.9295	0	24	-0.814629911292	0.661	2	24	1.42201382992	0.2005	6	24	2.34566277653	0.034
GO:0048638	regulation of developmental growth	GeneOntology	biological_process	salmon_Module-GO_z-score_elite	3	30	-0.258018872885	0.9785	16	30	1.04569242126	0.3555	0	30	-1.09073252022	0.4175	0	30	-1.79240793263	0.0985	4	30	2.32237569185	0.0435	1	30	-1.27777781831	0.209	3	30	2.52295087155	0.0485	0	30	-1.0096861285	0.6185	3	30	-0.0813165228758	0.9655
GO:0050805	negative regulation of synaptic transmission	GeneOntology	biological_process	yellow_Module-GO_z-score_elite	0	11	-1.19842235639	0.3895	5	11	0.101661767383	1.0	0	11	-0.6568153892	1.0	1	11	-0.049358661974	0.673	1	11	0.722141958513	0.3795	0	11	-1.13277807713	0.4035	0	11	-0.54942013597	1.0	0	11	-0.608011015688	1.0	4	11	2.81760232554	0.016
GO:0043066	negative regulation of apoptotic process	GeneOntology	biological_process	tan_Module-GO_z-score_elite	19	143	0.703361423331	0.472	56	143	-1.20126293641	0.261	5	143	-0.168371202515	0.997	7	143	-1.96898939044	0.0435	10	143	1.4547268588	0.2005	12	143	-0.818404018736	0.4785	4	143	0.109692998933	0.982	14	143	4.62672376289	0.0	16	143	0.30129164302	0.769
GO:0009268	response to pH	GeneOntology	biological_process	yellow_Module-GO_z-score_elite	0	6	-0.88381063712	0.609	2	6	-0.524121728045	0.655	0	6	-0.484387181616	1.0	0	6	-0.795996645098	0.655	1	6	1.4232565191	0.253	0	6	-0.835399397153	0.6355	0	6	-0.405185498942	1.0	0	6	-0.448395008892	1.0	3	6	3.17138632067	0.023
GO:0051216	cartilage development	GeneOntology	biological_process	yellow_Module-GO_z-score_elite	0	5	-0.806571417991	0.638	1	5	-1.0797288898	0.3425	0	5	-0.442054937476	1.0	0	5	-0.726431789557	1.0	0	5	-0.489400587294	1.0	0	5	-0.762391001025	0.6685	1	5	2.4147912564	0.1315	0	5	-0.409208243205	1.0	3	5	3.62602414103	0.009
GO:0031683	G-protein beta/gamma-subunit complex binding	GeneOntology	molecular_function	yellow_Module-GO_z-score_elite	3	16	0.914661210395	0.298	5	16	-1.027015088	0.3245	0	16	-0.793302388575	0.647	1	16	-0.448372820924	0.5135	0	16	-0.878267884727	0.638	1	16	-0.545368032904	0.57	0	16	-0.663590277212	1.0	0	16	-0.734356409665	0.675	6	16	3.55233808839	0.0035
GO:0008509	anion transmembrane transporter activity	GeneOntology	molecular_function	purple_Module-GO_z-score_elite	4	37	-0.130844195708	0.988	5	37	-3.76815422035	0.0005	0	37	-1.21381757978	0.394	3	37	-0.296995749244	0.772	4	37	1.84126106028	0.094	14	37	5.52837082724	0.0	0	37	-1.01534743353	0.6445	1	37	-0.184378686609	0.7065	6	37	1.15859613937	0.261
GO:0050877	neurological system process	GeneOntology	biological_process	magenta_Module-GO_z-score_elite	10	103	-0.584236893788	0.6335	41	103	-0.870951250984	0.4	1	103	-1.53140188169	0.145	9	103	-0.281052211224	0.868	12	103	3.55473250575	0.002	11	103	0.0983914202207	1.0	3	103	0.167042567433	0.945	1	103	-1.33810291362	0.2365	15	103	1.40650963697	0.173
GO:0034470	ncRNA processing	GeneOntology	biological_process	blue_Module-GO_z-score_elite	10	18	5.89159342736	0.0	1	18	-3.29726557035	0.001	1	18	0.404407042472	0.4965	3	18	1.03694461896	0.249	0	18	-0.932087098143	0.6185	1	18	-0.675812317591	0.589	0	18	-0.704254301675	1.0	2	18	1.8989092691	0.1325	0	18	-1.4565076373	0.2535
GO:1903358	regulation of Golgi organization	GeneOntology	biological_process	brown_Module-GO_z-score_elite	0	4	-0.721210633484	1.0	4	4	2.26112174769	0.0425	0	4	-0.395271533779	1.0	0	4	-0.649552314207	1.0	0	4	-0.437606515328	1.0	0	4	-0.68170590297	1.0	0	4	-0.330641065062	1.0	0	4	-0.365901059381	1.0	0	4	-0.683817245166	1.0
GO:0070555	response to interleukin-1	GeneOntology	biological_process	yellow_Module-GO_z-score_elite	0	8	-1.02112840552	0.591	2	8	-1.08142597571	0.321	0	8	-0.559646478153	1.0	1	8	0.287048746951	0.5585	1	8	1.07839439622	0.303	0	8	-0.965195505191	0.611	0	8	-0.468139220211	1.0	0	8	-0.518062197085	1.0	4	8	3.66412500699	0.008
GO:0010565	regulation of cellular ketone metabolic process	GeneOntology	biological_process	tan_Module-GO_z-score_elite	7	91	-1.16664865948	0.3125	44	91	0.871351949654	0.3865	0	91	-1.93465628241	0.0855	4	91	-1.71231838633	0.0855	3	91	-0.593787257489	0.632	8	91	-0.514139282108	0.7345	0	91	-1.61832249246	0.181	12	91	5.51328073553	0.0	13	91	1.22835717261	0.269
GO:0044706	multi-multicellular organism process	GeneOntology	biological_process	yellow_Module-GO_z-score_elite	2	10	0.846119741943	0.3225	2	10	-1.52918248415	0.2015	0	10	-0.626067037576	1.0	0	10	-1.02882008532	0.6175	0	10	-0.693121035192	1.0	2	10	0.998166916316	0.274	0	10	-0.523699417778	1.0	0	10	-0.579547406569	1.0	4	10	3.06257727466	0.0075
GO:0006691	leukotriene metabolic process	GeneOntology	biological_process	grey_Module-GO_z-score_elite	0	6	-0.88381063712	0.6135	1	6	-1.34787747484	0.204	0	6	-0.484387181616	1.0	3	6	3.38177968614	0.016	1	6	1.4232565191	0.2515	0	6	-0.835399397153	0.641	0	6	-0.405185498942	1.0	0	6	-0.448395008892	1.0	1	6	0.498470939939	0.486
GO:0036109	alpha-linolenic acid metabolic process	GeneOntology	biological_process	blue_Module-GO_z-score_elite	3	4	3.98659144137	0.0045	0	4	-1.77210468589	0.1375	0	4	-0.395271533779	1.0	1	4	1.0550304255	0.342	0	4	-0.437606515328	1.0	0	4	-0.68170590297	1.0	0	4	-0.330641065062	1.0	0	4	-0.365901059381	1.0	0	4	-0.683817245166	1.0
GO:0006414	translational elongation	GeneOntology	biological_process	blue_Module-GO_z-score_elite	25	43	9.71111689958	0.0	6	43	-4.01056638664	0.0	1	43	-0.498549480044	0.54	5	43	0.475157242058	0.78	1	43	-0.711317914921	0.608	3	43	-0.743078126281	0.5925	0	43	-1.09652381308	0.4035	2	43	0.532147932181	0.4295	0	43	-2.26778211284	0.0395
GO:0051539	4 iron, 4 sulfur cluster binding	GeneOntology	molecular_function	purple_Module-GO_z-score_elite	0	7	-0.954901256969	0.6055	0	7	-2.34631176174	0.0225	0	7	-0.523349583223	1.0	2	7	1.71930302307	0.1435	0	7	-0.579402177594	1.0	4	7	4.06024924986	0.004	0	7	-0.437777195697	1.0	1	7	1.65607019837	0.2225	0	7	-0.905391457961	0.6185
GO:0005544	calcium-dependent phospholipid binding	GeneOntology	molecular_function	yellow_Module-GO_z-score_elite	1	15	-0.588127128033	0.557	5	15	-0.830878300009	0.448	0	15	-0.767888023855	0.65	1	15	-0.378817558108	0.772	0	15	-0.850131551513	0.625	2	15	0.37473909566	0.808	0	15	-0.64233139085	1.0	1	15	0.754834237574	0.427	5	15	2.90887078212	0.0175
GO:0050690	regulation of defense response to virus by virus	GeneOntology	biological_process	brown_Module-GO_z-score_elite	2	12	0.564167862463	0.401	10	12	2.75847833969	0.0085	0	12	-0.686220695904	1.0	0	12	-1.12767098814	0.4065	0	12	-0.759717363426	0.667	0	12	-1.18349200274	0.384	0	12	-0.574017409227	1.0	0	12	-0.635231374239	1.0	0	12	-1.18715744937	0.365
GO:0033116	endoplasmic reticulum-Golgi intermediate compartment membrane	GeneOntology	cellular_component	purple_Module-GO_z-score_elite	1	8	0.0897977241037	0.622	1	8	-1.79523306029	0.066	1	8	1.30440679139	0.273	0	8	-0.919670742658	0.6185	0	8	-0.619586598555	1.0	5	8	4.83938301908	0.0	0	8	-0.468139220211	1.0	0	8	-0.518062197085	1.0	0	8	-0.968184855861	0.6095
GO:0031227	intrinsic component of endoplasmic reticulum membrane	GeneOntology	cellular_component	purple_Module-GO_z-score_elite	0	15	-1.4010849778	0.2385	6	15	-0.308525771655	0.797	0	15	-0.767888023855	0.6365	0	15	-1.26187544592	0.372	0	15	-0.850131551513	0.6545	5	15	2.9233573431	0.011	0	15	-0.64233139085	1.0	0	15	-0.71083044794	1.0	4	15	2.061408344	0.061
GO:0031907	microbody lumen	GeneOntology	cellular_component	blue_Module-GO_z-score_elite	5	10	3.82877793674	0.0025	1	10	-2.16800160198	0.0415	0	10	-0.626067037576	1.0	1	10	0.0511292406036	0.6385	0	10	-0.693121035192	1.0	0	10	-1.07974786621	0.431	1	10	1.44814273785	0.2675	0	10	-0.579547406569	1.0	2	10	0.989742636243	0.285
GO:0072372	primary cilium	GeneOntology	cellular_component	blue_Module-GO_z-score_elite	3	7	2.60695583651	0.04	2	7	-0.820570454687	0.4505	0	7	-0.523349583223	1.0	0	7	-0.860023816215	0.6545	0	7	-0.579402177594	1.0	0	7	-0.902595987091	0.6355	0	7	-0.437777195697	1.0	0	7	-0.484462326687	1.0	2	7	1.56996450919	0.1665
GO:0006536	glutamate metabolic process	GeneOntology	biological_process	tan_Module-GO_z-score_elite	0	11	-1.19842235639	0.382	2	11	-1.72613942058	0.1275	1	11	0.934239511631	0.3475	2	11	0.980631730062	0.2775	1	11	0.722141958513	0.418	1	11	-0.141883314711	0.723	1	11	1.33120372866	0.268	3	11	4.52060138288	0.0045	0	11	-1.13628645537	0.39
GO:0009620	response to fungus	GeneOntology	biological_process	blue_Module-GO_z-score_elite	4	5	4.80943539994	0.0	0	5	-1.98184680447	0.0845	0	5	-0.442054937476	1.0	0	5	-0.726431789557	1.0	0	5	-0.489400587294	1.0	0	5	-0.762391001025	0.664	0	5	-0.369774959369	1.0	0	5	-0.409208243205	1.0	1	5	0.698839889217	0.417
GO:0006457	protein folding	GeneOntology	biological_process	purple_Module-GO_z-score_elite	2	72	-2.36712058959	0.0225	33	72	0.330958676058	0.815	4	72	0.821864213546	0.4515	2	72	-1.99185398197	0.051	5	72	0.98975356419	0.349	20	72	4.93634390576	0.0	1	72	-0.682775026338	0.578	1	72	-0.903493551186	0.423	4	72	-1.38642882873	0.187
GO:0071396	cellular response to lipid	GeneOntology	biological_process	yellow_Module-GO_z-score_elite	2	31	-0.887330038959	0.4035	8	31	-2.05186858709	0.042	2	31	0.797552787848	0.3405	2	31	-0.588282776035	0.733	1	31	-0.359488261231	0.761	4	31	0.462086532712	0.731	1	31	0.199080744275	0.5675	0	31	-1.02667793969	0.435	11	31	4.59623181895	0.0
GO:0048278	vesicle docking	GeneOntology	biological_process	brown_Module-GO_z-score_elite	0	11	-1.19842235639	0.3685	9	11	2.538730018	0.014	0	11	-0.6568153892	1.0	0	11	-1.07934905401	0.4285	0	11	-0.727162644203	0.666	0	11	-1.13277807713	0.409	0	11	-0.54942013597	1.0	0	11	-0.608011015688	1.0	2	11	0.840657935086	0.321
GO:0016836	hydro-lyase activity	GeneOntology	molecular_function	tan_Module-GO_z-score_elite	3	16	0.914661210395	0.2725	3	16	-2.03884110189	0.05	2	16	1.84900479799	0.1345	3	16	1.26215961485	0.205	1	16	0.325181463649	0.5465	1	16	-0.545368032904	0.5505	0	16	-0.663590277212	1.0	3	16	3.52425509102	0.021	0	16	-1.37240809818	0.2465
GO:0051352	negative regulation of ligase activity	GeneOntology	biological_process	tan_Module-GO_z-score_elite	1	34	-1.57817742975	0.148	18	34	1.06801662363	0.3	0	34	-1.16254032963	0.3985	2	34	-0.730791487242	0.558	1	34	-0.457128853882	0.53	0	34	-2.00497768603	0.0445	0	34	-0.972454477284	0.618	11	34	9.69220712723	0.0	1	34	-1.4451528522	0.1535
GO:0071495	cellular response to endogenous stimulus	GeneOntology	biological_process	yellow_Module-GO_z-score_elite	13	85	1.12761340094	0.2915	35	85	-0.525836681006	0.658	2	85	-0.696218862003	0.5435	5	85	-1.17323639683	0.2765	2	85	-1.00036679667	0.41	8	85	-0.303792713964	0.86	1	85	-0.86964588426	0.3965	1	85	-1.09904916761	0.307	18	85	3.31403216085	0.002
GO:0002199	zona pellucida receptor complex	GeneOntology	cellular_component	brown_Module-GO_z-score_elite	0	8	-1.02112840552	0.6085	8	8	3.20141653175	0.0015	0	8	-0.559646478153	1.0	0	8	-0.919670742658	0.617	0	8	-0.619586598555	1.0	0	8	-0.965195505191	0.6045	0	8	-0.468139220211	1.0	0	8	-0.518062197085	1.0	0	8	-0.968184855861	0.6025
GO:0022900	electron transport chain	GeneOntology	biological_process	purple_Module-GO_z-score_elite	0	33	-2.08912427379	0.0455	1	33	-4.77920889015	0.0	0	33	-1.14497945207	0.4185	5	33	1.11096245317	0.3245	0	33	-1.26761080757	0.2495	21	33	10.1168021976	0.0	0	33	-0.957764961944	0.6175	4	33	2.91358415213	0.026	2	33	-0.832051771417	0.526
GO:0003777	microtubule motor activity	GeneOntology	molecular_function	brown_Module-GO_z-score_elite	0	11	-1.19842235639	0.3825	10	11	3.14799708065	0.001	0	11	-0.6568153892	1.0	0	11	-1.07934905401	0.427	0	11	-0.727162644203	0.69	0	11	-1.13277807713	0.4115	0	11	-0.54942013597	1.0	1	11	1.1015264505	0.307	0	11	-1.13628645537	0.3795
