Ontology-ID	Ontology-term	Ontology-name	Ontology-type	elite_term_in	number_changed.blue_Module-GO_z-score_elite	number_measured.blue_Module-GO_z-score_elite	 z_score.blue_Module-GO_z-score_elite	permuteP.blue_Module-GO_z-score_elite	number_changed.brown_Module-GO_z-score_elite	number_measured.brown_Module-GO_z-score_elite	 z_score.brown_Module-GO_z-score_elite	permuteP.brown_Module-GO_z-score_elite	number_changed.greenyellow_Module-GO_z-score_elite	number_measured.greenyellow_Module-GO_z-score_elite	 z_score.greenyellow_Module-GO_z-score_elite	permuteP.greenyellow_Module-GO_z-score_elite	number_changed.grey_Module-GO_z-score_elite	number_measured.grey_Module-GO_z-score_elite	 z_score.grey_Module-GO_z-score_elite	permuteP.grey_Module-GO_z-score_elite	number_changed.magenta_Module-GO_z-score_elite	number_measured.magenta_Module-GO_z-score_elite	 z_score.magenta_Module-GO_z-score_elite	permuteP.magenta_Module-GO_z-score_elite	number_changed.purple_Module-GO_z-score_elite	number_measured.purple_Module-GO_z-score_elite	 z_score.purple_Module-GO_z-score_elite	permuteP.purple_Module-GO_z-score_elite	number_changed.salmon_Module-GO_z-score_elite	number_measured.salmon_Module-GO_z-score_elite	 z_score.salmon_Module-GO_z-score_elite	permuteP.salmon_Module-GO_z-score_elite	number_changed.tan_Module-GO_z-score_elite	number_measured.tan_Module-GO_z-score_elite	 z_score.tan_Module-GO_z-score_elite	permuteP.tan_Module-GO_z-score_elite	number_changed.yellow_Module-GO_z-score_elite	number_measured.yellow_Module-GO_z-score_elite	 z_score.yellow_Module-GO_z-score_elite	permuteP.yellow_Module-GO_z-score_elite
GO:0031579	membrane raft organization	GeneOntology	biological_process	purple_Module-GO_z-score_elite	1	7	0.232384440856	0.5775	3	7	-0.0576998011616	0.986	0	7	-0.523349583223	1.0	0	7	-0.860023816215	0.6365	0	7	-0.579402177594	1.0	3	7	2.81953794063	0.026	0	7	-0.437777195697	1.0	0	7	-0.484462326687	1.0	0	7	-0.905391457961	0.6275
GO:0012507	ER to Golgi transport vesicle membrane	GeneOntology	cellular_component	yellow_Module-GO_z-score_elite	1	7	0.232384440856	0.5845	1	7	-1.58344110821	0.124	0	7	-0.523349583223	1.0	0	7	-0.860023816215	0.643	0	7	-0.579402177594	1.0	2	7	1.57882663139	0.1615	0	7	-0.437777195697	1.0	0	7	-0.484462326687	1.0	3	7	2.80764249276	0.0235
GO:0008285	negative regulation of cell proliferation	GeneOntology	biological_process	magenta_Module-GO_z-score_elite	5	58	-0.696711808118	0.538	24	58	-0.399197663149	0.782	2	58	-0.124123427227	0.892	4	58	-0.693766225383	0.5095	6	58	2.14675740828	0.0375	6	58	-0.0121259545666	0.9995	2	58	0.381647284893	0.796	0	58	-1.4156040949	0.2495	9	58	1.28271273444	0.2665
GO:0097458	neuron part	GeneOntology	cellular_component	brown_Module-GO_z-score_elite	19	239	-1.84777298617	0.072	131	239	3.64716737879	0.0	5	239	-1.45468146036	0.1975	17	239	-1.36852321264	0.185	20	239	3.0373746409	0.004	15	239	-2.24546949256	0.0315	3	239	-1.45007408004	0.196	2	239	-2.25527928616	0.0335	27	239	0.46074699939	0.644
GO:0050839	cell adhesion molecule binding	GeneOntology	molecular_function	magenta_Module-GO_z-score_elite	6	56	-0.184900352131	0.998	13	56	-3.17549641934	0.0015	1	56	-0.787175204085	0.4085	3	56	-1.0800707127	0.388	7	56	2.8937317276	0.009	6	56	0.0801659597438	0.998	4	56	2.12226053928	0.0595	1	56	-0.622377093932	0.569	15	56	4.06103900413	0.0005
GO:0003779	actin binding	GeneOntology	molecular_function	blue_Module-GO_z-score_elite|yellow_Module-GO_z-score_elite	22	115	2.65847821127	0.011	43	115	-1.46348051921	0.1445	3	115	-0.667981524702	0.6005	6	115	-1.62857305855	0.1465	3	115	-1.0383232398	0.357	7	115	-1.56547906835	0.154	3	115	-0.0325660253364	0.967	2	115	-0.937230708827	0.4105	26	115	4.40980879448	0.0
GO:0008237	metallopeptidase activity	GeneOntology	molecular_function	greenyellow_Module-GO_z-score_elite|grey_Module-GO_z-score_elite	0	27	-1.8863561188	0.073	5	27	-2.6814813427	0.009	4	27	3.04735086215	0.019	8	27	3.58510634388	0.0015	3	27	1.64362025485	0.1195	3	27	0.123271200815	0.95	2	27	1.54717989687	0.1665	0	27	-0.957029292407	0.626	2	27	-0.52079184365	0.702
GO:0040011	locomotion	GeneOntology	biological_process	magenta_Module-GO_z-score_elite	16	128	0.37238464926	0.771	46	128	-1.89450215624	0.0685	2	128	-1.35455164169	0.2205	9	128	-0.998957629717	0.3505	15	128	4.03193559793	0.0	9	128	-1.29458956581	0.213	5	128	0.913959375182	0.376	1	128	-1.6292577464	0.115	25	128	3.48885646509	0.0005
GO:0050727	regulation of inflammatory response	GeneOntology	biological_process	tan_Module-GO_z-score_elite	2	30	-0.835394438566	0.5435	12	30	-0.438239798012	0.695	0	30	-1.09073252022	0.4275	4	30	0.716238967828	0.473	2	30	0.557410927356	0.3995	1	30	-1.27777781831	0.203	1	30	0.232725027983	0.564	4	30	3.15406714428	0.0175	4	30	0.520564749008	0.7265
GO:0004888	transmembrane signaling receptor activity	GeneOntology	molecular_function	purple_Module-GO_z-score_elite	3	55	-1.42592062519	0.204	18	55	-1.70188143601	0.0895	0	55	-1.48782628087	0.1785	7	55	0.821450904047	0.4925	2	55	-0.333984716796	0.7145	11	55	2.37210854693	0.025	0	55	-1.24455323516	0.397	0	55	-1.377274015	0.2835	14	55	3.69554815085	0.0
GO:0001936	regulation of endothelial cell proliferation	GeneOntology	biological_process	grey_Module-GO_z-score_elite	0	13	-1.30358013143	0.3815	2	13	-2.08151910738	0.0475	2	13	2.21436872826	0.0845	4	13	2.61795893498	0.024	1	13	0.542972787087	0.4515	1	13	-0.320155072923	0.766	0	13	-0.59763001686	1.0	0	13	-0.661362061139	1.0	3	13	1.49338090099	0.142
GO:0007272	ensheathment of neurons	GeneOntology	biological_process	magenta_Module-GO_z-score_elite	1	16	-0.660083537521	0.581	6	16	-0.521102081056	0.628	0	16	-0.793302388575	0.6595	0	16	-1.30363903881	0.245	7	16	7.54587755391	0.0	0	16	-1.36817067488	0.2375	1	16	0.898010755575	0.3625	0	16	-0.734356409665	0.688	1	16	-0.551617067087	0.5565
GO:0003014	renal system process	GeneOntology	biological_process	yellow_Module-GO_z-score_elite	0	9	-1.08338448222	0.408	3	9	-0.642473990593	0.7275	0	9	-0.593766960829	1.0	1	9	0.162294993709	0.593	1	9	0.943974820564	0.3455	0	9	-1.0240414692	0.617	0	9	-0.496680695546	1.0	0	9	-0.549647372567	1.0	4	9	3.34143774161	0.0105
GO:0000038	very long-chain fatty acid metabolic process	GeneOntology	biological_process	blue_Module-GO_z-score_elite	3	5	3.40543369546	0.014	1	5	-1.0797288898	0.3215	0	5	-0.442054937476	1.0	1	5	0.798634706822	0.414	0	5	-0.489400587294	1.0	0	5	-0.762391001025	0.6645	0	5	-0.369774959369	1.0	0	5	-0.409208243205	1.0	0	5	-0.764752236689	0.666
GO:0045111	intermediate filament cytoskeleton	GeneOntology	cellular_component	blue_Module-GO_z-score_elite	4	10	2.83455853848	0.022	5	10	0.387274869357	0.752	0	10	-0.626067037576	1.0	1	10	0.0511292406036	0.6275	0	10	-0.693121035192	1.0	0	10	-1.07974786621	0.4175	0	10	-0.523699417778	1.0	0	10	-0.579547406569	1.0	0	10	-1.08309200218	0.399
GO:0032879	regulation of localization	GeneOntology	biological_process	yellow_Module-GO_z-score_elite	35	330	-0.559256859603	0.646	150	330	0.616928326246	0.552	7	330	-1.73295980678	0.1155	30	330	-0.2995300741	0.837	15	330	-0.0152338647041	1.0	23	330	-2.26408694394	0.0275	5	330	-1.43204759391	0.192	5	330	-1.96064074792	0.058	60	330	5.10148216177	0.0
GO:0051059	NF-kappaB binding	GeneOntology	molecular_function	blue_Module-GO_z-score_elite	3	5	3.40543369546	0.012	0	5	-1.98184680447	0.0785	0	5	-0.442054937476	1.0	0	5	-0.726431789557	1.0	0	5	-0.489400587294	1.0	0	5	-0.762391001025	0.6625	0	5	-0.369774959369	1.0	1	5	2.12203703262	0.1505	1	5	0.698839889217	0.4175
GO:0016051	carbohydrate biosynthetic process	GeneOntology	biological_process	greenyellow_Module-GO_z-score_elite	1	42	-1.87341654923	0.0725	12	42	-2.03068564308	0.052	10	42	6.92167733481	0.0	6	42	1.06323956632	0.3965	2	42	0.0630933256657	0.8605	4	42	-0.186730604739	0.9895	1	42	-0.112150917562	0.6685	5	42	3.21544585172	0.01	1	42	-1.73010894426	0.1
GO:0055080	cation homeostasis	GeneOntology	biological_process	yellow_Module-GO_z-score_elite	4	81	-1.89320498064	0.072	40	81	1.01103701209	0.3435	1	81	-1.22110116917	0.22	8	81	0.109859472566	0.9995	4	81	0.166547526642	0.98	9	81	0.216975605482	0.847	0	81	-1.52218569912	0.163	0	81	-1.68451356693	0.1155	15	81	2.43049852274	0.018
GO:0044421	extracellular region part	GeneOntology	cellular_component	tan_Module-GO_z-score_elite|yellow_Module-GO_z-score_elite	129	941	3.15794357848	0.0005	334	941	-7.72010131456	0.0	48	941	3.21877653264	0.0015	83	941	-1.09150718836	0.3025	52	941	2.0984864155	0.038	94	941	-0.59962664682	0.586	29	941	1.20210495925	0.268	44	941	3.70104216469	0.001	128	941	4.67597444516	0.0
GO:0038123	toll-like receptor TLR1	GeneOntology	biological_process	brown_Module-GO_z-score_elite	0	12	-1.25207514457	0.3895	9	12	2.17497999036	0.0315	0	12	-0.686220695904	1.0	1	12	-0.141243638919	0.7	1	12	0.628289465112	0.4325	0	12	-1.18349200274	0.3975	0	12	-0.574017409227	1.0	0	12	-0.635231374239	1.0	1	12	-0.240492300977	0.717
GO:0070035	purine NTP-dependent helicase activity	GeneOntology	molecular_function	blue_Module-GO_z-score_elite	4	8	3.42257611298	0.0085	1	8	-1.79523306029	0.0805	1	8	1.30440679139	0.272	0	8	-0.919670742658	0.6315	0	8	-0.619586598555	1.0	2	8	1.35663590452	0.191	0	8	-0.468139220211	1.0	0	8	-0.518062197085	1.0	0	8	-0.968184855861	0.6005
GO:0006518	peptide metabolic process	GeneOntology	biological_process	greenyellow_Module-GO_z-score_elite	2	36	-1.12794641444	0.309	10	36	-1.97365198205	0.0545	5	36	3.23278602211	0.007	7	36	2.04775205371	0.047	0	36	-1.32514676052	0.2555	1	36	-1.51256121086	0.1425	4	36	3.18751370104	0.0145	3	36	1.74775462046	0.111	4	36	0.13092916232	0.9825
GO:0031098	stress-activated protein kinase signaling cascade	GeneOntology	biological_process	brown_Module-GO_z-score_elite	0	16	-1.44745591148	0.2485	13	16	3.02028896756	0.002	0	16	-0.793302388575	0.654	1	16	-0.448372820924	0.554	2	16	1.52863081203	0.1715	0	16	-1.36817067488	0.245	0	16	-0.663590277212	1.0	0	16	-0.734356409665	0.672	0	16	-1.37240809818	0.256
GO:0005788	endoplasmic reticulum lumen	GeneOntology	cellular_component	purple_Module-GO_z-score_elite	1	34	-1.57817742975	0.146	3	34	-4.16530511948	0.0	0	34	-1.16254032963	0.3985	1	34	-1.32060083296	0.202	0	34	-1.28705251732	0.266	27	34	13.3154106325	0.0	1	34	0.104458025693	0.602	0	34	-1.07615829078	0.415	1	34	-1.4451528522	0.142
GO:0005783	endoplasmic reticulum	GeneOntology	cellular_component	purple_Module-GO_z-score_elite	11	141	-1.43247296699	0.163	49	141	-2.29239419902	0.0265	2	141	-1.52135459504	0.159	15	141	0.46902635995	0.6615	7	141	0.23943638441	0.8405	44	141	8.44743381943	0.0	2	141	-0.953214514768	0.397	0	141	-2.26401868513	0.0255	11	141	-1.07249642347	0.3215
GO:0005884	actin filament	GeneOntology	cellular_component	yellow_Module-GO_z-score_elite	1	13	-0.430831469799	0.7985	6	13	0.161561367955	0.9995	1	13	0.749959932023	0.4045	1	13	-0.226054158508	0.736	0	13	-0.790968868565	0.651	0	13	-1.23217577408	0.3945	0	13	-0.59763001686	1.0	0	13	-0.661362061139	1.0	4	13	2.40317186847	0.0405
GO:0060089	molecular transducer activity	GeneOntology	molecular_function	yellow_Module-GO_z-score_elite	14	153	-0.950026619426	0.3635	56	153	-1.91438115492	0.053	2	153	-1.66659201518	0.109	15	153	0.122355253815	1.0	6	153	-0.397037459801	0.839	16	153	0.0275459712213	1.0	5	153	0.493009062337	0.7815	0	153	-2.36733757122	0.028	39	153	6.36721303301	0.0
GO:0051879	Hsp90 protein binding	GeneOntology	molecular_function	brown_Module-GO_z-score_elite	0	4	-0.721210633484	1.0	4	4	2.26112174769	0.0375	0	4	-0.395271533779	1.0	0	4	-0.649552314207	1.0	0	4	-0.437606515328	1.0	0	4	-0.68170590297	1.0	0	4	-0.330641065062	1.0	0	4	-0.365901059381	1.0	0	4	-0.683817245166	1.0
GO:0005080	protein kinase C binding	GeneOntology	molecular_function	yellow_Module-GO_z-score_elite	2	13	0.441917191829	0.4525	4	13	-0.959978869712	0.41	0	13	-0.714448864216	1.0	0	13	-1.174058523	0.3845	0	13	-0.790968868565	0.6445	1	13	-0.320155072923	0.765	1	13	1.13329839318	0.3155	1	13	0.912098227176	0.3515	4	13	2.40317186847	0.035
GO:0051100	negative regulation of binding	GeneOntology	biological_process	purple_Module-GO_z-score_elite	1	8	0.0897977241037	0.6295	2	8	-1.08142597571	0.2975	0	8	-0.559646478153	1.0	0	8	-0.919670742658	0.6265	0	8	-0.619586598555	1.0	4	8	3.67846731423	0.0045	0	8	-0.468139220211	1.0	1	8	1.48480326129	0.244	0	8	-0.968184855861	0.612
GO:0019825	oxygen binding	GeneOntology	molecular_function	grey_Module-GO_z-score_elite	0	3	-0.624406083152	1.0	0	3	-1.53424380406	0.266	0	3	-0.342216183081	1.0	3	3	5.34077387726	0.0	0	3	-0.378868748617	1.0	0	3	-0.590203877997	1.0	0	3	-0.286260743782	1.0	0	3	-0.316787962769	1.0	0	3	-0.592031825132	1.0
GO:0045766	positive regulation of angiogenesis	GeneOntology	biological_process	grey_Module-GO_z-score_elite	2	15	0.22483072173	0.824	4	15	-1.35323082836	0.1945	0	15	-0.767888023855	0.681	5	15	3.15341399313	0.013	0	15	-0.850131551513	0.635	0	15	-1.32433973597	0.269	0	15	-0.64233139085	1.0	0	15	-0.71083044794	1.0	4	15	2.061408344	0.063
GO:0030117	membrane coat	GeneOntology	cellular_component	brown_Module-GO_z-score_elite	2	20	-0.210055347418	0.909	16	20	3.26747059678	0.0	0	20	-0.887974572996	0.6265	1	20	-0.693347962958	0.6035	0	20	-0.983079795484	0.6015	0	20	-1.53144726186	0.1545	0	20	-0.742782703718	0.658	0	20	-0.821994019796	0.637	1	20	-0.801195422866	0.392
GO:0001503	ossification	GeneOntology	biological_process	yellow_Module-GO_z-score_elite	2	11	0.698030381179	0.374	0	11	-2.94467354589	0.0045	0	11	-0.6568153892	1.0	1	11	-0.049358661974	0.6605	0	11	-0.727162644203	0.7065	2	11	0.849011447708	0.3015	2	11	3.21182759328	0.035	0	11	-0.608011015688	1.0	4	11	2.81760232554	0.02
GO:0022834	ligand-gated channel activity	GeneOntology	molecular_function	grey_Module-GO_z-score_elite	2	8	1.20072385373	0.2275	2	8	-1.08142597571	0.3065	0	8	-0.559646478153	1.0	3	8	2.70048772617	0.035	0	8	-0.619586598555	1.0	1	8	0.195720199664	0.5725	0	8	-0.468139220211	1.0	0	8	-0.518062197085	1.0	0	8	-0.968184855861	0.6125
GO:0030529	ribonucleoprotein complex	GeneOntology	cellular_component	blue_Module-GO_z-score_elite	46	95	11.6073364264	0.0	15	95	-5.68436709298	0.0	5	95	0.796460617985	0.5415	9	95	-0.0180511624183	1.0	2	95	-1.17978065197	0.3095	5	95	-1.68470058706	0.1055	1	95	-0.99937730281	0.3	10	95	4.13249766626	0.001	2	95	-2.73413133604	0.006
GO:0031201	SNARE complex	GeneOntology	cellular_component	brown_Module-GO_z-score_elite	0	12	-1.25207514457	0.3945	10	12	2.75847833969	0.006	1	12	0.837541157052	0.3775	0	12	-1.12767098814	0.4145	0	12	-0.759717363426	0.6505	0	12	-1.18349200274	0.3975	0	12	-0.574017409227	1.0	0	12	-0.635231374239	1.0	1	12	-0.240492300977	0.721
GO:0051258	protein polymerization	GeneOntology	biological_process	brown_Module-GO_z-score_elite	3	19	0.590815494197	0.621	14	19	2.62620991809	0.01	0	19	-0.865237893549	0.641	0	19	-1.42185112781	0.258	0	19	-0.957907937121	0.635	2	19	0.0191983372923	0.8905	0	19	-0.723763676882	0.6815	0	19	-0.800946779139	0.672	0	19	-1.4968560653	0.253
GO:0010467	gene expression	GeneOntology	biological_process	blue_Module-GO_z-score_elite|tan_Module-GO_z-score_elite	39	117	7.670650453	0.0	37	117	-2.77837052486	0.0065	4	117	-0.196849143811	0.993	13	117	0.604412134604	0.6405	2	117	-1.53063648709	0.157	6	117	-1.93183591459	0.054	1	117	-1.25445331413	0.2045	13	117	4.98746703485	0.0	2	117	-3.19975168191	0.001
GO:0019866	organelle inner membrane	GeneOntology	cellular_component	grey_Module-GO_z-score_elite|purple_Module-GO_z-score_elite	7	85	-0.964541296892	0.3975	2	85	-7.9193720659	0.0	0	85	-1.8663800158	0.08	18	85	3.75063885219	0.0025	3	85	-0.467412231356	0.7895	41	85	11.720844654	0.0	1	85	-0.86964588426	0.435	5	85	1.41555209831	0.161	8	85	-0.320888808432	0.855
GO:0097610	cell surface furrow	GeneOntology	cellular_component	blue_Module-GO_z-score_elite	4	13	2.18741451508	0.0495	4	13	-0.959978869712	0.4105	0	13	-0.714448864216	1.0	1	13	-0.226054158508	0.7405	1	13	0.542972787087	0.4625	0	13	-1.23217577408	0.3905	0	13	-0.59763001686	1.0	0	13	-0.661362061139	1.0	3	13	1.49338090099	0.1605
GO:0034146	toll-like receptor 5 signaling pathway	GeneOntology	biological_process	brown_Module-GO_z-score_elite	0	11	-1.19842235639	0.386	9	11	2.538730018	0.0095	0	11	-0.6568153892	1.0	1	11	-0.049358661974	0.6755	1	11	0.722141958513	0.4095	0	11	-1.13277807713	0.3995	0	11	-0.54942013597	1.0	0	11	-0.608011015688	1.0	0	11	-1.13628645537	0.413
GO:0044463	cell projection part	GeneOntology	cellular_component	brown_Module-GO_z-score_elite	16	159	-0.591793272293	0.591	82	159	2.03479036066	0.0455	1	159	-2.17425789202	0.039	10	159	-1.45858078387	0.1635	12	159	1.89306675318	0.062	11	159	-1.50599893969	0.1335	3	159	-0.632708785995	0.6175	1	159	-1.94757804767	0.0535	23	159	1.73611197914	0.0985
GO:0070469	respiratory chain	GeneOntology	cellular_component	purple_Module-GO_z-score_elite	0	6	-0.88381063712	0.6225	0	6	-2.17163322164	0.0385	0	6	-0.484387181616	1.0	2	6	1.98918757573	0.1035	0	6	-0.536266764747	1.0	3	6	3.18379992471	0.0235	0	6	-0.405185498942	1.0	0	6	-0.448395008892	1.0	1	6	0.498470939939	0.466
GO:0008284	positive regulation of cell proliferation	GeneOntology	biological_process	yellow_Module-GO_z-score_elite	14	76	1.9373105011	0.0685	21	76	-2.92833182826	0.006	3	76	0.0912067663818	0.9405	9	76	0.702991483784	0.547	5	76	0.861965075694	0.374	5	76	-1.11386659015	0.3395	2	76	-0.0134757780344	0.873	0	76	-1.6292291439	0.1815	17	76	3.4724337279	0.0005
GO:0022614	membrane to membrane docking	GeneOntology	biological_process	yellow_Module-GO_z-score_elite	0	3	-0.624406083152	1.0	0	3	-1.53424380406	0.2555	0	3	-0.342216183081	1.0	0	3	-0.562366107051	1.0	0	3	-0.378868748617	1.0	0	3	-0.590203877997	1.0	0	3	-0.286260743782	1.0	0	3	-0.316787962769	1.0	3	3	5.07315668939	0.0
GO:0005578	proteinaceous extracellular matrix	GeneOntology	cellular_component	magenta_Module-GO_z-score_elite	1	34	-1.57817742975	0.1615	6	34	-3.11864077086	0.0025	0	34	-1.16254032963	0.3935	5	34	1.0386365499	0.326	7	34	4.52241312677	0.0005	7	34	1.966974841	0.069	5	34	4.4121080376	0.001	0	34	-1.07615829078	0.4055	3	34	-0.313083770332	0.7765
GO:0072341	modified amino acid binding	GeneOntology	molecular_function	salmon_Module-GO_z-score_elite	2	19	-0.132359372198	0.896	5	19	-1.55576578966	0.1465	0	19	-0.865237893549	0.637	3	19	0.934748062013	0.2805	0	19	-0.957907937121	0.6315	1	19	-0.73651803067	0.589	3	19	3.57906934952	0.013	2	19	1.80664687024	0.1295	3	19	0.764750249125	0.312
GO:0007275	multicellular organismal development	GeneOntology	biological_process	yellow_Module-GO_z-score_elite	3	37	-0.651814648506	0.6205	13	37	-1.09022710966	0.3285	2	37	0.534483499787	0.411	3	37	-0.296995749244	0.7815	2	37	0.248719658829	0.8285	4	37	0.0842394463099	0.982	1	37	0.017896840779	0.6455	1	37	-0.184378686609	0.7225	8	37	2.24476042266	0.0325
GO:0016247	channel regulator activity	GeneOntology	molecular_function	brown_Module-GO_z-score_elite	1	23	-1.08093166585	0.3055	18	23	3.33791639769	0.003	0	23	-0.953082069123	0.642	2	23	-0.136604532075	0.903	1	23	-0.0493608395614	0.656	1	23	-0.956066181016	0.4525	0	23	-0.797244535707	0.6455	0	23	-0.882263732565	0.6455	0	23	-1.64882593162	0.153
GO:1901214	regulation of neuron death	GeneOntology	biological_process	magenta_Module-GO_z-score_elite	3	43	-0.939442877687	0.4735	23	43	1.27746893145	0.214	1	43	-0.498549480044	0.5195	1	43	-1.62828644675	0.1045	5	43	2.2484481599	0.039	4	43	-0.237177452256	0.9925	3	43	1.78393004575	0.103	2	43	0.532147932181	0.431	1	43	-1.76311827892	0.1005
GO:0045907	positive regulation of vasoconstriction	GeneOntology	biological_process	yellow_Module-GO_z-score_elite	0	8	-1.02112840552	0.6025	3	8	-0.367618891133	0.7365	0	8	-0.559646478153	1.0	0	8	-0.919670742658	0.6135	0	8	-0.619586598555	1.0	2	8	1.35663590452	0.1975	0	8	-0.468139220211	1.0	0	8	-0.518062197085	1.0	3	8	2.50604754127	0.0395
GO:0051087	chaperone binding	GeneOntology	molecular_function	magenta_Module-GO_z-score_elite	1	22	-1.02761719475	0.2745	11	22	0.576433450302	0.6565	1	22	0.196798418045	0.5765	0	22	-1.5313317709	0.1475	4	22	3.0807504724	0.0145	3	22	0.501620755647	0.62	0	22	-0.779492516031	0.664	0	22	-0.862618614362	0.637	2	22	-0.209712207469	0.9175
GO:0001725	stress fiber	GeneOntology	cellular_component	blue_Module-GO_z-score_elite	9	20	4.72543114889	0.0	2	20	-3.07495872044	0.0035	0	20	-0.887974572996	0.621	2	20	0.072518536942	0.87	1	20	0.0945747651352	0.6005	0	20	-1.53144726186	0.1565	2	20	2.05395565028	0.1095	1	20	0.44916101796	0.4975	3	20	0.668794484341	0.5975
GO:0000209	protein polyubiquitination	GeneOntology	biological_process	tan_Module-GO_z-score_elite	2	47	-1.5763171153	0.1615	26	47	1.59346721584	0.1355	2	47	0.183695485044	0.8435	2	47	-1.24761818571	0.3075	1	47	-0.810464796455	0.391	2	47	-1.39746188332	0.215	0	47	-1.14775089739	0.3995	11	47	7.92395105853	0.0	1	47	-1.89044377645	0.069
GO:0016874	ligase activity	GeneOntology	molecular_function	brown_Module-GO_z-score_elite	1	36	-1.65594727655	0.1005	26	36	3.45447859819	0.0	1	36	-0.311002199596	0.752	2	36	-0.819895550612	0.5515	1	36	-0.518130519586	0.526	3	36	-0.409041405802	0.774	2	36	1.09313823435	0.2655	0	36	-1.10801047637	0.4035	0	36	-2.07071461572	0.0425
GO:0032481	positive regulation of type I interferon production	GeneOntology	biological_process	magenta_Module-GO_z-score_elite	2	7	1.41967013868	0.1805	0	7	-2.34631176174	0.018	0	7	-0.523349583223	1.0	0	7	-0.860023816215	0.6415	3	7	4.864673256	0.004	2	7	1.57882663139	0.161	0	7	-0.437777195697	1.0	0	7	-0.484462326687	1.0	0	7	-0.905391457961	0.634
GO:0000932	cytoplasmic mRNA processing body	GeneOntology	cellular_component	tan_Module-GO_z-score_elite	0	5	-0.806571417991	0.654	2	5	-0.177610975118	0.9445	0	5	-0.442054937476	1.0	0	5	-0.726431789557	1.0	0	5	-0.489400587294	1.0	0	5	-0.762391001025	0.6605	0	5	-0.369774959369	1.0	3	5	7.18452758428	0.0	0	5	-0.764752236689	0.659
GO:0031821	G-protein coupled serotonin receptor binding	GeneOntology	molecular_function	yellow_Module-GO_z-score_elite	1	6	0.398232933644	0.552	2	6	-0.524121728045	0.673	0	6	-0.484387181616	1.0	0	6	-0.795996645098	0.642	0	6	-0.536266764747	1.0	0	6	-0.835399397153	0.656	0	6	-0.405185498942	1.0	0	6	-0.448395008892	1.0	3	6	3.17138632067	0.018
GO:0005178	integrin binding	GeneOntology	molecular_function	salmon_Module-GO_z-score_elite|yellow_Module-GO_z-score_elite	3	33	-0.436148831942	0.7735	4	33	-3.71711704664	0.001	0	33	-1.14497945207	0.383	0	33	-1.88155227295	0.072	4	33	2.10101507461	0.0625	5	33	0.904235737958	0.3515	4	33	3.41337842168	0.0135	1	33	-0.0665306617416	0.6865	12	33	4.91172530349	0.0
GO:0010927	cellular component assembly involved in morphogenesis	GeneOntology	biological_process	magenta_Module-GO_z-score_elite|salmon_Module-GO_z-score_elite	1	18	-0.793379519625	0.3875	6	18	-0.910977768307	0.4815	1	18	0.404407042472	0.477	1	18	-0.57670145475	0.57	3	18	2.47376702419	0.0435	1	18	-0.675812317591	0.5795	3	18	3.71519660594	0.013	0	18	-0.779356898721	0.657	2	18	0.0920934847403	0.869
GO:0019783	ubiquitin-like protein-specific protease activity	GeneOntology	molecular_function	brown_Module-GO_z-score_elite	1	7	0.232384440856	0.5655	6	7	2.23091215941	0.0345	0	7	-0.523349583223	1.0	0	7	-0.860023816215	0.644	0	7	-0.579402177594	1.0	0	7	-0.902595987091	0.622	0	7	-0.437777195697	1.0	0	7	-0.484462326687	1.0	0	7	-0.905391457961	0.624
GO:0007159	leukocyte cell-cell adhesion	GeneOntology	biological_process	yellow_Module-GO_z-score_elite	5	31	0.817130915729	0.551	7	31	-2.41692625456	0.0135	1	31	-0.155767728752	0.7135	3	31	0.0288618442513	0.9605	3	31	1.37728626723	0.166	2	31	-0.725352450459	0.5425	0	31	-0.927742291949	0.6205	0	31	-1.02667793969	0.4285	10	31	4.00396386936	0.001
GO:0022624	proteasome accessory complex	GeneOntology	cellular_component	brown_Module-GO_z-score_elite	0	14	-1.35318268744	0.247	11	14	2.62087834999	0.016	0	14	-0.741634373531	0.6945	1	14	-0.304946957313	0.766	0	14	-0.821066042235	0.6435	0	14	-1.27906132133	0.37	0	14	-0.620370449666	1.0	2	14	2.34680340534	0.0765	0	14	-1.28302276002	0.382
GO:0030036	actin cytoskeleton organization	GeneOntology	biological_process	blue_Module-GO_z-score_elite	18	80	3.16112437344	0.0025	34	80	-0.265207565985	0.8105	2	80	-0.603564602431	0.546	7	80	-0.242177794588	0.8425	1	80	-1.45302121647	0.1675	4	80	-1.61790594624	0.1265	1	80	-0.800533979091	0.4225	0	80	-1.67357628165	0.1065	13	80	1.73577432718	0.085
GO:0009135	purine nucleoside diphosphate metabolic process	GeneOntology	biological_process	yellow_Module-GO_z-score_elite	0	8	-1.02112840552	0.5985	3	8	-0.367618891133	0.7425	0	8	-0.559646478153	1.0	1	8	0.287048746951	0.56	0	8	-0.619586598555	1.0	0	8	-0.965195505191	0.6155	0	8	-0.468139220211	1.0	0	8	-0.518062197085	1.0	4	8	3.66412500699	0.002
GO:0035384	thioester biosynthetic process	GeneOntology	biological_process	purple_Module-GO_z-score_elite	1	8	0.0897977241037	0.623	3	8	-0.367618891133	0.733	0	8	-0.559646478153	1.0	0	8	-0.919670742658	0.6035	0	8	-0.619586598555	1.0	4	8	3.67846731423	0.006	0	8	-0.468139220211	1.0	0	8	-0.518062197085	1.0	0	8	-0.968184855861	0.6265
