GeneID	Symbol	Description	#GO-Terms Associated	Percent GO-Terms Associated	UID-str	GO Names
ENSG00000075711	DLG1	discs, large homolog 1 (Drosophila) [Source:HGNC Symbol;Acc:HGNC:2900]	1	0.0416666666667	ENSG00000075711	T cell receptor signaling pathway:KEGG-hsa04660
ENSG00000074319	TSG101	tumor susceptibility 101 [Source:HGNC Symbol;Acc:HGNC:15971]	1	0.0416666666667	ENSG00000074319	Endocytosis:KEGG-hsa04144
ENSG00000070961	ATP2B1	ATPase, Ca++ transporting, plasma membrane 1 [Source:HGNC Symbol;Acc:HGNC:814]	1	0.0416666666667	ENSG00000070961	Endocrine and other factor-regulated calcium reabsorption:KEGG-hsa04961
ENSG00000070770	CSNK2A2	casein kinase 2, alpha prime polypeptide [Source:HGNC Symbol;Acc:HGNC:2459]	1	0.0416666666667	ENSG00000070770	Wnt signaling pathway:KEGG-hsa04310
ENSG00000070087	PFN2	profilin 2 [Source:HGNC Symbol;Acc:HGNC:8882]	1	0.0416666666667	ENSG00000070087	Shigellosis:KEGG-hsa05131
ENSG00000069966	GNB5	guanine nucleotide binding protein (G protein), beta 5 [Source:HGNC Symbol;Acc:HGNC:4401]	1	0.0416666666667	ENSG00000069966	Glutamatergic synapse:KEGG-hsa04724
ENSG00000069849	ATP1B3	ATPase, Na+/K+ transporting, beta 3 polypeptide [Source:HGNC Symbol;Acc:HGNC:806]	1	0.0416666666667	ENSG00000069849	Endocrine and other factor-regulated calcium reabsorption:KEGG-hsa04961
ENSG00000064651	SLC12A2	solute carrier family 12 (sodium/potassium/chloride transporter), member 2 [Source:HGNC Symbol;Acc:HGNC:10911]	1	0.0416666666667	ENSG00000064651	Vibrio cholerae infection:KEGG-hsa05110
ENSG00000063245	EPN1	epsin 1 [Source:HGNC Symbol;Acc:HGNC:21604]	1	0.0416666666667	ENSG00000063245	Endocytosis:KEGG-hsa04144
ENSG00000036257	CUL3	cullin 3 [Source:HGNC Symbol;Acc:HGNC:2553]	1	0.0416666666667	ENSG00000036257	Ubiquitin mediated proteolysis:KEGG-hsa04120
ENSG00000035403	VCL	vinculin [Source:HGNC Symbol;Acc:HGNC:12665]	1	0.0416666666667	ENSG00000035403	Shigellosis:KEGG-hsa05131
ENSG00000033178	UBA6	ubiquitin-like modifier activating enzyme 6 [Source:HGNC Symbol;Acc:HGNC:25581]	1	0.0416666666667	ENSG00000033178	Ubiquitin mediated proteolysis:KEGG-hsa04120
ENSG00000029725	RABEP1	rabaptin, RAB GTPase binding effector protein 1 [Source:HGNC Symbol;Acc:HGNC:17677]	1	0.0416666666667	ENSG00000029725	Endocytosis:KEGG-hsa04144
ENSG00000018625	ATP1A2	ATPase, Na+/K+ transporting, alpha 2 polypeptide [Source:HGNC Symbol;Acc:HGNC:800]	1	0.0416666666667	ENSG00000018625	Endocrine and other factor-regulated calcium reabsorption:KEGG-hsa04961
ENSG00000013016	EHD3	EH-domain containing 3 [Source:HGNC Symbol;Acc:HGNC:3244]	1	0.0416666666667	ENSG00000013016	Endocytosis:KEGG-hsa04144
ENSG00000009844	VTA1	vesicle (multivesicular body) trafficking 1 [Source:HGNC Symbol;Acc:HGNC:20954]	1	0.0416666666667	ENSG00000009844	Endocytosis:KEGG-hsa04144
ENSG00000005249	PRKAR2B	protein kinase, cAMP-dependent, regulatory, type II, beta [Source:HGNC Symbol;Acc:HGNC:9392]	1	0.0416666666667	ENSG00000005249	Insulin signaling pathway:KEGG-hsa04910
